Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen1_Ind49,1000011100100010000001100,5,10,128,0.7,5,1,0.99,4.375419588934532
2,Gen1_Ind79,1000101101010100000111001,5,50,192,0.4,1,4,0.8,4.370414964622129
3,Gen1_Ind17,1000111110100100100101010,5,200,255,0.8,2,3,0.9,4.355284205023066
4,Gen1_Ind19,1000111100011001101101010,5,200,128,0.5,4,7,0.9,4.354857313057234
5,Gen1_Ind12,1000110101101101101001000,5,100,192,0.95,4,5,0.7,4.350213244296218
6,Gen1_Ind9,1000010100101101100101000,5,5,128,0.95,4,3,0.7,4.346360085267667
7,Gen1_Ind30,1001000000101000000111100,5,500,0,0.9,1,4,0.99,4.345476932595063
8,Gen1_Ind20,1001000011100001100001100,5,500,64,0.7,4,1,0.99,4.3448411531219016
9,Gen1_Ind10,1001000011101101101001001,5,500,64,0.95,4,5,0.8,4.341931461436831
10,Gen1_Ind96,1001000011011101101110110,5,500,64,0.6,4,8,0.5,4.2775646159093474
11,Gen1_Ind56,1000110100000000100100101,5,100,128,0.01,2,3,0.4,4.247279412908977
12,Gen1_Ind51,1001000010101010000110101,5,500,32,0.9,5,4,0.4,4.239023978947696
13,Gen1_Ind44,1000111110010101000010101,5,200,255,0.4,3,2,0.4,4.235471606087814
14,Gen1_Ind29,1000000101100110010001100,5,1,192,0.8,5,9,0.99,4.231540874095206
15,Gen1_Ind18,1000100100011001010000100,5,20,128,0.5,3,9,0.3,4.2210882850716525
16,Gen1_Ind50,1000001000001100001000100,5,2,0,0.2,1,5,0.3,4.211395728365361
17,Gen1_Ind84,1000110100000000101110011,5,100,128,0.01,2,8,0.2,4.208717598878541
18,Gen1_Ind28,1000110110100100100000000,5,100,255,0.8,2,1,0.01,4.206830112565399
19,Gen1_Ind61,1000000010100001001100001,5,1,32,0.7,3,7,0.05,4.206274383746224
20,Gen1_Ind92,1000111100001100100100010,5,200,128,0.2,2,3,0.1,4.205965708951719
