Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen10_Ind784,1011010100001011110111010111001000,-4,26,29,29,6,6,8192,0,3.9625708930846435
2,Gen12_Ind1009,1011010100001011111110010011001000,-7,26,29,12,5,6,8192,0,3.962129126369401
3,Gen13_Ind1084,1000011101001011111000111011011000,17,30,29,30,2,6,32768,0,3.8069730175093466
4,Gen14_Ind1125,1000010100101011111010110111000000,16,28,29,21,2,6,4096,0,3.8053451851854407
5,Gen12_Ind959,1000010101101011110111010111000000,16,14,29,29,6,6,4096,0,3.8052464341251104
6,Gen12_Ind1009,1011010100001011111110010011001000,-25,26,29,19,5,6,8192,0,3.548086800099555
7,Gen8_Ind590,1000010101000010011000011111001101,16,30,10,30,8,6,8192,5,3.4422460912720942
8,Gen10_Ind792,1000010101000010011000011111011101,16,30,10,30,8,6,32768,5,3.4422460912720942
9,Gen14_Ind1152,1100010101000010011000011111001101,-37,30,10,30,8,6,8192,5,3.4422460912720942
10,Gen14_Ind1164,1000010101000010011000011011001101,16,30,10,30,7,6,8192,5,3.4422460912720942
11,Gen14_Ind1135,1111000100110111010100100011001101,-23,29,20,26,9,6,8192,5,3.4369569752666465
12,Gen14_Ind1173,0101000100000111010110111111110101,-10,26,20,28,5,6,131072,5,3.429424595137411
13,Gen14_Ind1122,1100110101000010010010011111011101,-12,30,10,24,8,6,32768,5,3.420112306322062
14,Gen14_Ind1129,1101000101001111010011010011100111,-39,30,25,25,5,6,65536,4,3.3963098580799955
15,Gen14_Ind1139,1011000100111111010110111011101100,-35,29,12,28,2,6,131072,4,3.3917444958303187
16,Gen14_Ind1143,0101000100111111011010100011100100,-10,29,28,24,9,6,65536,4,3.382473290336377
17,Gen14_Ind1134,1111010101100010010010011011011101,-29,13,10,24,7,6,32768,5,3.3763095109800387
18,Gen14_Ind1163,0111010100011010010010011111110100,8,27,26,24,8,6,4096,4,3.366467198417661
19,Gen14_Ind1184,1101010100011010010111011110111101,9,27,26,29,8,5,131072,5,3.3470900718688257
20,Gen14_Ind1183,0111111100000100010110110011110100,13,26,14,28,6,6,8192,4,3.345334624656524
21,Gen14_Ind1168,1000010101010011011001011011001100,16,18,12,9,7,6,8192,4,3.317545660884022
22,Gen14_Ind1121,1101010100100010111000001111111100,3,28,11,30,4,6,131072,4,3.3102393910630505
23,Gen14_Ind1157,1010010100111100010011110010111101,19,29,30,25,7,5,65536,5,3.3036994379374724
24,Gen14_Ind1111,1111011111000011010110001111100100,2,27,12,28,4,6,65536,4,3.303578233406324
25,Gen14_Ind1115,1001010100000010010111110111111100,-34,26,10,29,2,6,4096,4,3.303578233406324
26,Gen14_Ind1151,1111111100000010011000001111001111,-14,26,10,30,4,6,8192,2,3.303578233406324
27,Gen14_Ind1098,0010110111110111010110111011101100,-28,23,20,28,3,6,131072,4,3.287085251508542
28,Gen14_Ind1177,0001111100100101010110100011011110,-35,28,16,28,9,6,32768,1,3.28217802333005
29,Gen14_Ind1160,1111000100000010010101001011001100,-27,26,10,27,3,6,8192,4,3.259675974640658
30,Gen14_Ind1158,0001000101001011010111111011011101,-42,30,28,29,8,6,32768,5,3.2533917595862962
31,Gen14_Ind1116,1111010100100111010010111011011101,4,28,20,24,1,6,32768,5,3.248138484185519
32,Gen14_Ind1130,0111101100110010011110100011011100,11,29,10,10,9,6,32768,4,3.248011992544339
33,Gen14_Ind1103,1000010100101001110001000111110101,16,28,25,23,2,6,4096,5,3.244135814125095
34,Gen14_Ind1153,0111101101010010111001010011000111,11,10,11,7,5,6,4096,0,3.221608526657511
35,Gen14_Ind1118,0010000100110010011110000111101100,-34,29,10,16,2,6,131072,4,3.2069285133409346
36,Gen14_Ind1180,1101000100111111010010111010011100,14,29,12,24,4,5,32768,4,3.1990461049745886
37,Gen14_Ind1176,1111000100100101010011001111101011,-33,28,16,25,4,6,131072,3,3.1971975685431446
38,Gen14_Ind1114,1101010100100000011001010010011100,-41,28,6,15,5,5,32768,4,3.1917074887495125
39,Gen14_Ind1171,0111111101000010011000011010100011,13,30,10,30,7,5,65536,3,3.183536457847188
40,Gen14_Ind1136,1101001110111111011011000111111100,-24,14,30,9,2,6,32768,4,3.167112729450719
41,Gen14_Ind1133,1011010100011111011111011011100011,19,27,8,22,7,6,65536,3,3.1303388553050975
42,Gen14_Ind1150,1000010101111111011110011111101000,16,16,29,10,8,6,131072,0,3.1301992372714196
43,Gen14_Ind1170,1101000101000010011000110010001110,-12,30,10,30,5,5,8192,4,3.12251464361927
44,Gen14_Ind1110,0110111100111111010111101011011011,5,29,8,29,10,6,32768,3,3.094819797016254
45,Gen14_Ind1147,0111111101010010011100011111110101,13,20,10,17,8,6,8192,5,3.089662441141912
46,Gen14_Ind1137,1000011100110111001011100011100100,17,29,20,17,9,6,65536,4,3.0746169364567373
47,Gen14_Ind1156,1101001100001110010110001101001100,-11,26,8,28,4,4,8192,4,3.0518945749630007
48,Gen14_Ind1188,1111000100100110010110100011101010,-20,28,18,28,9,6,131072,2,3.0058583620227535
49,Gen14_Ind1187,1111000101000111110000001111100010,-15,30,21,22,4,6,65536,2,2.9985926911802574
50,Gen14_Ind1126,1010010101101010010111111001000101,-1,17,26,29,1,4,4096,5,2.939692829932619
