Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen2_Ind206,1000011100100010010001100,5,10,128,0.7,5,9,0.99,4.3755197983331335
2,Gen1_Ind49,1000011100100010000001100,5,10,128,0.7,5,1,0.99,4.375419588934532
3,Gen1_Ind79,1000101101010100000111001,5,50,192,0.4,1,4,0.8,4.370414964622129
4,Gen2_Ind229,1000110000011110001001100,5,100,0,0.6,5,5,0.99,4.363580508684269
5,Gen1_Ind17,1000111110100100100101010,5,200,255,0.8,2,3,0.9,4.355284205023066
6,Gen1_Ind19,1000111100011001101101010,5,200,128,0.5,4,7,0.9,4.354857313057234
7,Gen1_Ind12,1000110101101101101001000,5,100,192,0.95,4,5,0.7,4.350213244296218
8,Gen1_Ind9,1000010100101101100101000,5,5,128,0.95,4,3,0.7,4.346360085267667
9,Gen1_Ind30,1001000000101000000111100,5,500,0,0.9,1,4,0.99,4.345476932595063
10,Gen1_Ind20,1001000011100001100001100,5,500,64,0.7,4,1,0.99,4.3448411531219016
11,Gen1_Ind10,1001000011101101101001001,5,500,64,0.95,4,5,0.8,4.341931461436831
12,Gen1_Ind96,1001000011011101101110110,5,500,64,0.6,4,8,0.5,4.2775646159093474
13,Gen2_Ind124,1000110000011100001000110,5,100,0,0.6,1,5,0.5,4.27300739278376
14,Gen2_Ind166,1000110100000000101110101,5,100,128,0.01,2,8,0.4,4.2552195201627425
15,Gen1_Ind29,1000000101100110010001100,5,1,192,0.8,5,9,0.99,4.231540874095206
16,Gen2_Ind218,1000100101011001010100100,5,20,192,0.5,3,10,0.3,4.220127897858429
17,Gen2_Ind216,1000111100001100100100100,5,200,128,0.2,2,3,0.3,4.214346849728451
18,Gen2_Ind136,1000100100011001011000100,5,20,128,0.5,3,5,0.3,4.211996146206063
19,Gen2_Ind194,1000110100001000100110011,5,100,128,0.1,2,4,0.2,4.211569027280243
20,Gen2_Ind167,1000110100010000000100011,5,100,128,0.3,1,3,0.2,4.208869041849153
21,Gen2_Ind119,1000110101000001101110011,5,100,192,0.01,4,8,0.2,4.207994531695681
22,Gen2_Ind186,1000000101101011010001101,5,1,192,0.9,3,9,0.95,4.207089502937627
23,Gen2_Ind222,1110111110001010001110010,5,200,255,0.1,5,8,0.1,4.206941275951062
24,Gen2_Ind141,1000000110001101101110010,5,1,255,0.2,4,8,0.1,4.206700429373555
25,Gen2_Ind137,1000110010100100000000000,5,100,32,0.8,1,1,0.01,4.206394779196931
26,Gen2_Ind224,1000111101001100100100010,5,200,192,0.2,2,3,0.1,4.205965708951719
27,Gen2_Ind217,1001110100000000101110011,5,1,128,0.01,2,8,0.2,4.205907065862287
28,Gen2_Ind109,1000111101010100000110001,5,200,192,0.4,1,4,0.05,4.204848684934522
29,Gen2_Ind202,1000111110011101000100000,5,200,255,0.6,3,3,0.01,4.20295850221059
30,Gen2_Ind234,1000011100100010100000000,5,10,128,0.7,5,1,0.01,4.202585600065699
31,Gen2_Ind185,1000111000100101000000010,5,200,0,0.8,3,1,0.1,4.201313300058569
32,Gen2_Ind228,1001000000101001000110001,5,500,0,0.9,3,4,0.05,4.200814448396646
33,Gen2_Ind233,1000011100100101000010011,5,10,128,0.8,3,2,0.2,4.2003064805016255
34,Gen2_Ind175,1000010100100001101010000,5,5,128,0.7,4,6,0.01,4.199435524583329
35,Gen2_Ind211,0110101101100101110011001,4,50,192,0.8,4,10,0.8,3.982682746328396
36,Gen2_Ind114,0110010101010001110001001,4,5,192,0.3,4,9,0.8,3.981564985908194
37,Gen2_Ind103,0110010001000101001011000,4,5,16,0.05,3,6,0.7,3.974565610558493
38,Gen2_Ind144,0110011110010001001010111,4,10,255,0.3,3,6,0.6,3.966701110055278
39,Gen2_Ind232,0111110011001000101010111,4,1,64,0.1,2,6,0.6,3.956484612187926
40,Gen2_Ind153,0110010000010000100000111,4,5,0,0.3,2,1,0.6,3.9459728339184275
41,Gen2_Ind195,0110010110000110001010110,4,5,255,0.05,5,6,0.5,3.9415739285080607
42,Gen2_Ind118,0110101100000101010010110,4,50,128,0.05,3,10,0.5,3.9350817340007813
43,Gen2_Ind104,0110001110001110000110111,4,2,255,0.2,5,4,0.6,3.926199557744001
44,Gen2_Ind207,1100110101001100111110110,4,100,192,0.2,2,4,0.5,3.9196426006852545
45,Gen2_Ind223,0110001001000101110010110,4,2,16,0.05,4,10,0.5,3.9107845425105525
46,Gen1_Ind78,0110000101000000001001000,4,1,192,0.01,1,5,0.7,3.8903366378300963
47,Gen2_Ind113,0110001001011001101000101,4,2,16,0.5,4,5,0.4,3.8846253687955423
48,Gen2_Ind158,0110000101100101110010010,4,1,192,0.8,4,10,0.1,3.867505610880858
49,Gen2_Ind213,0110101100001110001000011,4,50,128,0.2,5,5,0.2,3.867328155680461
50,Gen2_Ind170,0110011000101110000000011,4,10,0,0.95,5,1,0.2,3.866772408740115
51,Gen2_Ind190,0111010101011100001100011,4,20,192,0.6,1,7,0.2,3.863467321338653
52,Gen2_Ind162,0110011011001100010110010,4,10,64,0.2,1,7,0.1,3.8633761727128477
53,Gen2_Ind212,0110100101000010001100010,4,20,192,0.01,5,7,0.1,3.862818957499292
54,Gen2_Ind226,0110011001001010011110000,4,10,16,0.1,5,10,0.01,3.862730442776326
55,Gen2_Ind171,0110101101000101110010010,4,50,192,0.05,4,10,0.1,3.8625638378313534
56,Gen2_Ind149,0110100100010100000000001,4,20,128,0.4,1,1,0.05,3.8615749168922626
57,Gen2_Ind193,0110111101011101001110001,4,200,192,0.6,3,8,0.05,3.8600534885772726
58,Gen2_Ind225,0110111101010101000110001,4,200,192,0.4,3,4,0.05,3.860035290710596
59,Gen2_Ind201,0110110101001100100110000,4,100,192,0.2,2,4,0.01,3.858242342645574
60,Gen2_Ind214,0110110110000100100010000,4,100,255,0.05,2,2,0.01,3.857572363736221
61,Gen2_Ind219,0111100000110000100010001,4,5,0,0.99,2,2,0.05,3.8566560640490515
62,Gen2_Ind131,0100100101001001011101001,3,20,192,0.1,3,10,0.8,3.424463857548894
63,Gen2_Ind208,0100110100011100101111000,3,100,128,0.6,2,8,0.7,3.4058946014782556
64,Gen2_Ind172,0100111011110000100111001,3,200,64,0.99,2,4,0.8,3.4050002495193783
65,Gen2_Ind154,0100110110101001100001000,3,100,255,0.9,4,1,0.7,3.402237203661634
66,Gen2_Ind117,0101000110011101111111000,3,500,255,0.6,4,6,0.7,3.3974151656733813
67,Gen2_Ind108,1011000101011101101001000,1,500,192,0.6,4,5,0.7,3.397147339826818
68,Gen2_Ind164,0100100000111001000100110,3,20,0,0.3,3,3,0.5,3.393161128145075
69,Gen2_Ind127,1100100000101001001110110,1,20,0,0.9,3,8,0.5,3.391167515333394
70,Gen2_Ind209,0101000101001101001110110,3,500,192,0.2,3,8,0.5,3.383506038328643
71,Gen2_Ind204,0100000001101010001010101,3,1,16,0.9,5,6,0.4,3.3754257990652445
72,Gen2_Ind177,0100100010010100010000101,3,20,32,0.4,1,9,0.4,3.373967309465138
73,Gen2_Ind176,0100110000000000100100101,3,100,0,0.01,2,3,0.4,3.3708736870521685
74,Gen1_Ind100,0100000100101000110010011,3,1,128,0.9,2,10,0.2,3.370520831189299
75,Gen2_Ind205,0100100010010101010000011,3,20,32,0.4,3,9,0.2,3.3702532650433086
76,Gen2_Ind235,0100110100110001101010100,3,100,128,0.99,4,6,0.3,3.3697915656126476
