Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen21_Ind2625,1000100111101100011011100,5,20,128,0.95,1,4,0.99,4.379337852180072
2,Gen22_Ind2724,1000100111101100000011100,5,20,255,0.95,1,2,0.99,4.379337852180072
3,Gen23_Ind2864,1000100111101100011011100,5,20,32,0.95,1,3,0.99,4.379337852180072
4,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
5,Gen26_Ind3292,1000100111101100000011100,5,20,32,0.95,1,2,0.99,4.379337852180072
6,Gen27_Ind3334,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
7,Gen29_Ind3602,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
8,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
9,Gen29_Ind3680,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
10,Gen30_Ind3715,1000100111101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
11,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
12,Gen25_Ind3147,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
13,Gen29_Ind3680,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
14,Gen41_Ind5151,1000100111101100000011100,5,20,16,0.95,1,2,0.99,4.379337852180072
15,Gen41_Ind5165,1000100001101100000011100,5,20,16,0.95,1,2,0.99,4.379337852180072
16,Gen29_Ind3602,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
17,Gen29_Ind3680,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
18,Gen41_Ind5209,1000100011101100000011100,5,20,64,0.95,1,2,0.99,4.379337852180072
19,Gen41_Ind5172,1000100010110000001011100,5,20,32,0.99,1,6,0.99,4.379321121134277
20,Gen21_Ind2625,1000100111101100011011100,5,20,0,0.95,1,10,0.99,4.379291005573999
21,Gen41_Ind5116,1000100010100100010011010,5,20,32,0.8,1,10,0.9,4.379190623364418
22,Gen23_Ind2864,1000100111101100011011100,5,20,64,0.95,1,6,0.99,4.3791738934435624
23,Gen41_Ind5197,1000100010100100010011100,5,20,32,0.8,1,10,0.99,4.379153817707267
24,Gen41_Ind5177,1000100011001100000011100,5,20,64,0.2,1,2,0.99,4.37914043398533
25,Gen41_Ind5154,1000100011101100010011100,5,20,64,0.95,1,10,0.99,4.379130396247564
26,Gen41_Ind5205,1000100100101100010011100,5,20,128,0.95,1,10,0.99,4.379130396247564
27,Gen41_Ind5212,1000100011100000010011100,5,20,64,0.7,1,10,0.99,4.37911032091008
28,Gen41_Ind5225,1100100111001000001111100,1,20,255,0.1,1,8,0.99,4.379083554079753
29,Gen41_Ind5179,1000100010111100000011100,5,20,32,0.6,1,2,0.99,4.379076862423299
30,Gen41_Ind5196,1000100111100000000011100,5,20,192,0.7,1,2,0.99,4.3790400586783615
31,Gen41_Ind5191,1000100011100101000011100,5,20,64,0.8,3,2,0.99,4.37894972483625
32,Gen41_Ind5146,1000100100111101100011100,5,20,128,0.1,4,2,0.99,4.378856049232744
33,Gen41_Ind5115,1000100010111000110011100,5,20,32,0.9,2,10,0.99,4.378852703749601
34,Gen41_Ind5138,1000100111011100100011100,5,20,0,0.6,2,2,0.99,4.378852703749601
35,Gen41_Ind5189,1000100011110101100111100,5,20,64,0.7,4,4,0.99,4.378852703749601
36,Gen41_Ind5158,1100100110011101100101100,3,20,255,0.6,4,3,0.99,4.378825940068485
37,Gen39_Ind4945,1000100011101100111011100,5,20,64,0.95,2,9,0.99,4.378795831318287
38,Gen41_Ind5117,1000100011111100100011100,5,20,64,0.05,2,2,0.99,4.378792485927157
39,Gen41_Ind5226,1000100100011101111011100,5,20,128,0.6,4,9,0.99,4.378779104413756
40,Gen41_Ind5133,1001100011101110000011100,5,2,64,0.95,5,2,0.99,4.378712198073538
41,Gen41_Ind5218,1000100110101110000101100,5,20,255,0.95,5,3,0.99,4.37866871004881
42,Gen41_Ind5180,1000100011101110010011100,5,20,64,0.95,5,10,0.99,4.378631913164119
43,Gen40_Ind5034,1000100100111011100011001,5,20,128,0.1,5,2,0.8,4.378270667501871
44,Gen41_Ind5119,1000100010101110000001110,5,20,32,0.95,5,1,0.4,4.377548354968701
45,Gen41_Ind5131,1000100011101110000001001,5,20,64,0.95,5,1,0.8,4.377548354968701
46,Gen41_Ind5199,1001101011111001000011100,5,2,64,0.6,3,2,0.99,4.375787045838191
47,Gen40_Ind5081,1001101011111000001011100,5,20,64,0.7,1,6,0.99,4.375626693417801
48,Gen41_Ind5194,1000101011001100010111100,5,50,64,0.2,1,5,0.99,4.372765711356
49,Gen41_Ind5159,1000101101001100011011100,5,50,192,0.2,1,10,0.99,4.372618924098533
50,Gen41_Ind5210,1000101111001100000011100,5,50,16,0.2,1,2,0.99,4.372618924098533
51,Gen41_Ind5198,1000101101001100001011100,5,50,192,0.2,1,6,0.99,4.37261225218462
52,Gen41_Ind5143,1000101011001000000011101,5,50,64,0.1,1,2,0.95,4.3725889006462655
53,Gen41_Ind5148,1000101111101011000011100,5,50,192,0.9,1,2,0.99,4.372458803783949
54,Gen41_Ind5126,1000101011001101110011100,5,50,64,0.2,4,10,0.99,4.372145268801291
55,Gen41_Ind5135,1000101111110110000111100,5,50,255,0.8,5,4,0.99,4.372068559641838
56,Gen41_Ind5144,1000101000101110000111100,5,50,0,0.95,5,4,0.99,4.372021868427858
57,Gen41_Ind5130,1000110111111000010011100,5,100,128,0.3,1,10,0.99,4.364248370094101
58,Gen41_Ind5192,1000110010101010000001100,5,100,32,0.9,5,1,0.99,4.363510743912392
59,Gen41_Ind5216,1000110011101001000011001,5,100,64,0.9,3,2,0.8,4.361322591764848
60,Gen41_Ind5152,1000010011111100000011100,5,5,64,0.3,1,2,0.99,4.357489491014618
61,Gen41_Ind5122,1000100011101100000011000,5,20,64,0.95,1,2,0.7,4.356578629317304
62,Gen41_Ind5214,1001001111011111000011001,5,10,32,0.6,1,2,0.8,4.3558700767294525
63,Gen41_Ind5166,1000100011110000000001000,5,20,64,0.99,1,1,0.7,4.35383840547673
64,Gen41_Ind5141,1000101110101100001001000,5,50,255,0.95,1,5,0.7,4.3517821944560025
65,Gen41_Ind5206,1000101011101110011001110,5,50,64,0.95,5,1,0.95,4.347758045343551
66,Gen40_Ind5041,1001110011111000100011100,5,20,64,0.7,2,2,0.99,4.345200197418847
67,Gen41_Ind5175,1001001101100000010011000,5,50,192,0.7,1,10,0.7,4.342961257191959
68,Gen41_Ind5207,1001101111101000001011000,5,500,0,0.9,1,6,0.7,4.340504373509031
69,Gen41_Ind5123,1000001101001000110111100,5,2,192,0.1,2,4,0.99,4.291632191103321
70,Gen40_Ind5047,1000100010111100100011110,5,20,32,0.5,2,2,0.1,4.252393883410867
71,Gen40_Ind5081,1001101011111000001011100,5,1,64,0.7,1,6,0.99,4.235449696349843
72,Gen41_Ind5204,1001100011010001000011100,5,500,64,0.3,3,2,0.99,4.233925960837386
73,Gen41_Ind5140,1000000100111101000011100,5,1,128,0.3,3,2,0.99,4.2338227494271345
74,Gen41_Ind5149,1000000010001101010011001,5,1,32,0.2,3,10,0.8,4.233353670066299
75,Gen41_Ind5167,1000000111001111000011001,5,1,32,0.2,2,2,0.8,4.232400195838506
76,Gen41_Ind5168,1000000010101010010011100,5,1,32,0.9,5,10,0.99,4.231568991829113
77,Gen41_Ind5134,1000100111001001000010100,5,20,16,0.1,3,2,0.3,4.218146344479092
78,Gen41_Ind5187,1000100111011100100011110,5,20,128,0.6,2,2,0.8,4.212729878721058
79,Gen41_Ind5219,1000101011011101001011101,5,50,64,0.6,3,6,0.7,4.210882104655289
80,Gen41_Ind5176,1000110111001010000000011,5,100,32,0.1,5,1,0.2,4.210479956686137
81,Gen41_Ind5186,1000101011101100010010100,5,50,64,0.95,1,10,0.3,4.205777439572511
82,Gen41_Ind5213,1000101010101100010010100,5,50,32,0.95,1,10,0.3,4.205777439572511
83,Gen41_Ind5222,1001101011101000100100000,5,50,64,0.9,2,3,0.01,4.203599678757275
84,Gen41_Ind5121,1110100011101100000011100,4,20,64,0.95,1,2,0.99,3.990752519713823
85,Gen41_Ind5185,1110100010101100000011100,2,20,32,0.95,1,2,0.99,3.990752519713823
86,Gen41_Ind5203,1010110011111100010011100,1,100,64,0.1,1,10,0.99,3.9755856814464496
87,Gen41_Ind5155,1100100001101100111011001,4,20,16,0.95,2,7,0.8,3.4245538875196058
88,Gen41_Ind5190,1010101011111101000011100,4,50,64,0.5,3,2,0.99,3.419348122180706
89,Gen41_Ind5184,1100101111101100100011100,2,50,192,0.95,2,2,0.99,3.419078866912644
90,Gen41_Ind5181,0100100000101100000011101,3,20,0,0.95,1,2,0.99,3.4125603525320227
91,Gen41_Ind5215,1010101111111110000011101,2,50,16,0.95,5,2,0.3,3.3917374533825537
92,Gen41_Ind5163,1100100011101100010001101,1,20,64,0.95,1,9,0.5,3.367526514908926
93,Gen41_Ind5202,1010100011111100001111100,3,20,64,0.1,1,8,0.99,2.9070182290345814
94,Gen41_Ind5164,1010100011001100000011100,5,20,64,0.2,1,2,0.99,2.9069253409466116
95,Gen41_Ind5137,1010100011111101110001100,4,20,64,0.9,4,9,0.99,2.6808551541297168
96,Gen41_Ind5193,0000100100110100000101100,1,20,128,0.7,1,3,0.99,2.6807761568216577
97,Gen41_Ind5162,0000100111111101100011110,1,20,64,0.7,4,2,0.9,2.677617575772299
98,Gen41_Ind5127,1010101101101011000011101,5,50,192,0.9,4,2,0.05,2.6775675392846265
99,Gen41_Ind5171,1010110000101000010111110,2,100,0,0.9,1,4,0.8,2.6759860995229707
100,Gen41_Ind5223,0000110011100000001011000,1,100,64,0.7,1,6,0.7,2.6751992016530783
