Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen18_Ind2397,1001000011111011111010011010011000,22,25,29,10,7,5,32768,0,3.747940874880945
2,Gen19_Ind2440,1001000011111010111000011010001000,22,25,27,30,7,5,8192,0,3.747940874880945
3,Gen19_Ind2471,1001000011111011010110011010011000,22,25,28,28,7,5,32768,0,3.747940874880945
4,Gen20_Ind2617,1001000011111010111110011010010000,22,25,27,9,7,5,16384,0,3.747940874880945
5,Gen18_Ind2397,1001000011111011111010011010011000,22,25,29,21,7,5,32768,0,3.747940874880945
6,Gen22_Ind2929,1001000011111011110110011010011000,22,25,29,28,7,5,32768,0,3.747940874880945
7,Gen23_Ind3029,1000110011111011011111011010101000,20,25,28,7,7,5,131072,0,3.747940874880945
8,Gen23_Ind3087,1001000011111011110110011010011000,22,25,29,28,7,5,32768,0,3.747940874880945
9,Gen15_Ind1946,1000110011111011110110010110001000,20,25,29,28,6,5,8192,0,3.7478952991109096
10,Gen16_Ind2103,1000111011111011110110010110001110,21,25,29,28,6,5,8192,4,3.7478952991109096
11,Gen19_Ind2520,1001000011111011110110010110001000,22,25,29,28,6,5,8192,0,3.7478952991109096
12,Gen21_Ind2707,1000110011111011110110010110101000,20,25,29,28,6,5,131072,0,3.7478952991109096
13,Gen23_Ind3002,1000111011111011111101010110001000,21,25,29,28,6,5,8192,0,3.747859107377246
14,Gen23_Ind3044,1001000011101001111100011010101000,22,24,25,26,7,5,131072,0,3.746222497333543
15,Gen23_Ind3026,1000101101111001111111111111001000,19,16,25,19,5,6,8192,0,3.7456513937629707
16,Gen23_Ind3065,1000111101011001111111011111101000,21,28,25,24,8,6,131072,0,3.7456473772385057
17,Gen23_Ind3093,1001000011001011110110011000110000,22,22,29,28,7,3,32768,0,3.664192314799938
18,Gen23_Ind3097,1001000011011011111111001110101000,22,23,29,19,4,5,131072,0,3.631536248819782
19,Gen23_Ind2986,1001000010111010100110011010001000,22,21,27,12,7,5,8192,0,3.600427311517552
20,Gen23_Ind3051,1001000010101001111011011010001000,22,20,25,25,7,5,8192,0,3.53155495058781
21,Gen23_Ind3063,1000010011111001110010111111001000,16,25,25,24,5,6,8192,0,3.5246304925795804
22,Gen23_Ind2982,1000011011111000011111001100100000,17,25,22,16,4,3,65536,0,3.5238666024605902
23,Gen23_Ind3094,1000000011111011101000011010011000,14,25,29,14,7,5,32768,0,3.489489284992996
24,Gen23_Ind2988,1000000011111010111111011010111000,14,25,27,7,7,5,16384,0,3.4892046231153437
25,Gen23_Ind3036,1000000011111001111111011011111000,14,25,25,23,7,6,8192,0,3.4884728486470804
26,Gen23_Ind3016,1000000011111001110100011100101000,14,25,25,26,8,3,131072,0,3.4843904252407936
27,Gen23_Ind2994,1000000011011010010100011111011000,14,23,26,26,8,6,32768,0,3.4687097459173475
28,Gen23_Ind3030,1000000011111001111110010110011000,14,25,25,25,6,5,32768,0,3.4355189820049694
29,Gen23_Ind3112,1000111011101001110110011011111101,21,24,25,28,7,6,65536,5,3.3745776193397448
30,Gen23_Ind3015,1000000011111000011111010111011000,14,25,22,24,6,6,32768,0,3.372069727214469
31,Gen22_Ind2938,0100111011101001110011011011111101,-11,24,25,25,7,6,131072,5,3.3719080557189898
32,Gen23_Ind3083,1101100011110011010011100111011100,-13,25,12,25,10,6,32768,4,3.330916469353809
33,Gen23_Ind3061,1000001110011000011011101110111000,15,30,22,23,10,5,16384,0,3.324169903349951
