Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen7_Ind777,1000011100010000001001010,5,10,128,0.3,1,5,0.9,4.134225114176957
2,Gen7_Ind819,1000011110010011001001010,5,10,255,0.3,3,5,0.9,4.134225114176957
3,Gen7_Ind771,1000011100010000001001100,5,10,128,0.3,1,5,0.99,4.134062611121624
4,Gen6_Ind717,1000011100000000000011011,5,10,128,0.01,1,2,0.95,4.134013484805827
5,Gen6_Ind717,1000011100000000000011011,5,10,128,0.01,1,2,0.95,4.134013484805827
6,Gen1_Ind75,1000011110101000010011100,5,10,255,0.9,1,10,0.99,4.13384344118967
7,Gen5_Ind593,1000100000101110101101100,5,20,0,0.95,1,7,0.99,4.132551566716224
8,Gen7_Ind744,1000011100010011001001010,5,10,128,0.3,3,5,0.9,4.132434506894252
9,Gen6_Ind631,1000011110001000101101010,5,10,255,0.1,2,7,0.9,4.132426954875402
10,Gen4_Ind408,1000011100000000101101010,5,10,128,0.01,2,7,0.9,4.132347660343947
11,Gen5_Ind533,1000011101100111001001010,5,10,192,0.8,1,5,0.9,4.132045613813885
12,Gen7_Ind739,1000011100010001001011001,5,10,128,0.3,3,6,0.8,4.1313020124418784
13,Gen7_Ind740,1000011100010011011001001,5,10,128,0.3,1,2,0.8,4.1313020124418784
14,Gen6_Ind675,1000011100010011001001010,5,10,128,0.3,1,5,0.9,4.131271821086729
15,Gen6_Ind625,1000011110100111001111010,5,10,255,0.8,4,8,0.9,4.131109550112766
16,Gen3_Ind341,1000011100000010001111011,5,10,128,0.01,5,8,0.95,4.130807684543866
17,Gen4_Ind390,1000011100000010000011011,5,10,128,0.01,5,2,0.95,4.130434186972564
18,Gen6_Ind639,1000011100010001001001001,5,10,128,0.3,3,5,0.8,4.130385146853734
19,Gen7_Ind799,1000011110110010001011011,5,10,255,0.99,5,6,0.95,4.130211629629427
20,Gen7_Ind789,1000011001101110001001010,5,10,16,0.95,5,5,0.9,4.129970238611635
21,Gen7_Ind756,1000011000001110101001001,5,10,0,0.2,1,5,0.8,4.12968739441777
22,Gen7_Ind735,1000100000001110101101100,5,20,0,0.2,4,7,0.99,4.129544101479606
23,Gen7_Ind741,1001001100101110110101001,5,200,128,0.95,1,7,0.8,4.12952901859089
24,Gen7_Ind775,1000100000101100101001100,5,20,0,0.95,2,5,0.99,4.129438523572294
25,Gen7_Ind844,1000011100000010000011001,5,10,128,0.01,5,2,0.8,4.129234924281298
26,Gen3_Ind343,1000010001100000001101100,5,5,16,0.7,1,7,0.99,4.129136902153271
27,Gen7_Ind858,1000010110000000000011011,5,5,255,0.01,1,2,0.95,4.1290916627407155
28,Gen7_Ind850,1000010001000000001101100,5,5,16,0.01,1,7,0.99,4.1290313450659735
29,Gen7_Ind834,1000100101101101001011010,5,20,192,0.95,3,6,0.9,4.1287184754079655
30,Gen7_Ind743,1000100101000001001011010,5,20,192,0.01,3,6,0.9,4.1283641983479225
31,Gen6_Ind679,1000100101000001001011010,5,20,192,0.01,3,6,0.9,4.1283641983479225
32,Gen7_Ind832,1000100101011110101101100,5,20,192,0.6,5,7,0.99,4.128334049916155
33,Gen7_Ind800,1000100110000010001111100,5,20,255,0.01,5,8,0.99,4.1275767150567955
34,Gen7_Ind835,1000100000000010101111100,5,20,0,0.01,2,8,0.99,4.1275767150567955
35,Gen7_Ind772,1010100100110010001001011,3,20,128,0.99,5,5,0.95,4.127361999023487
36,Gen7_Ind736,1000010101100110110001011,5,5,192,0.8,2,9,0.95,4.126913804211145
37,Gen7_Ind784,1000011011100010001001000,5,10,64,0.7,5,5,0.7,4.126793297843024
38,Gen7_Ind823,1110010101000001000011011,1,5,192,0.01,3,2,0.95,4.126642674779137
39,Gen7_Ind814,1000010001100110101101100,5,5,16,0.8,2,7,0.99,4.126518419028449
40,Gen7_Ind781,1000011100011011101101000,5,10,128,0.5,5,7,0.7,4.125919837097831
41,Gen5_Ind528,1000010100000010001111011,5,5,128,0.01,5,8,0.95,4.125803152673587
42,Gen7_Ind778,1000011001100011001001000,5,10,16,0.7,4,5,0.7,4.124456113823259
43,Gen7_Ind853,1000100000110010001001000,5,20,0,0.99,5,5,0.7,4.123497167115564
44,Gen6_Ind617,1000010010100110001101000,5,5,32,0.8,5,7,0.7,4.122850599944938
45,Gen7_Ind752,1000110100000000001111011,5,100,128,0.01,1,8,0.95,4.122320716450561
46,Gen6_Ind661,1000011110001001000111000,5,10,255,0.1,3,4,0.7,4.121990078046744
47,Gen7_Ind753,1000010000010010010101000,5,5,0,0.3,5,5,0.7,4.12129515887394
48,Gen7_Ind828,1001110000101010001101100,5,500,0,0.9,5,7,0.99,4.1195495043327055
49,Gen7_Ind825,1001011100011110111111000,5,10,128,0.6,4,9,0.7,4.1190542331355395
50,Gen7_Ind854,1001011010100010100111001,5,10,32,0.7,2,4,0.8,4.116620880871368
