Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen9_Ind1021,1000011100010000000001010,5,10,128,0.3,1,1,0.9,4.1344934611393755
2,Gen7_Ind777,1000011100010000001001010,5,10,128,0.3,1,5,0.9,4.134225114176957
3,Gen7_Ind819,1000011110010011001001010,5,10,255,0.3,2,5,0.9,4.134225114176957
4,Gen9_Ind1061,1000011110010000001001010,5,10,255,0.3,1,5,0.9,4.134225114176957
5,Gen8_Ind930,1001011110000000001001011,5,5,255,0.01,1,5,0.95,4.134081506169363
6,Gen9_Ind1084,1000011100000000000001011,5,10,128,0.01,1,1,0.95,4.134077727145998
7,Gen9_Ind989,1000011000010000000001100,5,10,0,0.3,1,1,0.99,4.134073948129541
8,Gen7_Ind771,1000011100010000001001100,5,10,128,0.3,1,5,0.99,4.134062611121624
9,Gen9_Ind1035,1000011101100000001011010,5,10,192,0.7,1,6,0.9,4.134028600470947
10,Gen6_Ind717,1000011100000000000011011,5,10,128,0.01,1,2,0.95,4.134013484805827
11,Gen6_Ind717,1000011100000000000011011,5,10,128,0.01,1,2,0.95,4.134013484805827
12,Gen6_Ind717,1000011100000000000011011,5,10,128,0.01,1,2,0.95,4.134013484805827
13,Gen8_Ind871,1000011100010000000011011,5,10,128,0.3,1,2,0.95,4.133975696126627
14,Gen9_Ind1043,1000011100101000001011100,5,10,128,0.9,1,6,0.99,4.133937908138268
15,Gen1_Ind75,1000011110101000010011100,5,10,255,0.9,1,10,0.99,4.13384344118967
16,Gen9_Ind1108,1000011110010000010001100,5,10,255,0.3,1,9,0.99,4.133782984608326
17,Gen9_Ind995,1000011100000000101001011,5,10,128,0.01,2,5,0.95,4.133084083793174
18,Gen9_Ind1081,1000011100000000101101110,5,10,128,0.01,2,7,0.05,4.132944331988431
19,Gen8_Ind891,1000100101000010101001100,5,20,192,0.01,5,5,0.99,4.13289900910838
20,Gen9_Ind1095,1000100001000000011101100,5,20,16,0.01,1,4,0.99,4.13289900910838
21,Gen9_Ind1069,1000011010000100110101010,5,10,32,0.05,2,5,0.9,4.13287634804112
22,Gen9_Ind1051,1000100000000010101101100,5,20,0,0.01,5,7,0.99,4.132831026652106
23,Gen9_Ind997,1000100101000010110101011,5,20,192,0.01,3,10,0.95,4.132815919743322
24,Gen8_Ind963,1000100100011100001011100,5,20,128,0.6,1,6,0.99,4.132763046432295
25,Gen8_Ind963,1000100100011100001011100,5,20,128,0.6,1,6,0.99,4.132763046432295
26,Gen9_Ind1006,1000011110000000101001100,5,10,255,0.01,2,5,0.99,4.132729057161029
27,Gen9_Ind1047,1000011100000000101001100,5,10,128,0.01,2,5,0.99,4.132729057161029
28,Gen9_Ind988,1000100000000010100001100,5,20,0,0.01,3,1,0.99,4.132672409617966
29,Gen9_Ind1098,1010011110000000100101100,2,10,255,0.01,2,3,0.99,4.132623316336788
30,Gen8_Ind879,1000100000101010101111100,5,20,0,0.9,4,8,0.99,4.132574224221983
31,Gen9_Ind1013,1000011101010010101001010,5,10,192,0.3,1,5,0.9,4.131271821086729
32,Gen9_Ind1012,1000011110011011001001011,5,10,255,0.5,4,5,0.95,4.130943518590408
33,Gen9_Ind1031,1000011100000010001001100,5,10,128,0.01,5,5,0.99,4.130528498166491
34,Gen8_Ind884,1000011100000110000011011,5,10,128,0.05,5,2,0.95,4.130422869918706
35,Gen9_Ind1097,1000011101100101000011010,5,10,192,0.8,3,2,0.9,4.130271981792992
36,Gen8_Ind952,1000011100000011111101011,5,10,128,0.01,4,2,0.95,4.130234261484073
37,Gen9_Ind1040,1001100110000110000001011,5,200,255,0.05,5,1,0.95,4.130215401587977
38,Gen9_Ind1100,1000011100010001011001100,5,10,128,0.3,3,1,0.99,4.130204085732994
39,Gen9_Ind1016,1000100101000010101111011,5,20,192,0.01,2,8,0.95,4.129838239833144
40,Gen9_Ind1036,1000011100000010110011100,5,10,128,0.01,1,10,0.99,4.129570496799979
41,Gen9_Ind1072,1000011001000010000101001,5,10,16,0.01,5,3,0.8,4.129551642965281
42,Gen9_Ind1116,1000011100110001001001001,5,10,128,0.99,3,5,0.8,4.129167062312373
43,Gen9_Ind1099,1000010110001000001001010,5,5,255,0.1,1,5,0.9,4.129133132164362
44,Gen9_Ind1078,1000010101100100000011011,5,5,192,0.8,1,2,0.95,4.129027575269814
45,Gen9_Ind1087,1000100100010001001011010,5,20,128,0.3,3,6,0.9,4.128413190488709
46,Gen9_Ind1017,1000100101000001001011100,5,20,192,0.01,3,6,0.99,4.128217228902026
47,Gen9_Ind1073,1000010110100011001001100,5,5,255,0.7,1,5,0.99,4.128175777873318
48,Gen9_Ind1024,1000100111001010101101100,5,20,128,0.1,4,7,0.99,4.128153168572146
49,Gen9_Ind1112,1010100000100010001011010,1,20,0,0.7,5,6,0.9,4.12796853521533
50,Gen8_Ind980,1000100011100010001011010,5,20,64,0.7,5,6,0.9,4.12796853521533
51,Gen9_Ind1003,1000011100010010001001000,5,10,128,0.3,5,5,0.7,4.127693499822479
52,Gen9_Ind1076,1001001001000010001111001,5,500,16,0.01,5,8,0.8,4.12752020867159
53,Gen9_Ind1049,1000100100000010101101010,5,20,128,0.01,2,7,0.9,4.127309265169305
54,Gen8_Ind877,1000010100100110000111011,5,5,128,0.8,5,4,0.95,4.126556071496028
55,Gen9_Ind1050,1000010001100110101101100,5,5,16,0.8,5,7,0.99,4.125885960294747
56,Gen9_Ind1009,1000010100100010011111011,5,5,128,0.7,5,2,0.95,4.125878432191832
57,Gen9_Ind1022,1000010000010110000111011,5,5,0,0.4,5,4,0.95,4.125490772026359
58,Gen9_Ind1039,1000011100110011101101000,5,10,128,0.99,4,7,0.7,4.123997267991271
59,Gen9_Ind992,1000101001000000101001100,5,50,16,0.01,2,5,0.99,4.123737802020246
