Rank,Individual,Gene1,ctx_Gene1,den_Gene1,hash_Gene1,gamma_Gene1,mutations_Gene1,den_mut_Gene1,gamma_mut_Gene1,Fitness
1,Gen36_Ind4483,1000011100111100010011010,5,10,128,0.5,1,10,0.9,4.134761842940132
2,Gen45_Ind5616,1000011100111100010101010,5,10,128,0.2,1,5,0.9,4.134761842940132
3,Gen47_Ind5976,1000011000101100010011010,5,10,0,0.95,1,10,0.9,4.134761842940132
4,Gen16_Ind2018,1000011100110000010001010,5,10,128,0.99,1,9,0.9,4.134659778149773
5,Gen18_Ind2133,1000011000110000010001010,5,10,0,0.99,1,9,0.9,4.134659778149773
6,Gen20_Ind2413,1000011100110000010001010,5,10,128,0.99,1,9,0.9,4.134659778149773
7,Gen22_Ind2704,1000011100110000010001010,5,10,128,0.99,1,9,0.9,4.134659778149773
8,Gen22_Ind2749,1000011000110000010001010,5,10,0,0.99,1,9,0.9,4.134659778149773
9,Gen16_Ind2018,1000011100110000010001010,5,10,128,0.99,1,9,0.9,4.134659778149773
10,Gen24_Ind2936,1000011100110000010001010,5,10,128,0.99,1,9,0.9,4.134659778149773
11,Gen24_Ind2943,1000011110110000010001010,5,10,255,0.99,1,9,0.9,4.134659778149773
12,Gen24_Ind2943,1000011110110000010001010,5,10,255,0.99,1,9,0.9,4.134659778149773
13,Gen47_Ind5934,1000011111110000010001010,5,10,16,0.99,1,9,0.9,4.134659778149773
14,Gen47_Ind5970,1000011100110000010101010,5,10,128,0.99,1,4,0.9,4.134448104276885
15,Gen47_Ind5900,1000011100110000010001011,5,10,128,0.99,1,9,0.95,4.1344216465666666
16,Gen47_Ind5952,1000011100111000010001010,5,10,128,0.7,1,9,0.9,4.1341646464314055
17,Gen47_Ind5936,1000011000111000011001111,5,10,0,0.9,1,1,0.9,4.134138192348933
18,Gen47_Ind5938,1000011111010000010011010,5,10,64,0.3,1,10,0.9,4.134130634101839
19,Gen47_Ind5909,1000011000110100010011010,5,10,0,0.6,1,10,0.9,4.134092843280915
20,Gen47_Ind5927,1000011100110100010001010,5,10,128,0.6,1,9,0.9,4.134092843280915
21,Gen47_Ind5928,1000011100100000010001010,5,10,128,0.7,1,9,0.9,4.134085285199639
22,Gen47_Ind5930,1000011100110100010001010,5,10,128,0.01,1,9,0.9,4.134085285199639
23,Gen47_Ind5966,1000011100100000010001010,5,10,128,0.7,1,9,0.9,4.134085285199639
24,Gen47_Ind5978,1000011011110100000011010,5,10,64,0.95,1,2,0.9,4.134081506169363
25,Gen47_Ind5940,1000011001110000010101011,5,10,16,0.99,1,6,0.95,4.134062611121624
26,Gen47_Ind5935,1000011100100100010001010,5,10,128,0.8,1,9,0.9,4.134051274175885
27,Gen46_Ind5769,1000011000110100011001011,5,10,0,0.3,1,7,0.95,4.134039937292327
28,Gen47_Ind5863,1000011100110000100001010,5,10,128,0.99,2,1,0.9,4.133276730151795
29,Gen47_Ind5926,1000011100110011001001010,5,10,128,0.99,1,5,0.9,4.1330425349721125
30,Gen47_Ind5895,1000011100110001010001010,5,10,128,0.99,3,9,0.9,4.132966993801228
31,Gen47_Ind5953,1000011000110001010001010,5,10,0,0.99,3,9,0.9,4.132966993801228
32,Gen47_Ind5967,1000011110110001010001010,5,10,255,0.99,3,9,0.9,4.132966993801228
33,Gen47_Ind5972,1000011100110011010001010,5,10,128,0.99,3,9,0.9,4.132966993801228
34,Gen47_Ind5977,1000011100110011110011011,5,10,128,0.99,5,10,0.95,4.132744163434792
35,Gen47_Ind5861,1000011000111110110001010,5,10,0,0.6,2,9,0.9,4.132611987283695
36,Gen47_Ind5889,1000011100011100110001010,5,10,128,0.6,2,9,0.9,4.132544014269515
37,Gen47_Ind5957,1000011111110100111001011,5,10,0,0.6,2,9,0.95,4.132525133273512
38,Gen47_Ind5892,1000011100110000110001010,5,10,128,0.99,2,9,0.9,4.1323816433419465
39,Gen47_Ind5969,1010011100110000110001010,4,10,128,0.99,2,9,0.9,4.1323816433419465
40,Gen47_Ind5890,1000011100010100110101010,5,10,128,0.4,2,6,0.9,4.132294799013548
41,Gen47_Ind5914,1000011100010010110001010,5,10,128,0.3,4,9,0.9,4.132238163374578
42,Gen47_Ind5949,1000011000111100110001010,5,10,0,0.5,2,9,0.9,4.132211733941006
43,Gen47_Ind5882,1000011010010010001101011,5,10,32,0.3,5,7,0.95,4.130724679246248
44,Gen46_Ind5836,1000011010010010001101011,5,10,32,0.3,5,7,0.95,4.130724679246248
45,Gen47_Ind5898,1000011110011010010101010,5,10,255,0.5,5,5,0.9,4.130445504088438
46,Gen47_Ind5897,1000011000110101001001011,5,10,0,0.99,3,5,0.95,4.130226717504966
47,Gen47_Ind5887,1000011100110001010101010,5,10,128,0.99,3,6,0.9,4.130215401587977
48,Gen47_Ind5880,1000011000111101001001010,5,10,0,0.7,3,5,0.9,4.130136191905198
49,Gen47_Ind5867,1000011100100010010101010,5,10,128,0.7,5,4,0.9,4.129849553683537
50,Gen47_Ind5950,1000010011011100010101011,5,5,64,0.6,1,10,0.95,4.129004956637411
51,Gen47_Ind5923,1000010001010000010001010,5,5,16,0.3,1,9,0.9,4.128473490104433
52,Gen47_Ind5922,1000101100110100011101011,5,50,128,0.99,1,9,0.95,4.12808534215453
53,Gen47_Ind5876,1000010100010010101001011,5,5,128,0.3,2,5,0.95,4.127998678308747
54,Gen46_Ind5762,1001011100010110110011010,5,20,128,0.4,1,10,0.9,4.127693499822479
55,Gen47_Ind5964,1000010100110001011101010,5,5,128,0.99,3,3,0.9,4.127618154055932
56,Gen47_Ind5956,1000011100111110011001000,5,10,128,0.01,5,5,0.7,4.127456169971982
57,Gen47_Ind5881,1000010101111001010001010,5,5,192,0.05,3,9,0.9,4.127147305328019
58,Gen47_Ind5907,1000010110110000110001010,5,5,255,0.99,2,9,0.9,4.12546066554769
59,Gen47_Ind5877,1000011000000000010011000,5,10,0,0.01,1,10,0.7,4.1231137132771245
60,Gen47_Ind5896,1000110100111100010101010,5,100,128,0.01,1,2,0.9,4.12205770431438
61,Gen47_Ind5968,1001010001010000010111010,5,200,16,0.3,1,9,0.9,4.12193372451872
62,Gen47_Ind5884,1001010100110000010001010,5,1,128,0.99,1,9,0.9,4.121858588878215
63,Gen46_Ind5827,1000011100111100110101110,5,10,128,0.6,2,7,0.8,4.119812196479504
64,Gen47_Ind5891,1000111110110000010001010,5,200,255,0.99,1,9,0.9,4.118202795190553
65,Gen47_Ind5961,1001011000110000001011010,5,100,0,0.99,1,6,0.9,4.118105296130571
66,Gen47_Ind5903,1000111011010000010011010,5,200,64,0.3,1,10,0.9,4.1180940465361076
67,Gen47_Ind5980,1000111100010000010011010,5,200,128,0.3,1,10,0.9,4.1180940465361076
68,Gen47_Ind5951,1000011100110000010001000,5,10,128,0.99,1,9,0.7,4.1177603365231406
69,Gen47_Ind5868,1000011100010000000001000,5,10,128,0.3,1,1,0.7,4.11725799873273
70,Gen47_Ind5873,1001011100111101110101010,5,50,128,0.95,4,2,0.9,4.116946910670574
71,Gen47_Ind5886,1000111100110000110001010,5,200,128,0.99,2,9,0.9,4.114385034084158
72,Gen47_Ind5916,1000111000110000111001011,5,200,0,0.99,2,10,0.95,4.114100577930566
73,Gen47_Ind5939,1000111000010010110101011,5,200,0,0.3,2,3,0.95,4.113771256782386
74,Gen46_Ind5853,1000011100110000000001000,5,10,128,0.99,1,1,0.7,4.113090328019885
75,Gen47_Ind5908,1001011100110000010001010,5,500,128,0.99,1,9,0.9,4.109550888518143
76,Gen47_Ind5915,1001011100110000010001010,5,20,128,0.99,1,9,0.9,4.109550888518143
77,Gen47_Ind5933,1000001000110000010001010,5,2,0,0.99,1,9,0.9,4.109550888518143
78,Gen47_Ind5943,1000001100110000010101010,5,2,128,0.99,1,3,0.9,4.1088564238145855
79,Gen47_Ind5866,1000001000010000010001011,5,2,0,0.3,1,9,0.95,4.10873696967935
80,Gen47_Ind5942,1010000100101100010001110,5,1,128,0.95,1,9,0.4,4.097427836265787
81,Gen47_Ind5911,1000001110111011010101111,5,2,255,0.05,5,5,0.8,4.080665070190224
82,Gen47_Ind5937,1000011110011100011011111,5,10,255,0.6,1,4,0.6,4.072687075902003
83,Gen47_Ind5948,1000100100111110010100010,5,20,128,0.1,5,4,0.1,4.0677308288016345
84,Gen47_Ind5918,1000101001010000001110010,5,50,16,0.3,1,8,0.1,4.062874227289429
85,Gen47_Ind5963,1001011100010000010101111,5,20,128,0.3,1,5,0.95,4.062180852353822
86,Gen47_Ind5860,1000011100110010110000010,5,10,128,0.99,2,9,0.1,4.05776341396231
87,Gen47_Ind5859,1000011000110000110010010,5,10,0,0.99,2,10,0.1,4.057654193272855
88,Gen47_Ind5960,1000011100011101010001110,5,10,128,0.6,3,9,0.7,4.054543873395887
89,Gen47_Ind5904,1000011000110001011001111,5,10,0,0.99,3,1,0.05,4.048540464859793
90,Gen47_Ind5871,1100011100110000010111010,2,10,128,0.99,1,10,0.9,3.70277473022319
91,Gen47_Ind5870,1010011000110111100001011,2,10,0,0.3,1,1,0.95,3.1937306063186854
92,Gen47_Ind5901,1110001100010000010001000,4,2,128,0.3,1,9,0.7,3.1931600987638977
93,Gen47_Ind5944,1010011101110100000001100,3,10,192,0.4,1,1,0.99,2.7918721089661633
