Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen29_Ind621,1000100101001011110000011000001000,18,30,29,22,7,3,8192,0,4.228432695484785
2,Gen31_Ind657,1000110101001011100000011000001000,20,30,29,6,7,3,8192,0,4.2196093945975
3,Gen31_Ind643,1000101100011011110000100001001000,19,27,29,22,9,4,8192,0,4.087049118188171
4,Gen30_Ind624,1000100100011010110000011100001000,18,27,27,22,8,3,8192,0,4.04668109699477
5,Gen31_Ind659,1000100100001110110000100000111000,18,26,13,22,9,3,131072,0,3.7630861474662463
6,Gen31_Ind660,1000100101011010110000100010100101,18,27,27,22,9,5,65536,5,3.3650366239348033
7,Gen31_Ind651,1000100100011110110000010110001111,18,27,30,22,6,5,8192,4,3.307860396296557
8,Gen31_Ind652,0000100100001011010000110011101100,-46,26,28,22,10,6,131072,4,3.2767593574526197
9,Gen31_Ind656,1000100100111010110000011100001100,18,29,27,22,8,3,8192,4,3.2218553518603525
10,Gen31_Ind645,1000100100011011110000100001001100,18,27,29,22,9,4,8192,4,3.213402862870979
11,Gen31_Ind655,1000100100001111110000100001000000,18,26,13,22,9,4,4096,0,2.872819291111172
12,Gen31_Ind648,1000100101001011111010000000001001,18,30,29,30,1,3,8192,1,1.2454528478774354
13,Gen31_Ind647,1100100101001011111000011000001000,-16,30,29,30,7,3,8192,0,1.2452190282401792
14,Gen31_Ind642,1100110100011110011010011100001000,-7,27,17,8,8,3,8192,0,0.9999771079293781
15,Gen31_Ind646,0001100100001011010000010111011000,-38,26,28,22,6,6,32768,0,0.9999771079293781
