Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen1_Ind33,1000011010111001000101100000011000,17,21,24,11,9,3,32768,0,3.6233144467166793
2,Gen4_Ind259,1000011010101001000100111000001000,17,20,24,10,1,3,8192,0,3.5557983924919863
3,Gen3_Ind205,0101010100001001111000011011001101,-8,26,25,30,7,6,8192,5,3.4501068268502726
4,Gen3_Ind215,0110011011110011011000010111101101,1,25,12,30,6,6,131072,5,3.4455486320070636
5,Gen4_Ind260,0100011011110011011000010111101101,-15,25,12,30,6,6,131072,5,3.4455486320070636
6,Gen4_Ind314,0110011011110011011000010111101101,1,25,12,30,6,6,131072,5,3.4455486320070636
7,Gen4_Ind270,0101010100001001111000011011001111,-8,26,25,30,7,6,8192,5,3.402994865757902
8,Gen1_Ind58,0001101100010110110111100011101100,-37,27,19,29,9,6,131072,4,3.40235622271739
9,Gen4_Ind246,0110100100000110011010110110010101,2,26,18,13,1,5,16384,5,3.3723311227024917
10,Gen1_Ind26,0110010011110111011000011110100101,0,25,20,30,8,5,65536,5,3.3713982888307323
11,Gen3_Ind196,0110010011110011011000011110100101,0,25,12,30,8,5,65536,5,3.3713982888307323
12,Gen4_Ind241,0111100100001011110010100110011111,10,26,29,24,10,5,32768,4,3.366736232680907
13,Gen4_Ind242,0101100100001000010010100110011101,-6,26,22,24,10,5,32768,5,3.366736232680907
14,Gen4_Ind301,1001011100000000010010100010011101,-7,26,6,24,9,5,32768,5,3.366736232680907
15,Gen4_Ind285,0110010010110111011000010110100101,0,21,20,30,6,5,65536,5,3.329200196051889
16,Gen4_Ind286,0110010010110110011000011110100101,0,21,18,30,8,5,65536,5,3.329200196051889
17,Gen4_Ind310,0100111010101010111000110011110101,-11,20,27,30,1,6,4096,5,3.2889909366308654
18,Gen4_Ind282,0100111010100110110011010010001101,-11,20,19,25,5,5,8192,5,3.2747915524395177
19,Gen4_Ind250,0110011011110011111000000111101101,1,25,13,30,2,6,131072,5,3.2703006066104487
20,Gen4_Ind298,0111110011101111110110011100100000,12,24,28,28,8,3,65536,0,3.2639375085488322
21,Gen4_Ind271,0110010010100110011000011110000100,0,20,18,30,8,5,4096,4,3.261390593353027
22,Gen3_Ind206,0111110010111111110110011100101000,12,21,17,28,8,3,131072,0,3.2523018115961997
23,Gen4_Ind238,0111010010111010110100011100100101,8,21,27,26,8,3,65536,5,3.252114471170877
24,Gen4_Ind258,0111110010111011101110100000011101,12,21,29,20,9,3,32768,5,3.232552336910993
25,Gen4_Ind283,0110010010110000001100011110110101,0,21,6,18,8,5,4096,5,3.2181528332288747
26,Gen4_Ind273,0111100100001001010010001010111101,10,26,24,24,3,5,4096,5,3.216087424760418
27,Gen4_Ind243,0011101010010111110110011001101101,-21,19,21,28,7,4,131072,5,3.215975490168231
28,Gen4_Ind245,0111001010000001010110100110010101,7,18,8,28,10,5,16384,5,3.2150152726983423
