Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen28_Ind3835,1000111101001011001101011011101000,21,30,28,19,7,6,131072,0,4.074172044395907
2,Gen29_Ind3900,1000110101001011001101011011101000,20,30,28,19,7,6,131072,0,4.074172044395907
3,Gen31_Ind4212,1000110101001011001101011011001000,20,30,28,19,7,6,8192,0,4.074172044395907
4,Gen29_Ind3900,1000110101001011001101011011101000,20,30,28,19,7,6,131072,0,4.074172044395907
5,Gen28_Ind3835,1000111101001011001101011011101000,21,30,28,19,7,6,131072,0,4.074172044395907
6,Gen32_Ind4345,1000110101001100001101011011000000,20,30,30,19,7,6,4096,0,4.074171922398644
7,Gen32_Ind4345,1000110101001100001101011011000000,20,30,30,19,7,6,4096,0,4.074171922398644
8,Gen34_Ind4677,1000111101001100001101011011101000,21,30,30,19,7,6,131072,0,4.074171922398644
9,Gen36_Ind4986,1000110101011100001101011011101000,20,18,30,19,7,6,131072,0,4.074171922398644
10,Gen25_Ind3346,1000110100011100001101011011000000,20,27,30,19,7,6,4096,0,4.074155086846406
11,Gen27_Ind3696,1000111100011100001101111111101000,21,27,30,19,10,6,131072,0,4.074155086846406
12,Gen27_Ind3719,1000110100011100001101011011010000,20,27,30,19,7,6,16384,0,4.074155086846406
13,Gen36_Ind4875,1000110100011100001101011011000000,20,27,30,19,7,6,4096,0,4.074155086846406
14,Gen36_Ind4884,1000110100011100001101011011000000,20,27,30,19,7,6,4096,0,4.074155086846406
15,Gen36_Ind4959,1000110101001100001111011011000000,20,30,30,21,7,6,4096,0,4.0741472791012905
16,Gen36_Ind4997,1000110100011011001100010111010000,20,27,28,18,6,6,16384,0,4.074123978039882
17,Gen36_Ind4902,1000110101001011011101011011101000,20,30,28,29,7,6,131072,0,4.073783642129497
18,Gen36_Ind4876,1000110100011110001101011010100000,20,27,29,19,7,5,65536,0,4.073556905070453
19,Gen36_Ind4944,1000110100011100001101111001010000,20,27,30,19,6,4,16384,0,4.072449805332124
20,Gen36_Ind4936,1000110100011011001101011001100000,20,27,28,19,7,4,65536,0,4.0724143344443275
21,Gen36_Ind4983,1000110100011100001101011001000000,20,27,30,19,7,4,4096,0,4.0724143344443275
22,Gen36_Ind4950,1000110100011011010010011101010000,20,27,28,24,8,4,16384,0,4.072404704997238
23,Gen36_Ind4897,1000110100011011010000010101100000,20,27,28,22,6,4,65536,0,4.0721085303223425
24,Gen36_Ind4915,1000110100011011010010010101101000,20,27,28,24,6,4,131072,0,4.0721085303223425
25,Gen36_Ind4951,1000110100011101001101010111100000,20,27,17,19,6,6,65536,0,4.065183883123945
26,Gen36_Ind4965,1000110100011010001101011111010000,20,27,26,19,8,6,16384,0,4.025671858955199
27,Gen36_Ind4888,1000110100001101101101011111000000,20,26,11,19,8,6,4096,0,4.018834192879928
28,Gen36_Ind4865,1000110011111010011001011111000000,20,25,26,10,8,6,4096,0,3.9577217190919636
29,Gen36_Ind4974,1000110101101011010100011011101000,20,20,28,26,7,6,131072,0,3.957711703421338
30,Gen36_Ind4863,1000010101001101101011011011010000,16,30,28,17,7,6,16384,0,3.8926550757979483
31,Gen36_Ind4970,1000010100111110001001011011001000,16,29,14,15,7,6,8192,0,3.8925888125390986
32,Gen36_Ind4925,1000010100011100011101010001010000,16,27,30,10,5,4,16384,0,3.888600692863207
33,Gen36_Ind4945,1000111100001001001101111111101000,21,26,24,19,1,6,131072,0,3.8646439509133037
34,Gen36_Ind4872,1000110100011110010001011110001000,20,27,25,23,8,5,8192,0,3.8349478364838516
35,Gen36_Ind4905,1000000100011100010001011111010000,14,27,30,23,8,6,16384,0,3.766526625990074
36,Gen36_Ind4929,1000001101011100000111011111001000,15,14,30,13,8,6,8192,0,3.7662759810061077
37,Gen36_Ind4869,1000010100001110000001011011111000,16,26,17,7,7,6,4096,0,3.765136300807936
38,Gen36_Ind4922,1000100100011101101001011010000000,18,27,28,15,7,5,4096,0,3.7511108915341542
39,Gen36_Ind4937,1000110100011000001111111001000000,20,27,22,21,4,4,4096,0,3.7477809329859997
40,Gen36_Ind4918,1000110100011100001101001011010000,20,27,30,19,3,6,16384,0,3.7350651049090784
41,Gen36_Ind4980,1000110100011011001101111011010000,20,27,28,19,5,6,16384,0,3.7350651049090784
42,Gen36_Ind4972,1001110100011001001101111011010000,-22,27,24,19,3,6,16384,0,3.5294924375907426
43,Gen36_Ind4933,1000111100011101110001011011000100,21,27,10,23,7,6,4096,4,3.418841348103648
44,Gen36_Ind4932,1000111100011101110000011111000100,21,27,16,22,8,6,4096,4,3.37947969552761
