Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen28_Ind3835,1000111101001011001101011011101000,21,30,28,19,7,6,131072,0,4.074172044395907
2,Gen29_Ind3900,1000110101001011001101011011101000,20,30,28,19,7,6,131072,0,4.074172044395907
3,Gen31_Ind4212,1000110101001011001101011011001000,20,30,28,19,7,6,8192,0,4.074172044395907
4,Gen32_Ind4345,1000110101001100001101011011000000,20,30,30,19,7,6,4096,0,4.074171922398644
5,Gen25_Ind3346,1000110100011100001101011011000000,20,27,30,19,7,6,4096,0,4.074155086846406
6,Gen27_Ind3696,1000111100011100001101111111101000,21,27,30,19,8,6,131072,0,4.074155086846406
7,Gen27_Ind3719,1000110100011100001101011011010000,20,27,30,19,7,6,16384,0,4.074155086846406
8,Gen25_Ind3346,1000110100011100001101011011000000,20,27,30,19,7,6,4096,0,4.074155086846406
9,Gen30_Ind4023,1000110100011100001101011011010000,20,27,30,19,7,6,16384,0,4.074155086846406
10,Gen25_Ind3346,1000110100011100001101011011000000,20,27,30,19,7,6,4096,0,4.074155086846406
11,Gen33_Ind4540,1000110100011100001101011011010000,20,27,30,19,7,6,16384,0,4.074155086846406
12,Gen33_Ind4496,1000110100011100001111110111001000,20,27,30,21,5,6,8192,0,4.07412300208501
13,Gen33_Ind4488,1000110101001011001101011111101000,20,30,28,19,8,6,131072,0,4.074117146365599
14,Gen33_Ind4524,1000110100011100011101011010010000,20,27,30,27,7,5,16384,0,4.073556905070453
15,Gen33_Ind4492,1000111101001100000101010111001000,21,30,30,11,6,6,8192,0,4.073417996877592
16,Gen33_Ind4558,1000110100111100001001111011001000,20,29,30,15,9,6,8192,0,4.073090459842364
17,Gen33_Ind4567,1000110101001011011011011011101000,20,30,28,8,7,6,131072,0,4.072582186678787
18,Gen33_Ind4512,1000110100011011010011010101001000,20,27,28,25,6,4,8192,0,4.0721085303223425
19,Gen33_Ind4505,1000110100111100001100101101000000,20,29,30,18,8,4,4096,0,4.072088299385652
20,Gen33_Ind4547,1000111101001010010001011001110000,21,30,26,23,7,4,8192,0,4.025669476757208
21,Gen33_Ind4556,1000110100001011101100011111011000,20,26,29,18,8,6,32768,0,4.018864937889724
22,Gen33_Ind4453,1000110100001100001000011111001000,20,26,30,14,8,6,8192,0,4.018810095768656
23,Gen33_Ind4552,1000110100001100010011011001001000,20,26,30,25,7,4,8192,0,4.017267888418096
24,Gen33_Ind4549,1000011101001011001101011011101000,17,30,28,19,7,6,131072,0,3.8956644672838103
25,Gen33_Ind4486,1000010101011100011001010111001000,16,27,30,23,6,6,8192,0,3.853136047174864
26,Gen33_Ind4470,1000111100011111010001101101110000,21,27,19,23,3,4,65536,0,3.7476214443409614
27,Gen33_Ind4543,1101110100011100010001011000101000,-5,27,30,23,7,3,131072,0,3.7468709460762515
28,Gen33_Ind4571,1000010100011110001101011000110000,16,27,17,19,7,3,4096,0,3.705716897337126
29,Gen33_Ind4454,1000110110001100110001111111001000,20,20,8,23,4,6,8192,0,3.6684827251910863
30,Gen33_Ind4564,1000111100011101001101011011110000,21,27,12,19,7,6,32768,0,3.6323886457660426
31,Gen33_Ind4517,1000110100011101100001011011000000,20,27,11,7,7,6,4096,0,3.591689725055067
32,Gen33_Ind4483,1000010110101110001111011010010000,16,12,9,21,7,5,16384,0,3.5852678648598624
33,Gen33_Ind4484,1000110100001101101101011110000000,20,26,29,19,8,5,4096,0,3.5678106907332765
34,Gen33_Ind4538,1000110100011010001101000111000000,20,27,26,19,2,6,4096,0,3.5346030819552086
35,Gen33_Ind4530,1000101100011000010101111111001100,19,27,22,27,5,6,8192,4,3.472660822127727
36,Gen32_Ind4369,1000110100011100010001111111001000,20,27,30,23,2,6,8192,0,3.4006079880934728
37,Gen33_Ind4461,1000110101011101011101011111000100,20,11,29,21,8,6,4096,4,3.392019491205892
38,Gen33_Ind4534,1000011100000110010010001110000000,17,26,18,24,4,5,4096,0,3.389188691400708
39,Gen33_Ind4465,1000110100011100110101101111010000,20,27,11,27,10,6,16384,0,3.3291839640315457
40,Gen33_Ind4504,1000110100101101101111011011010000,20,28,15,21,7,6,16384,0,3.3274960630414236
41,Gen33_Ind4536,1000010100011100010110011001110101,16,27,30,28,7,4,32768,5,3.3026597811040457
42,Gen33_Ind4475,0000010101011100010001011011110011,-48,29,30,23,7,6,65536,3,3.2849121170022757
43,Gen33_Ind4545,1000110100011111010001011111011000,20,27,24,23,8,6,32768,0,3.2653647871420017
44,Gen33_Ind4459,1000100101011100011001111111000000,18,30,30,8,4,6,4096,0,3.255660029360885
