Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen18_Ind2316,1000101011111010000101100101110000,19,25,26,11,10,4,65536,0,3.5887761108049894
2,Gen18_Ind2316,1000101011111010000101100101110000,19,25,26,11,10,4,65536,0,3.5887761108049894
3,Gen20_Ind2648,1000101011111010000101100101111000,19,25,26,11,10,4,16384,0,3.5887761108049894
4,Gen20_Ind2647,1000101011111010000101100101110000,19,25,26,11,10,4,65536,0,3.5887761108049894
5,Gen21_Ind2840,1000101011111010000101100001111000,19,25,26,11,9,4,65536,0,3.5887761108049894
6,Gen22_Ind2904,1000101011111010000101100101101000,19,25,26,11,10,4,131072,0,3.5887761108049894
7,Gen22_Ind2944,1000101011011010000101100001010000,19,23,26,11,9,4,16384,0,3.5887761108049894
8,Gen14_Ind1891,1000101011111010011101100001010000,19,25,26,30,9,4,16384,0,3.5887761108049894
9,Gen23_Ind3026,1000101011111010000101100001010000,19,25,26,11,9,4,16384,0,3.5887761108049894
10,Gen22_Ind2944,1000101011011010000101100001010000,19,23,26,11,9,4,16384,0,3.5887761108049894
11,Gen20_Ind2647,1000101011111010000101100101110000,19,25,26,11,10,4,131072,0,3.5887761108049894
12,Gen33_Ind4425,1000101011111010000101100001010000,19,25,26,11,9,4,16384,0,3.5887761108049894
13,Gen33_Ind4455,1000101011111010000101100101110000,19,25,26,11,10,4,16384,0,3.5887761108049894
14,Gen32_Ind4254,1000101011111010000101100001010000,19,25,26,11,9,4,16384,0,3.5887761108049894
15,Gen33_Ind4373,1000111011111010000110100101110000,21,25,26,12,10,4,65536,0,3.5887648751287533
16,Gen33_Ind4412,1000110011111010001110100101110000,20,25,26,20,10,4,16384,0,3.5887648751287533
17,Gen33_Ind4441,1000111011111010001101100001101000,21,25,26,19,9,4,131072,0,3.5887648751287533
18,Gen33_Ind4458,1000101011111010011100100001110000,19,25,26,14,9,4,131072,0,3.5887648751287533
19,Gen33_Ind4431,1000100011101010011100100010110000,18,24,26,20,9,5,65536,0,3.5872082907210068
20,Gen33_Ind4388,1000111011111010111011100010110000,21,25,27,11,9,5,131072,0,3.5866650396125106
21,Gen33_Ind4475,1000101011011010001101101111010000,19,23,26,19,1,6,16384,0,3.585164097935194
22,Gen33_Ind4448,1000101011110111010001110101110000,19,25,20,23,2,4,131072,0,3.438848648921081
23,Gen33_Ind4363,1001101011111010011101100111101000,-12,25,26,25,10,6,131072,0,3.3599063679962855
24,Gen33_Ind4449,1000000011010010001111011011010101,14,23,10,21,7,6,16384,5,3.2646013444776965
25,Gen33_Ind4437,1000101011101111010101110001101000,19,24,30,27,8,4,131072,0,3.2579671112055983
26,Gen33_Ind4483,1000001111101111001111110100110000,15,18,21,21,7,3,8192,0,3.1645576679284955
27,Gen33_Ind4423,1000101010111010010101100011010011,19,21,26,27,9,6,16384,3,3.164304331815248
28,Gen33_Ind4387,0100000011100111001101010111000100,-18,24,20,19,6,6,4096,4,3.1493112793258518
29,Gen33_Ind4466,1010010011111110101111100101011000,1,25,11,21,10,4,32768,0,3.1413487135443017
30,Gen33_Ind4410,1001111011111010001100100111010101,-39,25,26,18,10,6,16384,5,3.1104422029720435
31,Gen33_Ind4392,0000110100111010010100100001110100,-44,29,26,26,9,4,4096,4,3.105494008909965
32,Gen32_Ind4323,0000111011100100101101100001011101,-43,24,15,19,9,4,32768,5,3.103849228183122
33,Gen33_Ind4362,1000101011111010010001100101010100,19,25,26,23,10,4,16384,4,3.102977091838917
34,Gen33_Ind4416,1000110011111010010001100101111100,20,25,26,23,10,4,16384,4,3.102977091838917
35,Gen33_Ind4384,1010010011111110101111010101111100,7,25,10,21,6,4,16384,4,3.0942608922869943
36,Gen33_Ind4378,1000110011110110001110100101101100,20,25,18,20,10,4,131072,4,3.081124799816791
37,Gen33_Ind4365,1000100010111010001100100000010110,18,21,26,18,9,3,16384,0,3.0610177366894717
38,Gen33_Ind4429,1000110111111010010000100100111110,20,29,26,22,10,3,32768,0,3.0578135803733772
39,Gen33_Ind4457,0100111010011010101101011100010100,-11,19,27,19,8,3,16384,4,3.0403567105225466
40,Gen33_Ind4381,0100011011111010001100010001110101,-15,25,26,18,5,4,32768,5,3.028572500500674
41,Gen33_Ind4467,1000100010011010010011110101111100,18,19,26,25,7,4,65536,4,3.0174113650853482
42,Gen33_Ind4472,1000001011111011011101100101110011,15,25,28,26,10,4,4096,3,2.9900554405796664
43,Gen32_Ind4233,1110111011110001010000100101111110,12,25,8,22,10,4,16384,0,2.92118722722586
44,Gen33_Ind4445,1000010011111010011111110101110010,16,25,26,20,2,4,131072,2,2.916859549052179
45,Gen33_Ind4361,1000111001011010010101100101111000,21,15,26,27,10,4,8192,0,2.905426682753237
46,Gen33_Ind4417,1001100001100100010100100000111100,3,16,14,26,9,3,8192,4,2.8703364824096442
47,Gen33_Ind4487,1000101011111110001101100101101010,19,25,10,19,10,4,131072,2,2.86108027211971
