Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen2_Ind231,0101101100100101010010011111011101,-5,28,16,24,8,6,32768,5,3.532290510386073
2,Gen3_Ind341,0101101100100101010010011011010101,-5,28,16,24,7,6,16384,5,3.532290510386073
3,Gen2_Ind192,0010111011101000111000011111001101,-27,24,23,30,8,6,8192,5,3.528673198204401
4,Gen2_Ind192,0010111011101000111000011111001101,-27,24,23,30,8,6,8192,5,3.528673198204401
5,Gen3_Ind368,1100101100110100010010011111011100,-10,29,14,24,8,6,32768,4,3.483382084185768
6,Gen3_Ind340,0101101100101000010111010110011101,-5,28,22,29,6,5,32768,5,3.4715298154635628
7,Gen2_Ind213,0000011100100101010101101110100101,-47,28,16,27,6,5,65536,5,3.4709669742542837
8,Gen1_Ind54,0101101100101000010010011110011101,-5,28,22,24,8,5,32768,5,3.4666325900601827
9,Gen3_Ind259,0100100100110101010010001111000101,-14,29,16,24,4,6,4096,5,3.4641350672980966
10,Gen1_Ind51,0010111011101011111000010011000100,-27,24,29,30,5,6,4096,4,3.4509147588345934
11,Gen1_Ind51,0010111011101011111000010011000100,-27,24,29,30,5,6,4096,4,3.4509147588345934
12,Gen3_Ind287,0010111010111101011000011110000101,-27,21,6,30,8,5,4096,5,3.4154348057154644
13,Gen3_Ind252,0100010010111100010100101110101101,-16,21,30,26,1,5,131072,5,3.415185823675261
14,Gen3_Ind294,0100100110100100010010011110101111,-14,29,14,24,8,5,131072,3,3.4121592957825246
15,Gen3_Ind325,1000000011111000110000011110110100,14,25,23,22,8,5,131072,4,3.3970009382010202
16,Gen3_Ind265,0010111011001000111001001011000101,-27,22,23,16,3,6,4096,5,3.391878291781079
17,Gen1_Ind21,0010101011110101110110011111100011,-29,25,17,28,8,6,65536,3,3.388516051792893
18,Gen1_Ind67,0001011011101001111000001110000101,-39,24,25,30,4,5,4096,5,3.3644373959031633
19,Gen3_Ind281,0000011011100010111010001011100100,-47,24,11,14,3,6,65536,4,3.3613288080013115
20,Gen3_Ind276,0101011011100000010011010101101101,-7,24,6,25,6,4,131072,5,3.357671978955073
21,Gen1_Ind56,0101011010111011110110011100010101,-7,21,29,28,8,3,16384,5,3.337041666644963
22,Gen1_Ind68,0011110010111100010110010100101101,-20,21,30,28,6,3,131072,5,3.337041666644963
23,Gen1_Ind38,0101010010110100010011010101101101,-8,21,14,25,6,4,131072,5,3.3365372258751727
24,Gen3_Ind327,0100010010010000010101011011001100,-16,19,6,27,7,6,8192,4,3.3298308682759594
25,Gen3_Ind374,0111001110110001001111011111001011,7,14,8,21,8,6,8192,3,3.3220942162268394
26,Gen3_Ind328,0111001100100011010010100001100000,7,28,12,24,9,4,65536,0,3.3045369354508423
27,Gen3_Ind367,0111001100100001010010100001001000,7,28,8,24,9,4,8192,0,3.3045369354508423
28,Gen3_Ind264,0010101011100110011000011101001100,-29,24,18,30,8,4,8192,4,3.3013708468813454
29,Gen3_Ind342,0101100101011110110111010110110011,-6,23,15,29,6,5,8192,3,3.296898576994453
30,Gen3_Ind247,0000001011010000110101011110011011,-49,23,7,27,8,5,32768,3,3.290264701010861
31,Gen3_Ind268,0101010010100111011000010101000100,-8,20,20,30,6,4,4096,4,3.272788476729052
32,Gen3_Ind324,0100111010100110010111011101101100,-11,20,18,29,8,4,131072,4,3.272785968846763
33,Gen3_Ind338,0110111010100110010010001110101100,5,20,18,24,4,5,131072,4,3.270452588040099
34,Gen3_Ind362,0110101010111011110110011010100011,3,21,29,28,7,5,65536,3,3.266210586395111
35,Gen3_Ind363,0101010010000100110011010101101101,-8,18,15,25,6,4,131072,5,3.247165928969035
36,Gen3_Ind251,0011110010100100010010011110101011,-20,20,14,24,8,5,131072,3,3.2461260871198205
37,Gen3_Ind312,0001101011001000111010000110011110,-37,22,23,21,2,5,32768,4,3.2181437315850374
38,Gen3_Ind277,0010001001110101001111010011011101,-33,17,16,21,5,6,32768,5,3.190898518169406
39,Gen3_Ind321,0101011010111011111001011110010100,-7,21,29,25,8,5,16384,4,3.182666369007606
40,Gen3_Ind336,0111101110110001010010100001001011,11,29,8,24,9,4,8192,3,3.1665677085830453
41,Gen3_Ind364,0001001101000110110100000110100010,-41,30,19,26,2,5,65536,2,3.0971804957351408
42,Gen3_Ind271,0001001101000110110000001110000010,-41,30,19,22,4,5,4096,2,3.0878260927193812
43,Gen2_Ind218,0001001101000110110000001110100010,-41,30,19,22,4,5,65536,2,3.0878260927193812
44,Gen3_Ind334,0010110100100011101111100110001010,-28,28,13,21,10,5,8192,2,3.087427655913652
45,Gen3_Ind320,0010001011100110010110001001000100,-33,24,18,28,3,4,4096,4,3.0872863118249554
46,Gen3_Ind292,0001101011110101110101011110010010,-37,25,17,27,8,5,16384,2,3.085342099038835
47,Gen3_Ind258,1101101100100001010000011001011010,-43,28,8,22,7,4,32768,2,3.0840122426929013
48,Gen3_Ind306,1001101100100001010000001101000010,-32,28,8,22,4,4,4096,2,3.0840122426929013
49,Gen3_Ind366,1000101011000110011001001001000100,19,22,18,20,3,4,4096,4,3.0808693735374293
50,Gen3_Ind377,0100001100101000010010000010000100,-17,28,22,24,1,5,4096,4,3.078859432432723
51,Gen2_Ind115,0010001001100101001111010011011101,-33,16,16,21,5,6,32768,5,3.070482477797174
52,Gen3_Ind304,0010101011000110001101001000000110,-29,22,18,19,3,3,4096,3,3.0698810738311635
53,Gen3_Ind245,0111001010011000101010111000010100,7,19,23,16,1,3,16384,4,3.0585008197081325
