Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen4_Ind403,100011000000111001100101,536870912,4,0,3,1,bt3,273,500,4.135792596796716
2,Gen4_Ind447,111100110001011010100100,536870912,3,0,0,1,bt4,273,200,4.13327832174833
3,Gen4_Ind424,100010000000011001100011,536870912,0,0,1,1,bt3,273,100,4.132103039402531
4,Gen3_Ind294,100010001100011001010011,536870912,0,3,1,1,bt3,64,100,4.132038936082583
5,Gen3_Ind294,100010001100011001010011,536870912,0,3,1,1,bt3,64,100,4.131112606283515
6,Gen4_Ind345,100010001100111101010011,536870912,0,2,3,1,hc3,64,100,4.1308072530666395
7,Gen2_Ind163,011110100100011010010100,134217728,2,2,1,1,bt4,64,200,4.091703896102563
8,Gen2_Ind169,011110110000011000010100,134217728,3,0,1,1,bt2,64,200,4.090980206098289
9,Gen1_Ind37,011110100100111010011100,134217728,2,2,3,1,bt4,128,200,4.090942050547649
10,Gen1_Ind37,011110100100111010011100,134217728,2,2,3,1,bt4,128,200,4.090942050547649
11,Gen3_Ind217,011110100100111010011100,134217728,2,2,3,1,bt4,128,200,4.090942050547649
12,Gen3_Ind217,011110100100111010011100,134217728,2,2,3,1,bt4,128,200,4.090942050547649
13,Gen3_Ind307,011110100100011000010100,134217728,2,2,1,1,bt2,64,200,4.090157044312598
14,Gen1_Ind30,011110001000001000100000,134217728,0,4,0,1,bt2,273,0,4.086067152062591
15,Gen4_Ind382,011110100100111000011011,134217728,2,2,3,1,bt2,128,100,4.084350963045784
16,Gen3_Ind285,011110011101001000010111,134217728,1,3,4,1,bt2,64,10,4.081599311072278
17,Gen3_Ind285,011110011101001000010111,134217728,1,3,4,1,bt2,64,50,4.0807442181730655
18,Gen4_Ind360,011110011011001000011010,134217728,1,4,4,1,bt2,128,50,4.063209259767132
19,Gen3_Ind251,011100110000001101100101,67108864,3,0,0,1,bt4,273,500,4.024339161656909
20,Gen4_Ind462,011100010000001101100011,67108864,1,0,0,1,bt2,273,100,4.0204757898348396
21,Gen4_Ind448,011010110000011101100101,33554432,3,0,1,1,bt4,273,500,3.960852730550173
22,Gen4_Ind376,011010100010101010100010,33554432,2,1,2,1,bt4,273,50,3.9596558770022483
23,Gen4_Ind347,011010110000101000001011,33554432,3,0,2,1,bt2,32,100,3.957422548959881
24,Gen4_Ind383,011010010010111010001100,33554432,1,1,3,1,bt4,32,200,3.956438934173069
25,Gen4_Ind391,011010001100111000011000,33554432,0,0,3,1,bt2,128,0,3.952038067378126
26,Gen4_Ind451,011000110010011010001101,16777216,3,1,1,1,bt4,32,500,3.894765176850226
27,Gen4_Ind368,111110100100111010011100,2097152,2,2,3,1,bt4,128,200,3.894369885746337
28,Gen4_Ind418,011000010000101000001110,16777216,1,0,2,1,bt2,32,1000,3.8907547632368646
29,Gen4_Ind458,011000000100011000110010,16777216,0,2,1,1,bt2,32,50,3.8853051785845687
30,Gen4_Ind440,010110100000001000101011,8388608,2,0,0,1,bt2,273,100,3.825960685819698
31,Gen3_Ind230,010111000000101010100011,8388608,4,0,2,1,bt4,273,100,3.8257864834656043
32,Gen4_Ind415,010110100100011010010100,8388608,2,2,1,1,bt4,64,200,3.825432310726035
33,Gen3_Ind261,010110100100001000100000,8388608,2,2,0,1,bt2,273,0,3.8253769102048496
34,Gen4_Ind416,010110010100111010100011,8388608,1,2,3,1,bt4,273,100,3.8201494022666846
35,Gen4_Ind443,010100010000101000010000,4194304,1,0,2,1,bt2,64,0,3.750622016976929
36,Gen4_Ind421,011010100000111000000101,33554432,2,0,3,1,bt2,16,500,3.7142429653825526
37,Gen4_Ind437,100001000001000001101101,268435456,4,0,4,0,bt3,64,500,3.7070145983321563
38,Gen4_Ind379,010010100100001001100000,2097152,2,2,0,1,bt3,273,0,3.6865912960119993
39,Gen4_Ind413,010010000100101000100010,2097152,0,2,2,1,bt2,273,50,3.6789088898709212
40,Gen4_Ind364,011110110000100010010100,134217728,3,0,2,0,bt4,64,200,3.673886447746642
41,Gen4_Ind434,011001000000111011100110,16777216,4,0,3,1,hc3,273,1000,3.6374673010806706
42,Gen4_Ind453,010100110000101000000011,4194304,3,0,2,1,bt2,16,100,3.6353069350376845
43,Gen4_Ind401,010000110000111000010101,1048576,3,0,3,1,bt2,64,500,3.614750840620945
44,Gen3_Ind268,011100010110000010001111,67108864,1,3,0,0,bt4,32,50,3.6118058541675984
45,Gen4_Ind457,010000000010011000100010,1048576,0,1,1,1,bt2,273,50,3.608264146752632
46,Gen4_Ind380,100010001100011100010011,536870912,0,0,1,1,hc4,64,100,3.5771311998748416
47,Gen4_Ind369,011100000000111011011101,67108864,0,0,3,1,hc3,128,500,3.5649129110622466
48,Gen3_Ind215,011000110000011011100101,16777216,3,0,1,1,hc3,273,500,3.5629293127869186
49,Gen4_Ind404,011001000000100001100010,16777216,4,0,2,0,bt3,273,50,3.5162921967680245
50,Gen4_Ind463,011000010010110000001011,16777216,1,1,3,0,bt2,32,100,3.509327217748284
51,Gen4_Ind435,110110000110111011101101,1073741824,0,3,3,1,hc3,32,500,3.4782977522602803
52,Gen4_Ind430,011110010100001011110100,134217728,1,2,0,1,hc3,273,200,3.466187124488723
53,Gen4_Ind356,001100101100101000011100,262144,2,1,2,1,bt2,128,200,3.4496440220154883
54,Gen4_Ind433,001100010001001000010110,262144,1,0,4,1,bt2,64,1000,3.441583404627954
55,Gen4_Ind390,111010110011101100000010,8388608,3,1,4,1,hc4,16,50,3.427824739510675
56,Gen4_Ind454,111100000010111011101101,4096,0,1,3,1,hc3,64,500,3.404573676672721
57,Gen4_Ind410,100000000010100100100101,268435456,0,1,2,0,hc4,273,500,3.347187455412332
58,Gen4_Ind394,110010000000001001100111,32768,0,0,0,1,bt3,273,50,3.3381726077392337
59,Gen4_Ind405,001010010000001000100000,131072,1,0,0,1,bt2,273,0,3.329562542812071
60,Gen4_Ind371,001010010000111011100110,131072,1,0,3,1,hc3,273,1000,3.3218868810147435
61,Gen4_Ind355,011110100010011011100000,134217728,2,1,1,1,hc3,273,0,3.321852952636613
62,Gen4_Ind406,010110100001001001010001,8388608,2,0,4,1,bt3,64,10,3.319264323901332
63,Gen4_Ind441,011000010010101001100001,16777216,1,1,2,1,bt3,273,10,3.3128275274645134
64,Gen4_Ind427,010110010000001001110001,8388608,1,0,0,1,bt3,128,10,3.312129037932057
65,Gen4_Ind399,001010110010011011000101,131072,3,1,1,1,hc3,16,500,3.2930792811800735
66,Gen4_Ind425,001010100001011010100001,131072,2,0,3,1,bt4,273,10,3.2859249060555933
