Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen7_Ind536,0100101101000010110101100111001101,-13,30,11,27,10,6,8192,5,3.488089525979524
2,Gen5_Ind368,0110101100110010110111100111011101,3,29,11,29,10,6,32768,5,3.484306340405134
3,Gen5_Ind368,0110101100110010110111100111011101,3,29,11,29,10,6,32768,5,3.484306340405134
4,Gen5_Ind368,0110101100110010110111100111011101,3,29,11,29,10,6,32768,5,3.484306340405134
5,Gen3_Ind198,0110101100010010110111100111111101,3,27,11,29,10,6,16384,5,3.4508733077583296
6,Gen4_Ind266,0110101100010001010111100111011101,3,27,8,29,10,6,32768,5,3.4508733077583296
7,Gen5_Ind380,1110101100010110010111011111001101,-5,27,18,29,8,6,8192,5,3.4508733077583296
8,Gen6_Ind458,0110101100010001010111110111011101,3,27,8,29,2,6,32768,5,3.4508733077583296
9,Gen6_Ind485,0110101100010000110111100111011101,3,27,7,29,10,6,32768,5,3.4508733077583296
10,Gen7_Ind557,0110101100011011110111100111011101,3,27,29,29,10,6,32768,5,3.4508733077583296
11,Gen7_Ind540,0110101100010010110011011111011101,3,27,11,25,8,6,32768,5,3.43899562838664
12,Gen7_Ind509,0110101100000001010111100111011101,3,26,8,29,10,6,32768,5,3.4368107066336435
13,Gen7_Ind519,0110101100000001010111110111011101,3,26,8,29,8,6,32768,5,3.4368107066336435
14,Gen7_Ind535,0110110100010010110111100111011100,4,27,11,29,10,6,32768,4,3.400349898151467
15,Gen7_Ind546,0010110100010001010111101111011100,-28,27,8,29,10,6,32768,4,3.400349898151467
16,Gen6_Ind484,0010110100010001010111100111011100,-28,27,8,29,10,6,32768,4,3.400349898151467
17,Gen7_Ind555,0000100100000100010111011111111100,-46,26,14,29,8,6,65536,4,3.38807271889119
18,Gen7_Ind545,0110101100000010110110100111011100,3,26,11,28,10,6,32768,4,3.3874324504707736
19,Gen7_Ind515,1010101100010010110111010011111100,-21,27,11,29,5,6,4096,4,3.361565328977143
20,Gen7_Ind518,0110111100010001010111100110011101,5,27,8,29,10,5,32768,5,3.358662689072725
21,Gen7_Ind531,0110101100010010110111110010111101,3,27,11,29,5,5,16384,5,3.358662689072725
22,Gen7_Ind579,0010101100010010111010110111101100,-29,27,11,30,10,6,131072,4,3.3177547519257375
23,Gen7_Ind551,0111110101010010110111001011101100,12,11,11,29,3,6,131072,4,3.297415935372159
24,Gen7_Ind586,0010010100000001010111100110001100,-32,26,8,29,10,5,8192,4,3.2968575215790126
25,Gen7_Ind587,0011100100001111110111100010011100,-22,26,27,29,9,5,32768,4,3.2968575215790126
26,Gen6_Ind465,1000100010100000010111100111000100,18,20,6,29,10,6,4096,4,3.2504077926830153
27,Gen7_Ind543,0010110100010001001111100101001101,-28,27,8,21,10,4,8192,5,3.224577172005809
28,Gen7_Ind544,0111101100111010110110100101011100,11,29,27,28,10,4,32768,4,3.206612726432024
29,Gen7_Ind582,1111010100000010101101100111011100,-16,26,11,19,10,6,32768,4,3.2045865997981524
30,Gen7_Ind508,0011110110010010110111001011101100,-20,27,11,29,3,6,131072,4,3.1880925142295835
31,Gen7_Ind588,0110101100011101010011100001010100,3,27,6,25,9,4,16384,4,3.1873391523447303
32,Gen7_Ind505,0110110100010000110111100110011111,4,27,7,29,10,5,32768,3,3.1866508901273347
33,Gen7_Ind581,0110101100010001010111110111011101,3,27,8,29,3,6,32768,5,3.1862110245487374
34,Gen7_Ind522,1001000100011101010001100101011100,22,27,13,23,10,4,32768,4,3.184727466490235
35,Gen7_Ind562,0111010100000001101101100110011100,8,26,9,19,10,5,32768,4,3.1800416502599242
36,Gen7_Ind532,1000100010000000010111100111000100,18,18,6,29,10,6,4096,4,3.151906096013915
37,Gen7_Ind558,0010110100000001110111110110001100,-28,26,9,29,3,5,8192,4,3.1433602345015768
38,Gen6_Ind446,0111010110011011111000100110000100,8,27,29,30,10,5,4096,4,3.140141783396433
39,Gen7_Ind510,1110110100010010110100000011011100,18,27,11,26,1,6,32768,4,3.138436430819824
40,Gen7_Ind530,1010101010010010110101000111110100,-9,19,11,27,2,6,32768,4,3.1182109694224485
41,Gen7_Ind523,0110101101101011111101001011010100,3,14,29,7,3,6,16384,4,3.117841429076359
42,Gen7_Ind533,0010110111011001010010101101001011,-28,28,24,24,3,4,8192,3,3.0519768199482473
43,Gen7_Ind550,0010110011000011110010101111101011,-28,22,13,24,5,6,131072,3,3.0053632998927475
44,Gen7_Ind514,0111010100100010010100000111000110,8,28,10,26,2,6,4096,3,2.998412743740831
45,Gen7_Ind571,0010100101011011111000001001011100,-30,13,29,30,3,4,32768,4,2.993929356337903
46,Gen7_Ind585,0101100100110111010000110101011101,-6,29,20,22,5,4,32768,5,2.952983640650843
47,Gen7_Ind578,0111100101110011110111001001111101,10,20,13,29,3,4,131072,5,2.823886846772305
48,Gen7_Ind527,0110101100010110000111100110001101,3,27,18,13,10,5,8192,5,2.6450942433166245
49,Gen7_Ind549,0111010011011001100111100101000100,8,23,25,13,10,4,4096,4,2.6369255854752858
50,Gen7_Ind572,0111010011100010100111000101000110,8,24,11,13,2,4,4096,3,2.634111677671044
51,Gen7_Ind526,1110111100010010100111011111001101,-34,27,11,13,8,6,8192,5,2.5770262027388573
52,Gen7_Ind570,1011111100010101000111001111001011,-37,27,16,13,4,6,8192,3,2.555678568049786
53,Gen7_Ind573,1111100101110011110111001011101100,17,17,13,29,3,6,131072,4,2.5265522245858447
54,Gen7_Ind565,0010110000100101010111100110000100,-28,12,16,29,10,5,4096,4,2.4321957363719413
55,Gen7_Ind504,0001010011001101111101000000001100,-40,22,26,13,1,3,8192,4,2.3914699501002907
56,Gen7_Ind554,1110101101010010011101100101001100,-39,21,10,28,10,4,8192,4,2.2850321717650037
57,Gen7_Ind575,1110101010000101111010000101001101,-35,18,17,20,2,4,8192,5,2.202490737225846
58,Gen7_Ind566,0101100111001111110001010010011100,-6,24,15,23,5,5,32768,4,2.1114260238709623
59,Gen7_Ind539,1001000011011010011100100101111101,22,23,26,15,10,4,16384,5,2.0204737200805822
60,Gen7_Ind513,0010110110011011111000100110011110,-28,12,29,30,10,5,32768,3,1.0000807471550437
61,Gen7_Ind561,0010010100001001010111100111001000,-32,26,24,29,10,6,8192,0,0.9999771028927408
62,Gen7_Ind569,0000110100010101000101001101011110,-44,27,16,11,4,4,32768,4,0.9999771028927408
