Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen1_Ind71,0100001100011000010110100011010101,-17,27,22,28,9,6,16384,5,3.3742945550671686
2,Gen1_Ind26,1000000011001000010110100111100101,14,22,22,28,10,6,65536,5,3.3507326421658026
3,Gen1_Ind45,0000110011101010111000100111010100,-44,24,27,30,10,6,16384,4,3.334345122031931
4,Gen1_Ind64,0100010100001001101111011111011100,-16,26,25,21,8,6,32768,4,3.2833257535868547
5,Gen1_Ind69,1000000010111000001010001011011000,14,21,22,16,3,6,32768,0,3.2777123101649925
6,Gen1_Ind73,1000001100000101010010010100001101,15,26,16,24,6,3,8192,5,3.216378902601586
7,Gen1_Ind35,0010010100110100001110011110011100,-32,29,14,20,8,5,32768,4,3.21501811666457
8,Gen1_Ind95,0110111010100111011000011001011101,5,20,20,30,7,4,32768,5,3.1928022206449844
9,Gen1_Ind51,0110010101000110010111000111001100,0,30,18,29,2,6,8192,4,3.174586197729891
10,Gen1_Ind30,1000000011111001010111001111001011,14,25,24,29,4,6,8192,3,3.171442082310019
11,Gen1_Ind23,0010011010111001010000001111010011,-31,21,24,22,4,6,16384,3,3.1428123917506294
12,Gen1_Ind27,0101101100010101001110100101011100,-5,27,16,20,10,4,32768,4,3.1421437833515165
13,Gen1_Ind82,0100100011000000101100010100100101,-14,22,7,18,6,3,65536,5,3.133344645809849
14,Gen1_Ind91,0110011101000001001100100101010101,1,30,8,18,10,4,16384,5,3.1329905392541426
15,Gen1_Ind43,0011011010010110110001010101000100,-23,19,19,23,6,4,4096,4,3.12746636798067
16,Gen1_Ind90,1000001010010101010010010111100000,15,19,16,24,6,6,65536,0,3.119087953855081
17,Gen1_Ind49,0000110100010100010011010010001011,-44,27,14,25,5,5,8192,3,3.113791681263782
18,Gen1_Ind24,0011011010000110010000000111001100,-23,18,18,22,2,6,8192,4,3.0719148903113314
19,Gen1_Ind46,1000101010011010110000000110100101,19,19,27,22,2,5,65536,5,3.068358357325182
20,Gen1_Ind85,0111010011010100010000011000100011,8,23,14,22,7,3,65536,3,3.0378193654225885
21,Gen1_Ind89,1000011011000111110111000010010100,17,22,21,29,1,5,16384,4,2.963608352529105
22,Gen1_Ind31,0111001100100011101111100001000010,7,28,13,21,9,4,4096,2,2.9520329314327567
23,Gen1_Ind93,0011001100010000101101000000001010,-25,27,7,19,1,3,8192,2,2.9246745609691973
24,Gen1_Ind67,0111000100010001001101100001001010,6,27,8,19,9,4,8192,2,2.9208708321162025
25,Gen1_Ind8,0101000010100011001110000101011101,-10,20,12,20,2,4,32768,5,2.9153917835575167
26,Gen1_Ind56,0111011001111001110011010000000011,9,17,25,25,5,3,4096,3,2.908429834595631
27,Gen1_Ind3,0011110011100011001010000111100011,-20,24,12,16,2,6,65536,3,2.8865250434495415
28,Gen1_Ind72,1000110010001011101111000000101000,20,18,29,21,1,3,131072,0,2.86775535515171
29,Gen1_Ind94,0110100010100000101100100001100010,2,20,7,18,9,4,65536,2,2.84690562020037
30,Gen1_Ind53,0010101001100111010011000010000100,-29,16,20,25,1,5,4096,4,2.84668752962717
31,Gen1_Ind28,0011110100000001110011000001100101,-20,26,9,25,1,4,65536,5,2.819662949540643
32,Gen1_Ind68,0111111001010110001011011000000011,13,15,18,17,7,3,4096,3,2.765551055589043
33,Gen1_Ind50,1000111100111000001111000101010011,21,29,22,21,2,4,16384,3,2.7416428518915903
34,Gen1_Ind58,0111101010011001101000011100001100,11,19,25,14,8,3,8192,4,2.7374924307772046
35,Gen1_Ind32,0110101011000110100010011110101010,3,22,19,8,8,5,131072,2,2.609147067695457
36,Gen1_Ind97,0110111001111000100110000010011010,5,17,23,12,1,5,32768,2,2.6046761313606903
37,Gen1_Ind59,0001011101001010001000000101101011,-39,30,26,14,2,4,131072,3,2.6013797895412587
38,Gen1_Ind7,0000100000110100010100011100000100,-46,13,14,26,8,3,4096,4,2.5835056533072924
39,Gen1_Ind44,0111010000110101110011001001010101,8,13,17,25,3,4,16384,5,2.579079558561615
40,Gen1_Ind6,0101101100010010100111011111100101,-5,27,11,13,8,6,65536,5,2.5598929299048754
41,Gen1_Ind42,0110011001101000010010010101010010,1,16,22,24,6,4,16384,2,2.548362182119731
42,Gen1_Ind48,0110001001110110001000000001000011,-1,17,18,14,1,4,4096,3,2.5475521525935902
