Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen8_Ind919,0111010011111101111000110011000101,8,25,24,30,3,6,4096,5,3.551339883693191
2,Gen8_Ind940,0110110011110111011000100011100101,4,25,20,30,9,6,65536,5,3.551339883693191
3,Gen8_Ind1040,0000011011111001011000100011001101,-47,25,24,30,9,6,8192,5,3.551339883693191
4,Gen9_Ind1147,0001111011110001111000111011000111,-35,25,9,30,3,6,4096,5,3.551339883693191
5,Gen9_Ind1152,0000011011111011011000100011001101,-47,25,28,30,9,6,8192,5,3.551339883693191
6,Gen9_Ind1157,0001100011110000111111010111000111,-38,25,7,30,6,6,4096,1,3.551339883693191
7,Gen10_Ind1304,0110110011111001011000100011110101,4,25,24,30,9,6,131072,5,3.551339883693191
8,Gen11_Ind1394,0000011011111001011000011011001101,-47,25,24,30,7,6,8192,5,3.551339883693191
9,Gen11_Ind1472,0110000011110111011110100011100101,-2,25,20,15,9,6,65536,5,3.551339883693191
10,Gen12_Ind1489,0000011011111001011000011011001101,-47,25,24,30,7,6,8192,5,3.551339883693191
11,Gen15_Ind1958,0000011011111111011000100011001101,-47,25,12,30,9,6,8192,5,3.551339883693191
12,Gen15_Ind1988,0110110011110111011000100011100101,4,25,20,30,9,6,65536,5,3.551339883693191
13,Gen15_Ind1989,0110110011111001011000100011110101,4,25,24,30,9,6,131072,5,3.551339883693191
14,Gen15_Ind2052,0001100111101101011000011011001101,-38,17,22,30,7,6,8192,5,3.551339883693191
15,Gen15_Ind1942,0010000011111001110110111011000101,-34,25,25,28,8,6,4096,5,3.5510195823136055
16,Gen15_Ind2051,0000011011111011010100111111001101,-47,25,28,26,8,6,8192,5,3.5495388935358165
17,Gen15_Ind1924,1101100101001101010011011011001101,-13,30,21,25,7,6,8192,5,3.5475391562236385
18,Gen15_Ind2011,0110000111001101010011100011100101,-2,19,21,25,9,6,65536,5,3.5475391562236385
19,Gen15_Ind1930,1100100011101011010100011011001101,4,24,28,26,7,6,8192,5,3.5448892266479133
20,Gen15_Ind1944,0001100011110001110010100011110101,-38,25,9,24,9,6,32768,5,3.5435732869043246
21,Gen15_Ind1959,0000011011110011011100110111101101,-47,25,12,24,9,6,131072,5,3.5343015339402912
22,Gen15_Ind1969,0000011011110011011000110011001101,-47,25,12,30,6,6,8192,5,3.519824026570276
23,Gen15_Ind1946,1110100011101011010100010011110101,-47,24,28,26,5,6,65536,5,3.5147465549293586
24,Gen15_Ind1914,0001100011111001010010010011000101,-38,25,24,24,5,6,4096,5,3.5134626591793374
25,Gen15_Ind2048,0000011011110001011000101011000111,-47,25,8,30,10,6,4096,3,3.503924939899775
