Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen1_Ind85,0110100011010100010100010111100101,2,23,14,26,6,6,65536,5,3.4818012350517065
2,Gen2_Ind174,0101100011010100010100011010100101,-6,23,14,26,7,5,65536,5,3.425397603326792
3,Gen2_Ind198,0110111011100001010010001111000100,5,24,8,24,4,6,4096,4,3.4233217067946056
4,Gen2_Ind116,0110100011010100010100010011100100,2,23,14,26,5,6,65536,4,3.4101100371705617
5,Gen1_Ind25,0001100011111001001110100011000101,-38,25,24,20,9,6,4096,5,3.397269401478338
6,Gen1_Ind25,0001100011111001001110100011000101,-38,25,24,20,9,6,4096,5,3.397269401478338
7,Gen1_Ind64,0000000100001010110011100011001011,-50,26,27,25,9,6,8192,3,3.3970472795913924
8,Gen1_Ind75,0000111011010101110000001111001100,-43,23,17,22,4,6,8192,4,3.3594313163001686
9,Gen1_Ind89,0000100100011001001111011000100101,-46,27,24,21,7,3,65536,5,3.358949345030675
10,Gen1_Ind63,0100111011101011001101100010101101,-11,24,28,19,9,5,131072,5,3.332648327756863
11,Gen1_Ind1,1000101100110011010110100001101100,19,29,12,28,9,4,131072,4,3.3164464442932706
12,Gen1_Ind76,0011011010010100110010011011010100,-23,19,15,24,7,6,16384,4,3.3162586059111305
13,Gen1_Ind87,0110111011110001010010000111000100,5,25,8,24,2,6,4096,4,3.3160327769543256
14,Gen2_Ind185,0110111011111001010010000111000100,5,25,24,24,2,6,4096,4,3.3160327769543256
15,Gen2_Ind104,0001011010010101101111010111010100,-39,19,17,21,6,6,16384,4,3.3145078678113697
16,Gen1_Ind53,0011101100111100001101010101100101,-21,29,30,19,6,4,65536,5,3.2991589018811
17,Gen2_Ind197,0001000011111001001110101101101101,-42,25,24,20,10,4,131072,5,3.2886610839963235
18,Gen2_Ind152,0010110010101001110100011111100011,-28,20,25,26,8,6,65536,3,3.285522350306882
