Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen14_Ind1658,100001000000001001111110,268435456,4,0,0,1,bt3,64,1000,3.898111148653308
2,Gen15_Ind1752,100101000001011001110100,1073741824,4,0,2,1,bt3,32,200,3.898111148653308
3,Gen17_Ind2081,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
4,Gen18_Ind2233,011011000001011001010100,33554432,4,0,3,1,bt3,64,200,3.898111148653308
5,Gen19_Ind2288,100011000000001001010110,536870912,4,0,0,1,bt3,64,1000,3.898111148653308
6,Gen20_Ind2430,100101000000001001111111,1073741824,4,0,0,1,bt3,32,50,3.898111148653308
7,Gen21_Ind2592,011101010000001001010101,67108864,1,0,0,1,bt3,64,500,3.898111148653308
8,Gen21_Ind2540,011101000000001001111100,67108864,4,0,0,1,bt3,16,200,3.898111148653308
9,Gen17_Ind2081,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
10,Gen22_Ind2727,011111000000001001010101,134217728,4,0,0,1,bt3,64,500,3.898111148653308
11,Gen23_Ind2836,011011000001011001010101,33554432,4,0,4,1,bt3,64,500,3.898111148653308
12,Gen12_Ind1382,101011000000001001011100,536870912,4,0,0,1,bt3,128,200,3.897439278302895
13,Gen12_Ind1382,101011000000001001011100,134217728,4,0,0,1,bt3,128,200,3.897439278302895
14,Gen23_Ind2789,011111000000001001011100,134217728,4,0,0,1,bt3,128,200,3.897439278302895
15,Gen23_Ind2833,110001000000001001011111,1073741824,4,0,0,1,bt3,128,0,3.897439278302895
16,Gen23_Ind2889,100011000000001001011110,536870912,4,0,0,1,bt3,128,1000,3.897439278302895
17,Gen23_Ind2807,011101100000001001101101,67108864,3,0,0,1,bt3,32,500,3.8973855386800325
18,Gen23_Ind2862,011001000000001001111100,16777216,4,0,0,1,bt3,128,200,3.8973855386800325
19,Gen23_Ind2877,100011000000001000011110,536870912,4,0,0,1,bt2,128,1000,3.897197461669976
20,Gen23_Ind2888,100011100000001000011100,536870912,4,0,0,1,bt2,128,200,3.897197461669976
21,Gen23_Ind2834,011111000000001000111111,134217728,4,0,0,1,bt2,128,500,3.896888517414307
22,Gen23_Ind2821,011011000000001101010101,33554432,4,0,0,1,bt2,64,500,3.8968750861664874
23,Gen23_Ind2880,011101010000011001010101,67108864,0,0,1,1,bt3,64,500,3.8965930513480633
24,Gen23_Ind2793,011011110000001001111110,33554432,2,0,0,1,bt3,273,1000,3.895948553608656
25,Gen23_Ind2865,110000110000001001011110,33554432,3,0,0,1,bt3,128,1000,3.895948553608656
26,Gen22_Ind2736,011011110000011111011000,33554432,4,0,1,1,hc3,128,0,3.8950761360113
27,Gen23_Ind2873,011101010000011000111100,67108864,2,0,1,1,bt2,273,200,3.894700445748851
28,Gen23_Ind2809,111100100001101001010110,524288,2,0,4,1,bt3,64,1000,3.8942175218885833
29,Gen23_Ind2854,011011000001011000010111,33554432,4,0,2,1,bt2,64,500,3.8938419972310427
30,Gen23_Ind2803,100001100000101010011111,268435456,2,0,2,1,bt4,128,10,3.8931313809548405
31,Gen23_Ind2838,111111100010011001011100,8388608,1,1,1,1,bt3,128,200,3.8929571184596528
32,Gen23_Ind2822,011011110000001010111010,33554432,3,0,0,1,bt4,273,50,3.891737717670789
33,Gen23_Ind2775,100011000001001000011110,536870912,4,0,4,1,bt2,128,1000,3.891657344462611
34,Gen23_Ind2755,100000001010001001111110,268435456,0,2,0,1,bt3,64,1000,3.8915100022028253
35,Gen23_Ind2814,100010010000001000011100,536870912,1,0,0,1,bt2,128,200,3.8911617830273744
36,Gen23_Ind2831,100101010000001000111101,1073741824,2,0,0,1,bt2,64,500,3.8911483912266873
37,Gen23_Ind2883,011010000010001101010101,33554432,0,1,0,1,hc4,64,500,3.89109482494571
38,Gen23_Ind2830,100001110000011010111111,268435456,2,0,1,1,bt4,273,500,3.890880574569056
39,Gen23_Ind2837,011100010010001001111101,67108864,1,1,0,1,bt3,273,500,3.890519080554695
40,Gen23_Ind2782,100001100000001001111100,268435456,0,0,0,1,bt3,64,200,3.890331665657344
41,Gen23_Ind2887,100001010000011001011100,268435456,4,0,1,1,bt3,128,200,3.890171038687568
42,Gen23_Ind2813,010101000000001001001111,4194304,4,0,0,1,bt3,32,50,3.8899836573198003
43,Gen23_Ind2857,011101000000101001111101,67108864,4,0,2,1,bt3,64,500,3.8897026191123296
44,Gen23_Ind2850,011110000110001101111110,134217728,0,3,0,1,bt2,128,1000,3.889060398529164
45,Gen23_Ind2759,011110010010101001111101,134217728,1,1,2,1,bt3,128,500,3.8881910627819964
46,Gen23_Ind2875,100001000000111010111110,268435456,4,0,3,1,bt4,64,1000,3.887816699448441
47,Gen23_Ind2783,110111010010111001111100,8388608,1,1,3,1,bt3,16,200,3.886493635510517
48,Gen23_Ind2826,100000000000001101111101,268435456,0,0,0,1,bt3,273,500,3.885318334427266
49,Gen23_Ind2841,011101110000001010111110,67108864,1,0,0,1,bt4,64,1000,3.885318334427266
50,Gen23_Ind2771,011100000000011010111110,67108864,0,0,1,1,bt4,64,1000,3.8851047196879884
51,Gen23_Ind2762,011000000000011001001111,16777216,0,0,1,1,bt3,32,1000,3.8850112706255886
52,Gen23_Ind2808,100101111000001001010111,1073741824,2,4,0,1,bt3,64,1000,3.8848243859866134
53,Gen23_Ind2797,101011100010011101001110,16777216,3,1,1,1,bt4,32,1000,3.884650866348965
54,Gen23_Ind2829,100001110010001110011111,268435456,3,1,0,1,hc4,128,0,3.8428487670581037
55,Gen23_Ind2890,011011110000001011111110,33554432,4,0,0,1,hc3,32,1000,3.7591224797850837
56,Gen23_Ind2780,100011110000001011110110,536870912,0,0,0,1,hc3,273,1000,3.755501431617828
57,Gen23_Ind2772,100011000000001010111010,536870912,4,0,0,1,bt4,273,50,3.741817222058585
58,Gen23_Ind2779,100001000000001010110111,268435456,4,0,0,1,bt4,273,200,3.741693390122746
59,Gen23_Ind2846,100011000000101010000111,536870912,4,0,2,1,bt4,16,50,3.7409505705938213
60,Gen23_Ind2810,010101000000101001110100,4194304,4,0,2,1,bt3,128,200,3.739787412800217
61,Gen23_Ind2817,110011010000101001110100,262144,0,0,2,1,bt3,128,200,3.7397008236033473
62,Gen23_Ind2760,011101000000001111011100,67108864,4,0,0,1,hc4,128,200,3.738835152116402
63,Gen23_Ind2825,011111000000001011010101,134217728,4,0,0,1,hc3,64,500,3.6851542510715274
64,Gen23_Ind2768,101101000000001101111101,4194304,4,0,0,1,hc4,128,500,3.6846138178262997
65,Gen23_Ind2769,100101000000001101111111,1073741824,4,0,0,1,bt2,32,50,3.6819859705799023
66,Gen23_Ind2758,011110010010011101111101,134217728,1,1,1,1,hc3,128,500,3.676896947582717
67,Gen23_Ind2754,100001100000001010011111,268435456,3,0,0,1,bt4,128,0,3.6241890141874435
68,Gen23_Ind2849,100011000000000101010101,536870912,4,0,0,0,hc4,64,500,3.5865605144033577
69,Gen23_Ind2869,100011000000000001110100,536870912,4,0,0,0,bt3,128,200,3.5865605144033577
70,Gen23_Ind2798,100001010001010001010100,268435456,2,0,2,0,bt3,64,200,3.5841956017968153
71,Gen23_Ind2784,011101010000000001010101,67108864,0,0,0,0,bt3,64,500,3.5827077616310388
72,Gen23_Ind2764,011011000000010000111110,33554432,4,0,1,0,bt2,273,1000,3.5588003386864253
73,Gen23_Ind2886,100011000000010101111110,536870912,4,0,1,0,hc3,273,1000,3.558665921752542
74,Gen23_Ind2787,011011000001010101111111,33554432,4,0,4,0,bt3,32,500,3.558173146522152
75,Gen23_Ind2796,011111000001001101010100,134217728,4,0,4,1,hc3,64,200,3.545453191342578
76,Gen23_Ind2835,001101100100011010001111,262144,1,2,1,1,bt4,32,500,3.492802771693631
77,Gen23_Ind2861,011001100001001110000111,16777216,4,0,4,1,bt4,16,50,3.4731570168216948
78,Gen23_Ind2765,011101000001111111010000,67108864,4,0,2,1,bt2,64,0,3.4102799411221776
79,Gen22_Ind2748,001011000000001001011100,131072,4,0,0,1,bt3,128,200,3.3466347875763307
80,Gen23_Ind2804,101110110010001001011100,16777216,3,1,0,1,bt3,128,200,3.343972192317248
81,Gen23_Ind2868,110101000000101000110000,524288,4,0,2,1,bt2,32,0,3.343349222730512
82,Gen23_Ind2788,100111010000001101010110,1048576,1,0,0,1,bt2,64,1000,3.337132269385273
83,Gen23_Ind2884,100101000000000101111100,1073741824,4,0,0,0,hc4,64,200,3.242182907350533
84,Gen23_Ind2842,101001010010001100001100,65536,2,1,0,1,hc4,32,200,3.1553993145676698
85,Gen23_Ind2885,010101000000101000010111,4194304,4,0,2,1,bt2,64,0,2.946511873364676
86,Gen23_Ind2800,011011010001011000110111,33554432,4,0,3,1,bt2,64,1000,2.93341640094544
87,Gen23_Ind2756,000101000000001001011100,16384,4,0,0,1,bt3,128,200,2.8257116615015496
88,Gen23_Ind2791,000101000001001011010101,16384,4,0,4,1,hc3,64,500,2.824172948858215
89,Gen23_Ind2785,000100000000000111010110,16384,0,0,0,0,hc3,64,1000,2.6677231392868603
90,Gen23_Ind2863,101011000000101001111100,131072,4,0,2,1,bt3,32,200,2.5183790363716145
91,Gen23_Ind2776,101011000000111000110100,536870912,4,0,3,1,bt2,64,200,2.51821076264146
92,Gen23_Ind2777,000001110000001010011111,4096,2,0,0,1,bt4,128,50,2.512324151002931
93,Gen23_Ind2794,100011001010001010010110,536870912,4,4,0,1,bt4,64,1000,0
94,Gen23_Ind2818,001011000010001001011100,131072,4,1,0,1,bt3,128,200,0
95,Gen23_Ind2845,011101101001001000010100,67108864,4,4,4,1,bt2,64,200,0
96,Gen23_Ind2853,100000110110001001011111,268435456,3,3,0,1,bt3,128,50,0
97,Gen23_Ind2858,100111000100010101010101,33554432,4,2,1,0,bt2,64,500,0
98,Gen23_Ind2872,011101000010001100111101,67108864,4,1,0,1,hc4,16,500,0
99,Gen23_Ind2876,101001110110001011011111,16384,3,3,0,1,hc3,128,100,0
100,Gen23_Ind2879,000101000100001001010111,16384,4,2,0,1,bt3,64,200,0
