Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen13_Ind1593,111001000000001001010011,16384,4,0,0,1,bt3,64,100,3.898003633831175
2,Gen10_Ind1177,011111010001101010010011,134217728,4,0,1,1,bt4,64,100,3.8978961249396678
3,Gen12_Ind1382,111011000000001001010010,8192,4,0,0,1,bt3,64,50,3.8977483098965426
4,Gen9_Ind1075,111011000000001001100110,33554432,4,0,0,1,bt3,273,1000,3.8973855386800325
5,Gen12_Ind1363,111011000000001001100110,536870912,4,0,0,1,bt3,273,1000,3.8973855386800325
6,Gen12_Ind1436,110011000000001001100110,2097152,4,0,0,1,bt3,273,1000,3.8973855386800325
7,Gen12_Ind1431,101100100000001010010011,1073741824,2,0,0,1,bt4,64,100,3.897278063880099
8,Gen13_Ind1567,011000110000001010010111,16777216,3,0,0,1,bt4,64,50,3.8972646299468816
9,Gen7_Ind796,100000100000001010010010,268435456,2,0,0,1,bt4,64,50,3.897210895140136
10,Gen7_Ind796,100000100000001010010010,268435456,2,0,0,1,bt4,64,50,3.897210895140136
11,Gen7_Ind796,100000100000001010010010,268435456,2,0,0,1,bt4,64,50,3.897210895140136
12,Gen7_Ind841,100101000001011010011100,1073741824,4,0,4,1,bt4,128,200,3.897157161815142
13,Gen13_Ind1496,011000100001011010010110,16777216,2,0,3,1,bt4,64,1000,3.8970899972425204
14,Gen13_Ind1514,100100100000001010010100,1073741824,2,0,0,1,bt4,64,200,3.8970899972425204
15,Gen13_Ind1564,100001100000001000010011,268435456,4,0,0,1,bt2,64,100,3.8966870584180597
16,Gen13_Ind1596,011010100000001110010000,33554432,2,0,0,1,bt2,64,0,3.8961499362486647
17,Gen13_Ind1483,011111010011101010010010,134217728,4,1,1,1,bt4,64,50,3.8959888284712028
18,Gen13_Ind1487,011011100000011101110010,33554432,0,0,1,1,hc3,16,50,3.8957069219186624
19,Gen13_Ind1526,100000100000011010010010,268435456,2,0,1,1,bt4,64,50,3.8957069219186624
20,Gen13_Ind1547,011001110000011010010010,16777216,0,0,1,1,bt4,64,50,3.8957069219186624
21,Gen13_Ind1491,101100100000011010010011,536870912,2,0,1,1,bt4,64,100,3.895666652884304
22,Gen13_Ind1569,011111010011101010010011,134217728,4,1,0,1,bt4,64,100,3.895317689456059
23,Gen13_Ind1519,011010100001011001011111,33554432,2,0,2,1,bt3,128,10,3.895250588271773
24,Gen12_Ind1474,011010100000011001110011,33554432,2,0,1,1,bt3,16,100,3.895156650497478
25,Gen13_Ind1575,011011100000011000010010,33554432,3,0,1,1,bt2,64,50,3.89484802970853
26,Gen13_Ind1611,100111110000101000111010,4194304,0,0,2,1,bt2,32,50,3.8947406948104515
27,Gen13_Ind1571,011110100010001010100101,134217728,2,1,0,1,bt4,273,500,3.894700445748851
28,Gen13_Ind1608,111001100000011000011110,2097152,4,0,1,1,bt2,128,1000,3.894700445748851
29,Gen13_Ind1513,100000100000101000010010,268435456,2,0,2,1,bt2,64,50,3.8943918972447737
30,Gen13_Ind1543,100001100000011000101000,268435456,0,0,1,1,bt2,32,0,3.894338241625764
31,Gen13_Ind1495,101100100000111001010111,33554432,2,0,3,1,bt3,64,10,3.893949282599861
32,Gen13_Ind1489,100101010001011010011100,1073741824,2,0,4,1,bt4,128,200,3.893828586975613
33,Gen13_Ind1508,101100100000101010111100,16384,2,0,2,1,bt4,64,200,3.89354699294727
34,Gen13_Ind1578,101010100010011000010011,4194304,2,1,1,1,bt2,64,100,3.893372693244076
35,Gen13_Ind1538,011110100010101000010010,134217728,2,1,2,1,bt2,64,50,3.892823081001797
36,Gen13_Ind1562,101110100000111000010111,262144,2,0,3,1,bt2,64,100,3.8928096777636614
37,Gen13_Ind1517,011000100010101000111101,16777216,2,1,2,1,bt2,64,500,3.8927024551811518
38,Gen13_Ind1548,100011100010111000010101,536870912,1,1,3,1,bt2,64,500,3.892501428758323
39,Gen13_Ind1527,011000100000111000011101,16777216,2,0,3,1,bt2,128,500,3.892340622568629
40,Gen13_Ind1506,100000110001001000010100,268435456,3,0,4,1,bt2,64,200,3.892233425823287
41,Gen13_Ind1581,111111100100011110011100,67108864,1,2,1,1,bt4,128,200,3.891536790874734
42,Gen13_Ind1602,100100010000011010010111,1073741824,1,0,1,1,bt4,64,100,3.8906261828893127
43,Gen13_Ind1510,011010110011001010010010,33554432,3,1,4,1,bt4,64,50,3.890559243239151
44,Gen13_Ind1577,011010100100011000011111,33554432,2,2,1,1,bt2,128,1000,3.890264736141266
45,Gen13_Ind1521,100100010000001000011010,1073741824,1,0,0,1,bt2,128,50,3.8901978089280678
46,Gen13_Ind1576,011010010000011001011111,33554432,1,0,1,1,bt3,128,0,3.890171038687568
47,Gen13_Ind1560,010110010100011010010110,8388608,1,2,1,1,bt4,64,1000,3.8899301231016947
48,Gen13_Ind1486,011000100001011110111010,16777216,2,0,0,1,hc3,273,50,3.8896089487336503
