Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen13_Ind1593,111001000000001001010011,131072,4,0,0,1,bt3,64,100,3.898003633831175
2,Gen17_Ind2119,011001000001011001010011,16777216,4,0,2,1,bt3,64,100,3.898003633831175
3,Gen10_Ind1177,011111010001101010010011,134217728,4,0,4,1,bt4,64,100,3.8978961249396678
4,Gen14_Ind1667,101011000000001010010010,4096,4,0,0,1,bt4,64,50,3.897842372717745
5,Gen15_Ind1753,100101000000001110010010,1073741824,4,0,0,1,hc3,64,50,3.897842372717745
6,Gen16_Ind1938,100001100000001010010111,268435456,2,0,0,1,bt4,64,0,3.897842372717745
7,Gen17_Ind2117,100001100000001010010111,268435456,1,0,0,1,bt4,64,10,3.897842372717745
8,Gen15_Ind1753,100101000000001110010010,1073741824,4,0,0,1,bt4,64,50,3.897842372717745
9,Gen12_Ind1382,111011000000001001010010,134217728,4,0,0,1,bt3,64,50,3.8977483098965426
10,Gen9_Ind1075,111011000000001001100110,16777216,4,0,0,1,bt3,273,1000,3.8973855386800325
11,Gen12_Ind1363,111011000000001001100110,33554432,4,0,0,1,bt3,273,1000,3.8973855386800325
12,Gen18_Ind2263,100100100000001010010110,1073741824,2,0,0,1,bt4,64,1000,3.8970899972425204
13,Gen19_Ind2295,111001000000001000010010,65536,4,0,0,1,bt2,64,50,3.8969422433314604
14,Gen19_Ind2311,011011000000001010100011,33554432,4,0,0,1,bt4,273,100,3.8967676395169297
15,Gen19_Ind2306,111000110000001001010010,4194304,3,0,0,1,bt3,64,50,3.8967407787803383
16,Gen19_Ind2321,110000110000001010110010,1048576,3,0,0,1,bt4,16,50,3.8965796221369047
17,Gen19_Ind2367,011001000001101000011111,16777216,4,0,3,1,bt2,128,200,3.896525906217906
18,Gen19_Ind2363,011000110000001001010011,16777216,3,0,0,1,bt3,64,100,3.8963916228995217
19,Gen18_Ind2195,011010110010001101010010,33554432,3,1,0,1,bt4,64,50,3.8958143100804574
20,Gen19_Ind2316,101001000000101001010010,8388608,4,0,2,1,bt3,64,50,3.895774038825986
21,Gen19_Ind2345,011001000000011000010100,16777216,4,0,1,1,bt2,64,200,3.8953713720680248
22,Gen19_Ind2334,101011000000101010010110,134217728,4,0,2,1,bt4,64,1000,3.894888281820562
23,Gen19_Ind2375,011000100000101010010011,16777216,2,0,2,1,bt4,64,100,3.894700445748851
24,Gen19_Ind2359,011110100001101010100100,134217728,2,0,2,1,bt4,273,200,3.89354699294727
25,Gen19_Ind2374,100010100000101000110011,536870912,2,0,2,1,bt2,273,100,3.8934129148673873
26,Gen19_Ind2340,011000110000101001110100,16777216,3,0,2,1,bt3,273,200,3.8931313809548405
