Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen3_Ind274,011010100000011001010011,33554432,2,0,1,1,bt3,64,100,3.8960693806944273
2,Gen3_Ind294,100101000001011010011100,1073741824,4,0,3,1,bt4,128,200,3.895250588271773
3,Gen1_Ind40,011010100000011000010011,33554432,2,0,1,1,bt2,64,100,3.8946736135032727
4,Gen1_Ind62,100010100000111000010011,536870912,2,0,3,1,bt2,64,100,3.8931179755936314
5,Gen2_Ind145,101010010010011001011100,2097152,1,1,1,1,bt3,128,200,3.889354723302958
6,Gen2_Ind215,011100000000011001100100,67108864,0,0,1,1,bt3,273,200,3.889006889719768
7,Gen2_Ind225,101010100100111000010011,65536,2,2,3,1,bt2,64,100,3.888873124137955
8,Gen3_Ind240,101110010100111001010011,1048576,1,2,3,1,bt3,64,100,3.8880439828745335
9,Gen2_Ind109,011100000100011000100100,67108864,0,2,1,1,bt2,273,200,3.887241924670368
10,Gen2_Ind118,100100010001001010011000,1073741824,1,0,4,1,bt4,128,0,3.8865604353296255
11,Gen1_Ind43,100100010011001010011000,1073741824,1,1,4,1,bt4,128,0,3.886440197308492
12,Gen3_Ind301,100010010100111010100100,536870912,1,2,3,1,bt4,273,200,3.8860528142872854
13,Gen1_Ind49,011110000001001010100000,134217728,0,0,4,1,bt4,273,0,3.8851981732460965
14,Gen2_Ind218,100100000101001010011000,1073741824,0,2,4,1,bt4,128,0,3.8850780194971426
15,Gen1_Ind23,010100010101001000011100,4194304,1,2,4,1,bt2,128,200,3.8837701595589373
16,Gen2_Ind130,101000001001011001001011,131072,0,4,0,1,bt3,32,100,3.876353403823473
17,Gen3_Ind241,010010100100011000010000,2097152,2,2,1,1,bt2,64,0,3.838960419404237
18,Gen3_Ind297,101010100100111000010011,1073741824,2,2,3,1,bt2,64,100,3.8363682171068705
19,Gen3_Ind318,010000010000001001101100,1048576,1,0,0,1,bt3,16,200,3.7454491396844958
20,Gen3_Ind242,010000110011001111010100,1048576,3,1,4,1,bt2,64,200,3.7450025173731873
21,Gen3_Ind310,100010110010101000000100,536870912,3,1,2,1,bt2,16,200,3.738835152116402
