Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen14_Ind1658,100001000000001001111110,268435456,4,0,0,1,bt3,16,1000,3.898111148653308
2,Gen15_Ind1752,100101000001011001110100,1073741824,4,0,0,1,bt3,64,200,3.898111148653308
3,Gen17_Ind2081,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
4,Gen18_Ind2233,011011000001011001010100,33554432,4,0,3,1,bt3,64,200,3.898111148653308
5,Gen19_Ind2288,100011000000001001010110,536870912,4,0,0,1,bt3,64,1000,3.898111148653308
6,Gen20_Ind2430,100101000000001001111111,1073741824,4,0,0,1,bt3,128,200,3.898111148653308
7,Gen21_Ind2592,011101010000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
8,Gen21_Ind2540,011101000000001001111100,67108864,4,0,0,1,bt3,64,200,3.898111148653308
9,Gen17_Ind2081,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
10,Gen22_Ind2727,011111000000001001010101,134217728,4,0,0,1,bt3,64,500,3.898111148653308
11,Gen34_Ind4213,011111000000001001010101,134217728,4,0,0,1,bt3,64,500,3.898111148653308
12,Gen35_Ind4298,011101000000001001010101,67108864,4,0,0,1,bt3,64,500,3.898111148653308
13,Gen35_Ind4300,011111000000001001010101,134217728,4,0,0,1,bt3,64,500,3.898111148653308
14,Gen35_Ind4366,100011010000001001010110,536870912,4,0,0,1,bt3,64,1000,3.898111148653308
15,Gen35_Ind4380,011101000000001001010100,67108864,4,0,0,1,bt3,64,200,3.898111148653308
16,Gen35_Ind4382,011111000000001001010110,134217728,4,0,0,1,bt3,64,1000,3.898111148653308
17,Gen35_Ind4345,100001000000001001010011,268435456,4,0,0,1,bt3,64,100,3.898003633831175
18,Gen35_Ind4285,011001000000001001111100,16777216,4,0,0,1,bt3,273,200,3.897439278302895
19,Gen35_Ind4316,100101000000001001011111,1073741824,4,0,0,1,bt3,128,100,3.897439278302895
20,Gen35_Ind4313,011111000000001001111100,134217728,4,0,0,1,bt3,32,200,3.8973855386800325
21,Gen35_Ind4343,011111000000001001110101,134217728,4,0,0,1,bt3,273,500,3.8973855386800325
22,Gen35_Ind4375,011011000000001000111101,33554432,4,0,0,1,bt2,128,500,3.897197461669976
23,Gen35_Ind4395,011111000000001000111110,134217728,4,0,0,1,bt2,273,1000,3.897157161815142
24,Gen35_Ind4386,100011000000001000110100,536870912,4,0,0,1,bt2,273,200,3.8971437287154105
25,Gen34_Ind4195,100011000000001001110111,536870912,4,0,0,1,bt3,16,50,3.8970899972425204
26,Gen18_Ind2233,011011000001011001010100,33554432,4,0,0,1,bt3,64,200,3.8965930513480633
27,Gen35_Ind4374,100001000001101001010100,268435456,4,0,2,1,bt3,64,200,3.8965930513480633
28,Gen35_Ind4314,011101110000001001010111,67108864,3,0,0,1,bt3,64,50,3.8961499362486647
29,Gen35_Ind4303,100101000001011001010100,1073741824,4,0,0,1,bt3,64,200,3.895586117313046
30,Gen34_Ind4224,011101110010001001011100,67108864,1,1,0,1,bt3,128,200,3.89557269504157
31,Gen35_Ind4367,011001000000011001110100,16777216,4,0,1,1,bt3,32,200,3.8945662882180305
32,Gen35_Ind4282,010101000000101001011101,4194304,4,0,2,1,bt3,128,500,3.8936676711149376
33,Gen34_Ind4178,100001010000101000111010,268435456,4,0,2,1,bt2,273,50,3.8927292602730295
34,Gen35_Ind4377,100011000001001001010100,536870912,4,0,4,1,bt3,64,200,3.8927024551811518
35,Gen34_Ind4178,100001010000101000111010,268435456,3,0,2,1,bt2,16,50,3.8918046978803087
36,Gen35_Ind4293,011010000000001001010110,33554432,0,0,0,1,bt3,64,1000,3.8917779055198336
37,Gen35_Ind4302,011011000000001001110011,33554432,4,0,0,1,bt3,16,100,3.891295706104243
38,Gen35_Ind4383,100011000000001001111110,536870912,4,0,0,1,bt3,32,1000,3.8911483912266873
39,Gen35_Ind4352,011001100010011001010100,16777216,4,1,1,1,bt3,64,200,3.8910412601395183
40,Gen35_Ind4304,100011010100001001011101,536870912,3,2,0,1,bt3,128,500,3.8907600691003195
41,Gen35_Ind4360,011101110000011000010111,67108864,3,0,1,1,bt2,64,50,3.8905458555855312
42,Gen35_Ind4381,011011010001011001010101,33554432,0,0,4,1,bt3,64,500,3.890398597476421
43,Gen35_Ind4296,011101110000001001001111,67108864,3,0,0,1,bt3,32,10,3.890331665657344
44,Gen35_Ind4308,011000110000001001001111,16777216,3,0,0,1,bt3,32,10,3.890264736141266
45,Gen34_Ind4251,011101100000011001010111,67108864,0,0,1,1,bt3,64,1000,3.889876590357052
46,Gen35_Ind4357,101111110000011001010111,1048576,4,0,1,1,bt3,64,0,3.889876590357052
47,Gen35_Ind4295,100101010001011101010101,1073741824,4,0,4,1,hc4,64,500,3.8898096764982126
48,Gen35_Ind4297,011100110000101001001111,67108864,3,0,2,1,bt3,32,50,3.8890470211887727
49,Gen15_Ind1752,100101000001011001110100,1073741824,4,0,3,1,bt3,16,200,3.8885521242824765
50,Gen35_Ind4320,011010000001011000011111,33554432,0,0,0,1,bt2,128,1000,3.8868009336926925
51,Gen35_Ind4321,100100000000011001111111,1073741824,0,0,1,1,bt3,64,0,3.8850112706255886
52,Gen35_Ind4378,011010000011011001110100,33554432,0,1,2,1,bt3,128,200,3.884757645829969
53,Gen35_Ind4319,011101101000011001010110,67108864,4,4,1,1,bt3,64,1000,3.884077027194152
54,Gen35_Ind4359,111000000100001001111101,262144,0,2,0,1,bt3,273,500,3.8330126792555177
55,Gen35_Ind4394,011101000000011101010101,67108864,4,0,1,1,bt4,64,500,3.809969705547356
56,Gen32_Ind4022,100101010001011101001101,1073741824,2,0,1,1,bt2,32,500,3.8028063017762426
57,Gen35_Ind4283,100011000000111011111110,536870912,4,0,3,1,hc3,128,1000,3.763264012089057
58,Gen35_Ind4312,100011100000111011101110,536870912,2,0,3,1,hc3,128,1000,3.7603477234177003
59,Gen35_Ind4340,100101100000001011111110,1073741824,4,0,0,1,hc3,273,1000,3.7597224993349294
60,Gen35_Ind4336,100010110001001011011110,536870912,3,0,4,1,hc3,128,1000,3.7595849779370933
61,Gen35_Ind4392,110111000000001000110101,2097152,4,0,0,1,bt2,128,500,3.751115590060051
62,Gen35_Ind4348,011001010001001001111100,16777216,1,0,4,1,bt3,32,200,3.739601869430902
63,Gen35_Ind4347,011101000000001100010100,67108864,4,0,0,1,hc4,64,200,3.739032984549447
64,Gen35_Ind4342,011111100100011001000111,134217728,1,2,1,1,bt3,16,500,3.7374879755643633
65,Gen34_Ind4273,011111010100001001111101,134217728,3,2,0,1,bt3,128,500,3.737376784191354
66,Gen35_Ind4351,011101010010001100111111,67108864,2,1,0,1,hc4,32,100,3.736932084850969
67,Gen35_Ind4389,010101110011001001110101,4194304,2,1,4,1,bt3,128,500,3.736191154407926
68,Gen35_Ind4331,100100000000001101000101,1073741824,0,0,0,1,bt3,16,500,3.7360059677030293
69,Gen34_Ind4185,100100000000001101010101,1073741824,0,0,0,1,bt3,64,500,3.6787513136959515
70,Gen35_Ind4290,010100110011001011011101,4194304,3,1,4,1,hc3,128,500,3.677471003037932
71,Gen35_Ind4280,011111010010011100010111,134217728,2,1,1,1,hc4,64,1000,3.653939067822355
72,Gen35_Ind4393,100111010000011001111111,2097152,4,0,1,1,bt3,32,100,3.6377972580349356
73,Gen35_Ind4301,100101000000000001011101,1073741824,4,0,0,0,bt3,128,500,3.5865718917135623
74,Gen35_Ind4356,100010100001000001010110,536870912,2,0,4,0,bt3,64,1000,3.5841956017968153
75,Gen35_Ind4334,111101010000001011110100,2097152,3,0,0,1,hc3,128,200,3.5447195573112618
76,Gen35_Ind4353,011000000001001101111100,16777216,0,0,4,1,hc3,32,200,3.537510559744689
77,Gen35_Ind4292,001101000000101001010101,262144,4,0,2,1,bt3,64,500,3.502953405439905
78,Gen35_Ind4322,100010100001000100010100,536870912,2,0,4,0,hc4,64,200,3.426360999824231
79,Gen34_Ind4168,101100000100000100010100,65536,0,2,0,0,hc4,64,200,3.4218397222877965
80,Gen35_Ind4388,011111010000001001101001,134217728,4,0,0,1,bt3,16,10,3.384381613489348
81,Gen35_Ind4291,001010010000101101111100,131072,1,0,2,1,bt2,16,200,3.253771429229224
82,Gen35_Ind4329,101111110000101001011110,16384,3,0,2,1,bt3,128,1000,2.9838216975704506
83,Gen35_Ind4330,110011100000000000101111,8192,1,0,0,0,bt2,16,1000,2.967843568057371
84,Gen35_Ind4294,100011000001011000011111,536870912,4,0,4,1,bt2,128,10,2.9451763526010053
85,Gen35_Ind4363,000011110000001000000111,8192,0,0,0,1,bt2,16,50,2.6559915947830337
86,Gen35_Ind4288,000011110001011001011110,8192,4,0,1,1,bt3,128,1000,2.6463062263894805
87,Gen35_Ind4305,000001010000101000111010,4096,3,0,2,1,bt2,128,50,2.5112304459750305
88,Gen35_Ind4371,100110110001001001110111,67108864,3,0,4,1,bt3,273,0,2.5108121882647647
89,Gen35_Ind4289,011101000010001001011100,67108864,4,1,0,1,bt3,128,200,0
