Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen42_Ind5788,1000111011111010010101111110001000,21,25,26,27,6,5,8192,0,3.995630089211355
2,Gen42_Ind5816,1000111011111011110111110110001000,21,25,29,29,6,5,8192,0,3.995630089211355
3,Gen30_Ind4098,1000111011111110010111100101001000,21,25,10,29,10,4,8192,0,3.9939564338595552
4,Gen33_Ind4469,1000111011111010011000100101001000,21,25,26,30,10,4,8192,0,3.9939564338595552
5,Gen39_Ind5283,1000111011111010011000100101000000,21,25,26,30,10,4,4096,0,3.9939564338595552
6,Gen39_Ind5361,1000110011111011010111100101001000,20,25,28,29,10,4,8192,0,3.9939564338595552
7,Gen41_Ind5564,1000111011111111011000100101000000,21,25,13,30,10,4,4096,0,3.9939564338595552
8,Gen42_Ind5716,1000110011111010011010100101000000,20,25,26,15,10,4,4096,0,3.9939564338595552
9,Gen42_Ind5769,1000110011111010010001100001001000,20,25,26,23,9,4,8192,0,3.9939564338595552
10,Gen42_Ind5733,1000111011111010000111100101001000,21,25,26,13,10,4,8192,0,3.9939545646377423
11,Gen39_Ind5323,1000111011111010011010100101000000,21,25,26,25,10,4,4096,0,3.9936653236458626
12,Gen29_Ind3970,1000111011111010010111100111001000,21,25,26,29,10,6,8192,0,3.9920273935916724
13,Gen32_Ind4337,1000111011111011010111100111001000,21,25,28,29,10,6,8192,0,3.9920273935916724
14,Gen35_Ind4816,1000111011111010011000100111001000,21,25,26,30,10,6,8192,0,3.9920273935916724
15,Gen38_Ind5156,1000111011111010011001100111001000,21,25,26,15,10,6,8192,0,3.9920273935916724
16,Gen29_Ind3970,1000111011111010010111100111001000,21,25,26,29,10,6,8192,0,3.9920273935916724
17,Gen42_Ind5725,1000111011111010010111100011001000,21,25,26,29,9,6,8192,0,3.9920273935916724
18,Gen42_Ind5737,1000111011111010010111100111011000,21,25,26,29,10,6,32768,0,3.9920273935916724
19,Gen32_Ind4337,1000111011111011010111100111001000,21,25,28,29,10,6,8192,0,3.9920273935916724
20,Gen42_Ind5806,1000101011111011011000100111000000,19,25,28,30,10,6,4096,0,3.9920273935916724
21,Gen42_Ind5759,1000010111011010010101100011000000,16,11,26,27,9,6,4096,0,3.886325085157051
22,Gen42_Ind5744,1000010011101011001000101111000000,16,24,28,14,2,6,4096,0,3.886222879904478
23,Gen42_Ind5772,1000101011111110110111001111000000,19,25,9,29,4,6,4096,0,3.865577177414816
24,Gen42_Ind5792,1000011011111011010111001111001000,17,25,28,29,4,6,8192,0,3.858842376011937
25,Gen42_Ind5774,1000111011111111010111101111001000,21,25,14,29,1,6,8192,0,3.8114816827959777
26,Gen42_Ind5730,1000111010111011111010100101001000,21,21,29,21,10,4,8192,0,3.734014230963942
27,Gen42_Ind5794,1000111011111010011000000111000000,21,25,26,30,2,6,4096,0,3.5916064934469163
28,Gen42_Ind5692,1000111111111010010001110111000000,21,27,26,23,9,6,4096,0,3.5904795843912582
29,Gen42_Ind5723,1000111111111011010111100100010000,21,14,28,29,10,3,16384,0,3.5862758848561542
30,Gen42_Ind5710,1000111011111111010010100111001000,21,25,13,24,10,6,8192,0,3.5839651080603563
31,Gen42_Ind5798,0111111110001011110111010011010000,13,29,29,29,5,6,16384,0,3.543353322975203
32,Gen42_Ind5726,0011011110011110010101101011001101,-23,18,11,27,7,6,8192,5,3.515333646467005
33,Gen42_Ind5696,1111000111011000010000010111000101,-47,18,22,22,6,6,4096,5,3.514499398110607
34,Gen42_Ind5780,0111010011111100010001111011100101,8,25,30,23,10,6,65536,5,3.5064584863247856
35,Gen42_Ind5812,1000010011100011011000100111000100,16,24,12,30,10,6,4096,4,3.5003832579789185
36,Gen42_Ind5743,1000111111011011111000010011001100,21,16,29,30,5,6,8192,4,3.4711844113879797
37,Gen42_Ind5762,0111111011011101001000110011100000,13,23,25,14,3,6,65536,0,3.455988034652369
38,Gen42_Ind5729,0111111011101001110111100110001100,13,24,25,29,10,5,8192,4,3.427923812014256
39,Gen42_Ind5813,0111111011101001110110100110001100,13,24,25,28,10,5,8192,4,3.4277145290918125
40,Gen42_Ind5820,1000011011011010111001010011000100,17,23,27,20,5,6,4096,4,3.4105420587714574
41,Gen42_Ind5776,1001011011110101110111100111001110,-24,25,17,29,10,6,8192,5,3.4024991669543163
42,Gen41_Ind5566,0000010011111010011000000111011101,-48,25,26,30,2,6,32768,5,3.369474666936208
43,Gen42_Ind5767,1000010001111010010110100110101000,16,17,26,28,10,5,131072,0,3.3479391539274683
44,Gen42_Ind5785,1000001011110101111000100111000000,15,25,17,30,10,6,4096,0,3.3431712788963597
45,Gen42_Ind5802,1000110011101110011000001110011111,20,24,15,30,4,5,32768,1,3.3232548564788407
46,Gen42_Ind5817,1000111011110000010010100111001000,21,25,6,24,10,6,8192,0,3.293812952278211
47,Gen42_Ind5715,1000111110111010010111000011001101,21,27,26,29,1,6,8192,5,3.2894707957890312
48,Gen42_Ind5810,1000111010111111111010100101001100,21,21,21,17,10,4,8192,4,3.263959399114234
49,Gen42_Ind5704,1011111011111001111100111111001000,-48,25,25,19,6,6,8192,0,3.2593217434063693
50,Gen42_Ind5718,0000110010111010011110100111001100,-44,21,26,8,10,6,8192,4,3.2569163364631506
51,Gen42_Ind5784,1000111011111010010111101101000100,21,25,26,29,8,4,4096,4,3.251219751003736
52,Gen42_Ind5747,0000111011011111111001010011110100,-43,23,8,12,5,6,131072,4,3.2482184989497074
53,Gen42_Ind5706,1100110011100001011001000111001101,-17,24,8,30,2,6,8192,5,3.2179857737384503
54,Gen42_Ind5791,0111000001111100010000100111100101,6,17,30,22,10,6,65536,5,3.184731012473701
