Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen9_Ind681,1000110100101011000101010110011000,20,28,28,11,6,5,32768,0,3.898358086063841
2,Gen3_Ind202,1000010100001011000101011101011000,16,26,28,11,8,4,32768,0,3.7651450585523554
3,Gen3_Ind202,1000010100001011000101011101011000,16,26,28,11,8,4,32768,0,3.7651450585523554
4,Gen6_Ind412,1000010100001011100101011101011000,16,26,29,11,8,4,32768,0,3.7651450585523554
5,Gen3_Ind202,1000010100001011000101011101011000,16,26,28,11,8,4,32768,0,3.7651450585523554
6,Gen4_Ind285,1000010100101011000101011101011000,16,28,28,11,8,4,32768,0,3.7651199920822878
7,Gen9_Ind744,1000110011011101010111011001001000,20,23,14,29,7,4,8192,0,3.758491086958137
8,Gen9_Ind711,1000010100111001001101011001011000,16,29,24,19,7,4,32768,0,3.7187195707043315
9,Gen6_Ind448,1000010100101001001101011001011000,16,28,24,19,7,4,32768,0,3.7187188005536846
10,Gen4_Ind275,1000010100101001000101011001011000,16,28,24,11,7,4,32768,0,3.718079877980474
11,Gen9_Ind697,1000010011001011101101011101001000,16,22,29,19,8,4,8192,0,3.6492562755418865
12,Gen9_Ind690,1000010011001011101101011100101000,16,22,29,19,8,3,131072,0,3.649004132753307
13,Gen9_Ind722,1000010011001111000101001101001000,16,22,25,11,4,4,8192,0,3.5013260817626843
14,Gen9_Ind726,1000010100100111001001011000001000,16,28,20,15,7,3,8192,0,3.496771835932323
15,Gen9_Ind701,1000010100100111000101111101011000,16,28,20,11,4,4,32768,0,3.493499129352024
16,Gen9_Ind725,1000110110010001010100100111011101,20,24,8,26,10,6,32768,5,3.38701844179577
17,Gen9_Ind668,1000010010000110111100011101000000,16,18,19,7,8,4,4096,0,3.3696451577444453
18,Gen9_Ind684,0011001110110111010000100111011101,-25,13,20,22,10,6,32768,5,3.3689797412080433
19,Gen9_Ind710,1000010010001010000001110111011000,16,18,26,7,6,6,32768,0,3.3526987933191785
20,Gen9_Ind736,1010010100001110110000111110101101,-22,26,24,22,6,5,131072,5,3.3298444819968616
21,Gen9_Ind717,1000110100000001010000110111101100,20,26,8,22,5,6,131072,4,3.2516574799116085
22,Gen9_Ind702,1000110010010101010000100011011101,20,19,16,22,9,6,32768,5,3.2496673834937333
