Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
1,Gen7_Ind788,100011000000011001100101,536870912,4,0,1,1,bt3,273,500,4.137206789161298
2,Gen6_Ind628,100010110000011010100111,536870912,3,0,1,1,bt4,273,500,4.136547082214318
3,Gen7_Ind796,100010100001111001100101,536870912,2,0,0,1,bt3,273,500,4.136325377719147
4,Gen4_Ind403,100011000000111001100101,536870912,4,0,3,1,bt3,273,500,4.135792596796716
5,Gen6_Ind707,100011000000111001100101,536870912,4,0,3,1,bt3,273,500,4.135792596796716
6,Gen8_Ind875,100010100000011001100011,536870912,2,0,1,1,bt3,273,100,4.134579055854341
7,Gen6_Ind654,100010000000011001010110,536870912,0,0,1,1,bt3,64,1000,4.1341241169010035
8,Gen7_Ind801,100010001100011001011111,536870912,0,2,1,1,bt3,128,500,4.134105885677942
9,Gen8_Ind961,100010100100011000010100,536870912,2,2,1,1,bt2,64,200,4.1337688157602415
10,Gen8_Ind845,100010000100011010010100,536870912,0,2,1,1,bt4,64,200,4.13368268051706
11,Gen4_Ind447,111100110001011010100100,65536,3,0,2,1,bt4,273,200,4.13327832174833
12,Gen8_Ind921,100010000000111010011100,536870912,0,0,3,1,bt4,128,200,4.1331427193552
13,Gen7_Ind799,100011010010101001100101,536870912,0,1,2,1,bt3,273,500,4.132509668617108
14,Gen8_Ind863,100010001100011010010010,536870912,0,4,1,1,bt4,64,50,4.132483593372082
15,Gen4_Ind424,100010000000011001100011,536870912,0,0,1,1,bt3,273,100,4.132103039402531
16,Gen8_Ind882,100010001100111001010011,536870912,0,3,3,1,bt3,64,100,4.131432820561832
17,Gen8_Ind907,100000011101101101010010,268435456,1,1,0,1,bt3,64,50,4.126751109553404
18,Gen7_Ind741,100010001100011001010010,536870912,0,2,1,1,bt3,64,50,4.126745944622288
19,Gen8_Ind869,110100000100011001011010,8388608,0,2,1,1,bt3,128,50,4.122052631737769
20,Gen8_Ind848,100000000100001101010011,268435456,0,2,0,1,bt4,64,100,4.121038592629344
21,Gen7_Ind806,100000000100011000010011,268435456,0,2,1,1,bt2,64,100,4.120589114397608
22,Gen8_Ind920,110000100100101000011010,262144,2,2,2,1,bt2,128,50,4.102741261115827
23,Gen8_Ind929,100010110000111000100010,536870912,3,0,3,1,bt2,273,50,4.102549392045427
24,Gen7_Ind837,011110100100011010011100,134217728,2,2,1,1,bt4,128,200,4.091996665897082
25,Gen8_Ind873,011110100000101000011111,134217728,2,0,2,1,bt2,128,200,4.091947984761821
26,Gen8_Ind901,110010000100011010010110,32768,0,2,1,1,bt4,64,1000,4.089313402362013
27,Gen8_Ind950,011110010101011010011100,134217728,1,2,0,1,bt4,128,200,4.087553597752833
28,Gen8_Ind931,011110000010111000100100,134217728,0,1,3,1,bt2,273,200,4.085711508663301
29,Gen7_Ind838,011110100000011000010010,134217728,2,0,1,1,bt2,64,50,4.069188762929983
30,Gen7_Ind838,011110100000011000010010,134217728,2,0,1,1,bt2,64,50,4.069188762929983
31,Gen8_Ind861,011110010100011000011010,134217728,1,2,1,1,bt2,128,50,4.064615189307793
