Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
82,Gen1_Ind54,001011001000111011011101,131072,4,4,3,1,hc3,128,500,0
83,Gen1_Ind55,011100110100000011010101,67108864,3,2,0,0,hc3,64,500,0
84,Gen1_Ind57,010001000110010010100101,1048576,4,3,1,0,bt4,273,500,0
85,Gen1_Ind64,000111000010101100011110,32768,4,1,2,1,hc4,128,1000,0
86,Gen1_Ind65,011110110100011011010100,134217728,3,2,1,1,hc3,64,200,0
87,Gen1_Ind67,100000011001000010100001,268435456,1,4,4,0,bt4,273,10,0
88,Gen1_Ind69,001010011000011001000011,131072,1,4,1,1,bt3,16,100,0
89,Gen1_Ind71,011101000110100011001010,67108864,4,3,2,0,hc3,32,50,0
90,Gen1_Ind72,011111000100110001100001,134217728,4,2,3,0,bt3,273,10,0
91,Gen1_Ind81,001111000111000000011011,524288,4,3,4,0,bt2,128,100,0
92,Gen1_Ind84,011010111000100100000110,33554432,3,4,2,0,hc4,16,1000,0
93,Gen1_Ind86,010100011000101100010000,4194304,1,4,2,1,hc4,64,0,0
94,Gen1_Ind87,100101000100101001011011,1073741824,4,2,2,1,bt3,128,100,0
95,Gen1_Ind90,011001001000001010001101,16777216,4,4,0,1,bt4,32,500,0
96,Gen1_Ind91,010101001000101001001001,4194304,4,4,2,1,bt3,32,10,0
97,Gen1_Ind92,001110100110001011000011,524288,2,3,0,1,hc3,16,100,0
98,Gen1_Ind94,000101001000000000010010,16384,4,4,0,0,bt2,64,50,0
99,Gen1_Ind95,011100100110100010001110,67108864,2,3,2,0,bt4,32,1000,0
100,Gen1_Ind100,010100110111000000000010,4194304,3,3,4,0,bt2,16,50,0
