Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen6_Ind468,1000110011011100001111110010100000,20,23,30,21,10,5,65536,0,3.7794427359536162
2,Gen6_Ind468,1000110011011100001111110010100000,20,23,30,21,9,5,65536,0,3.7789172456816735
3,Gen7_Ind520,1000110011001100010111100000000000,20,22,30,29,9,3,4096,0,3.7135119758763615
4,Gen5_Ind385,1000010011011100101111110010100000,16,23,20,21,4,5,65536,0,3.710487304523123
5,Gen6_Ind443,1000010011001100010100101100000000,16,22,30,26,2,3,4096,0,3.6652485547778664
6,Gen6_Ind479,1000010011001100010101010100000000,16,22,30,27,6,3,4096,0,3.6652485547778664
7,Gen7_Ind547,1000010011001100010001010100000000,16,22,30,23,6,3,4096,0,3.6652485547778664
8,Gen7_Ind555,1000010011001100010001010100000000,16,22,30,23,6,3,4096,0,3.6652485547778664
9,Gen5_Ind372,1000010011001100010100011011000000,16,22,30,26,7,6,4096,0,3.660529423369959
10,Gen7_Ind489,1000110010011100001111011010100000,20,19,30,21,7,5,65536,0,3.504306813884406
11,Gen4_Ind279,1010000010011100000000010111100000,-27,19,30,6,6,6,65536,0,3.4933941039570713
12,Gen7_Ind505,1000010010011000010001011011000000,16,19,22,23,7,6,4096,0,3.460106299032093
13,Gen7_Ind562,0000101011000010010100101110010101,-45,22,10,26,1,5,16384,5,3.3410978865406005
14,Gen7_Ind511,0101111100001000010011001111010100,-3,26,22,25,4,6,16384,4,3.3192919371446594
15,Gen7_Ind524,1000010011001101010100100010010100,16,22,25,26,9,5,16384,4,3.296194943210773
16,Gen7_Ind567,0101011011001000011000100111100011,-7,22,22,30,10,6,65536,3,3.2633529239263512
17,Gen7_Ind542,1100001011001001010011011011010011,13,22,24,25,7,6,16384,3,3.261282746177609
18,Gen7_Ind508,0011100011101100010100111011010011,-22,24,30,26,8,6,16384,3,3.2495945102662036
