Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen1_Ind11,1000000010101011100100100100001000,14,20,29,10,10,3,8192,0,3.3680688319698335
2,Gen4_Ind59,1000000010101011100100100100001000,14,20,29,10,10,3,8192,0,3.3680688319698335
3,Gen1_Ind11,1000000010101011100100100100001000,14,20,29,10,10,3,8192,0,3.3680688319698335
4,Gen4_Ind75,1100011100000100110000010100010011,-44,26,15,22,6,3,16384,3,3.0807851425001367
5,Gen4_Ind63,1000000010100111101111100100001011,14,20,21,21,10,3,8192,3,3.069732866534262
6,Gen4_Ind65,0110111100011111101101011100011000,5,27,30,19,8,3,32768,0,3.0377000151150177
7,Gen4_Ind69,0000000010101010101001001000001011,-50,20,27,15,3,3,8192,3,2.7470631241684065
8,Gen4_Ind73,0010000001011000111111111010000100,-34,15,23,16,9,5,4096,4,2.652498008797375
9,Gen4_Ind66,1000000010000011100010100000001000,14,18,13,8,9,3,8192,0,2.6142548674923476
10,Gen4_Ind70,1100000101100011100010100111101000,-17,16,13,8,10,6,131072,0,2.586079610856835
11,Gen4_Ind61,1000000010101011100100100100001100,14,20,29,10,10,3,8192,4,2.3066380800169655
12,Gen4_Ind74,0110011100111111111101011100011000,1,29,22,16,8,3,32768,0,1.041328911892005
13,Gen4_Ind64,0010000100111011100100011000011000,-34,29,29,10,7,3,32768,0,0.9999771079293781
14,Gen4_Ind67,0111101110010000010101100000011111,11,26,6,27,9,3,32768,1,0.9999771079293781
15,Gen4_Ind76,0010000001110111101111011000011001,-34,17,21,21,7,3,32768,1,0.9999771079293781
