Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen23_Ind3038,1000110110001001110111011110000000,20,22,25,29,8,5,4096,0,3.888194405636491
2,Gen15_Ind1956,1001110110001011011110001110000000,0,24,28,8,4,5,4096,0,3.843181860671438
3,Gen1_Ind9,0100010011111001110111011111011101,-16,25,25,29,8,6,32768,5,3.576129536292714
4,Gen5_Ind583,0110110011111001111100011111101101,4,25,25,16,8,6,131072,5,3.576129536292714
5,Gen8_Ind904,0100010011111001111100011111101101,-16,25,25,18,8,6,131072,5,3.576129536292714
6,Gen9_Ind1173,0100110011110010010111011111101101,-12,25,10,29,8,6,131072,5,3.576129536292714
7,Gen12_Ind1495,0110110011111001111100011111101101,4,25,25,10,8,6,131072,5,3.576129536292714
8,Gen12_Ind1499,0100110100110010010111011111101101,-12,29,10,29,8,6,131072,5,3.576129536292714
9,Gen12_Ind1550,0100010011111001111100011011101101,-16,25,25,24,7,6,131072,5,3.576129536292714
10,Gen13_Ind1581,0101010011101000110111011111101101,-8,24,23,29,8,6,131072,5,3.576129536292714
11,Gen24_Ind3092,0101000111111001110111011111101101,-10,19,25,29,8,6,131072,5,3.576129536292714
12,Gen24_Ind3111,0110110011111001110111011011001101,4,25,25,29,7,6,8192,5,3.576129536292714
13,Gen24_Ind3126,0100010011111011110111011011011101,-16,25,29,29,7,6,32768,5,3.576129536292714
14,Gen23_Ind3036,0111010011111011110111011111100101,8,25,29,29,8,6,65536,5,3.576129536292714
15,Gen24_Ind3168,0111100011101000010111011111101101,10,24,22,29,8,6,131072,5,3.576129536292714
16,Gen24_Ind3184,0111011100110100010111011011101101,9,29,14,29,7,6,131072,5,3.576129536292714
17,Gen24_Ind3100,0100110101000010011000011111011101,-12,30,10,30,8,6,32768,5,3.576081464372384
18,Gen24_Ind3119,1110100011111100011000011011101101,-49,25,30,30,7,6,131072,5,3.576081464372384
19,Gen24_Ind3141,1001100110110010011000011011101101,9,17,10,30,7,6,131072,5,3.576081464372384
20,Gen24_Ind3135,0000110100000110010110010111001101,-44,26,18,28,6,6,8192,5,3.57605601505543
21,Gen24_Ind3131,1001011011100010110010011111101101,-10,24,11,24,8,6,131072,5,3.574193543288293
22,Gen24_Ind3084,0011011011110100110000011111111101,-23,25,15,22,8,6,16384,5,3.5662961184303392
23,Gen24_Ind3157,0110000011111100110000011011001111,-2,25,10,22,7,6,8192,0,3.5662961184303392
24,Gen24_Ind3175,0010011111111001110000011111000101,-31,16,25,22,8,6,4096,5,3.5662961184303392
25,Gen24_Ind3134,0100000110001101110111111111000101,-18,10,9,29,7,6,4096,5,3.5455199004039035
26,Gen24_Ind3080,0100010011110101110111010111011100,-16,25,17,29,6,6,32768,4,3.535411613048478
27,Gen24_Ind3127,1000100011110100010111011111001100,18,25,14,29,8,6,8192,4,3.535411613048478
28,Gen24_Ind3151,0101000011110100010111111111111100,-10,25,14,29,8,6,8192,4,3.535411613048478
29,Gen24_Ind3176,0100000011101001110111011111011100,-18,24,25,29,8,6,32768,4,3.535411613048478
30,Gen24_Ind3203,0000100011110010010111011111101100,-46,25,10,29,8,6,131072,4,3.535411613048478
31,Gen24_Ind3069,1100010011111101111100110111101100,-20,25,11,21,1,6,131072,4,3.535256848712727
32,Gen24_Ind3185,0000100011110010010101011111101100,-46,25,10,27,8,6,131072,4,3.535256848712727
33,Gen24_Ind3081,0100110011111001110001011111101100,-12,25,25,23,8,6,131072,4,3.530603673393232
34,Gen24_Ind3072,0000011011101001110111011110101101,-47,24,25,29,8,5,131072,5,3.53039972209537
35,Gen24_Ind3187,0000010011111001011000001111101101,-48,25,24,30,4,6,131072,5,3.5005321433961973
36,Gen24_Ind3197,0100010011101001110111001111111101,-16,24,25,29,4,6,131072,5,3.5005321433961973
37,Gen24_Ind3193,1000110110001001110110011110000000,20,22,25,28,8,5,4096,0,3.4971106758458994
38,Gen24_Ind3115,0000100010100011110111011011011110,-46,20,13,29,7,6,32768,3,3.4855882615893528
39,Gen24_Ind3167,0101110010101001110111011111101101,-4,20,25,29,8,6,131072,5,3.4855882615893528
40,Gen24_Ind3161,0011010111111101011100011111100101,-24,10,26,6,8,6,65536,5,3.4786416168297984
41,Gen24_Ind3099,0000010010111001110111001111101101,-48,21,25,29,4,6,131072,5,3.4756954664891864
42,Gen24_Ind3139,0101110111110001111100011111111101,-4,15,9,6,8,6,8192,5,3.465797578805312
43,Gen24_Ind3066,0000111101000001110111101111001011,-43,30,9,29,10,6,8192,3,3.4525129130614682
44,Gen23_Ind2941,0001111100000000010111111111001011,-35,26,6,29,2,6,8192,3,3.4525129130614682
45,Gen24_Ind3198,0101010011101000110111010111011011,-8,24,23,29,6,6,32768,3,3.4525129130614682
46,Gen24_Ind3085,0110010011101001111110111011001101,0,24,25,30,1,6,8192,5,3.448698034030242
47,Gen24_Ind3163,1000110011101001110111011001101101,20,24,25,29,7,4,131072,5,3.424290722414459
48,Gen24_Ind3152,0000100011111001110101011001101101,-46,25,25,27,7,4,131072,5,3.4239614729145234
49,Gen24_Ind3112,0110110011110100011101011111101100,4,25,14,7,8,6,131072,4,3.386637202203994
50,Gen24_Ind3192,1100010010101001110111011111011011,-49,20,25,29,8,6,32768,3,3.38059948616326
51,Gen24_Ind3202,1000110010100010010111011101101101,20,20,10,29,8,4,131072,5,3.3772494485126643
52,Gen24_Ind3191,0011011111110100110000111011001101,-23,21,15,22,2,6,8192,5,3.371886081196747
53,Gen24_Ind3117,0110110011111000010110011101101100,4,25,22,28,8,4,131072,4,3.362814848303236
54,Gen23_Ind2999,1110000011111000010110011101101100,-29,25,22,28,8,4,131072,4,3.362814848303236
55,Gen24_Ind3076,0000110100000000011101011100001100,-44,26,6,6,8,3,8192,4,3.3606233340838547
56,Gen24_Ind3156,0011011010110100110000100101001100,-23,21,15,22,10,4,8192,4,3.342353448078357
57,Gen24_Ind3138,0101010011101001110001010001111101,-8,24,25,23,5,4,131072,5,3.339004787204196
58,Gen24_Ind3183,0010011011111110010111101011101100,-31,25,19,29,7,6,131072,4,3.323636168550614
59,Gen24_Ind3123,0001110110110001111110010111101101,-36,15,9,8,6,6,131072,5,3.3224763477624593
60,Gen24_Ind3109,0101010011111001101100101111111101,-8,25,25,18,8,6,8192,5,3.3176966759907067
61,Gen23_Ind2963,1110110010001000110001011111101101,-31,18,23,23,8,6,131072,5,3.3055042096346146
62,Gen24_Ind3147,1101001111110001001110011011001111,-49,30,8,20,7,6,8192,4,3.2998844947942394
63,Gen24_Ind3096,0100000100001100010110111111000101,-18,26,30,28,5,6,4096,5,3.2888815681346477
64,Gen23_Ind3002,0100110011100010010111111111100101,-12,24,10,29,6,6,65536,5,3.2888815681346477
65,Gen24_Ind3201,0100110011111001110111000011101101,-12,25,25,29,1,6,131072,5,3.2888815681346477
66,Gen24_Ind3077,0010010101001001111111001111011100,-32,30,25,11,4,6,32768,4,3.2653369925364677
67,Gen24_Ind3194,1100010010001001110001011101111100,-47,18,25,23,8,4,4096,4,3.210947977970281
68,Gen24_Ind3143,0100010011111001111101010111101101,-16,25,25,8,6,6,131072,5,3.197506048578107
69,Gen24_Ind3130,0100110011001001101100000011111101,-12,22,25,18,1,6,32768,5,3.185086664736949
70,Gen24_Ind3169,1100010100110001111010001101101100,0,29,9,20,4,4,131072,4,3.182493416858191
71,Gen23_Ind2958,1100010100111000111000001101101100,-27,29,23,30,4,4,131072,4,3.182493416858191
72,Gen24_Ind3170,0101001001110001110100011011001101,-9,17,9,26,7,6,8192,5,3.1731885791747385
73,Gen24_Ind3186,0101010111001010110111011111101101,-8,30,27,29,8,6,131072,5,3.1731885791747385
74,Gen24_Ind3171,0100010111111101011100010001100101,-16,25,18,15,5,4,65536,5,3.1574304596553597
75,Gen24_Ind3103,0000000011100011111000011001001110,-50,24,13,30,7,4,8192,0,3.082341723536985
76,Gen24_Ind3164,0001100110110110010111011111100101,-38,13,18,29,8,6,65536,5,3.0134196437197867
77,Gen24_Ind3148,0100010001101001110101010001000101,-16,16,25,27,5,4,4096,5,3.0007471188482957
78,Gen24_Ind3089,1011100111001001101001001111001101,-22,23,25,15,4,6,8192,5,2.8819761743627783
79,Gen24_Ind3091,0100110011110010001001001111101101,-12,25,10,15,4,6,131072,5,2.8819761743627783
80,Gen24_Ind3073,0101010011101000111101011111101101,-8,24,23,12,8,6,131072,5,2.8714618598331407
81,Gen24_Ind3182,0101010011101001111100011111111101,-8,24,25,15,8,6,8192,5,2.8714618598331407
82,Gen24_Ind3106,0001010011111001101001001111011100,-40,25,25,15,4,6,32768,4,2.865548747647681
83,Gen24_Ind3153,0100011111111001011100011111101111,-15,15,24,15,8,6,131072,4,2.8639554735964863
84,Gen24_Ind3173,0001110110110001110101111101111101,-36,11,9,27,9,4,4096,5,2.8491029017097786
85,Gen24_Ind3122,0100010101111101011100111111100101,-16,16,22,13,1,6,65536,5,2.668255133262455
86,Gen24_Ind3102,0011011011110100100111011001011101,-23,25,15,13,7,4,32768,5,2.617189150212645
87,Gen24_Ind3107,1100010001100001111010101101101101,10,16,9,10,6,4,131072,5,2.4849829389042437
88,Gen24_Ind3116,0101010001000001000110011101101101,-8,14,8,12,8,4,131072,5,2.484765854856548
89,Gen24_Ind3188,0100010011111001100110011111011101,-16,25,25,12,8,6,32768,5,2.4080276195349426
90,Gen24_Ind3088,0101010011111000000101111001100100,-8,25,22,11,9,4,65536,4,2.361859157312789
91,Gen24_Ind3179,1101001000100001111100011011001101,-42,12,9,29,7,6,8192,5,2.335584482922456
92,Gen24_Ind3204,1101001000101101110100011011001101,-18,12,8,26,7,6,8192,5,2.332082163638351
93,Gen24_Ind3160,0001110010110110011110111111100111,-36,21,18,23,3,6,65536,1,2.292075921139324
94,Gen23_Ind2957,0110110001100111111110011010101101,4,16,21,29,7,5,131072,5,2.236078203738717
95,Gen24_Ind3180,0110110111111001110101011111101100,4,29,25,27,8,6,131072,4,2.036518681730392
96,Gen24_Ind3095,0100000011110101100001010111101101,-18,25,17,7,6,6,131072,5,1.9656304410753542
97,Gen24_Ind3070,0100110011110101110101111011101001,-12,25,17,27,6,6,131072,1,0.9999754566283244
98,Gen24_Ind3108,0100110011110010010111111110111111,-12,25,10,29,9,5,4096,3,0.9999754566283244
99,Gen24_Ind3142,0000010011111001110111011111100001,-48,25,25,29,8,6,65536,1,0.9999754566283244
100,Gen24_Ind3144,0001111100100000010111111111001001,-35,28,6,29,2,6,8192,1,0.9999754566283244
