Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
91,Gen89_Ind12160,1011000011101001000101011110011000,-22,24,24,11,8,5,32768,0,0.9999754566283244
92,Gen89_Ind12170,0000101100101101010100010100100000,-45,28,22,26,6,3,65536,0,0.9999754566283244
93,Gen89_Ind12175,1001001001111001000101010000101000,-6,17,24,11,5,3,131072,0,0.9999754566283244
94,Gen89_Ind12182,0000111101101011010101010100010000,-43,26,28,27,6,3,16384,0,0.9999754566283244
95,Gen89_Ind12203,1001100101111010010100010110010001,-16,28,26,26,6,5,16384,1,0.9999754566283244
96,Gen89_Ind12207,1010100010111001010111001010101000,-42,21,24,29,3,5,131072,0,0.9999754566283244
97,Gen89_Ind12208,1100100100111000010111001111010001,-30,29,22,29,4,6,16384,1,0.9999754566283244
98,Gen89_Ind12212,1001110100101110111101011010010000,9,28,26,18,7,5,16384,0,0.9999754566283244
99,Gen89_Ind12259,1110111100101000010101001110000000,-22,28,22,27,4,5,4096,0,0.9999754566283244
100,Gen89_Ind12266,1000100011101111100011011000101001,18,24,13,9,7,3,131072,1,0.9999754566283244
