Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen15_Ind1956,1001110110001011011110001110000000,8,30,28,19,4,5,4096,0,3.843181860671438
2,Gen1_Ind9,0100010011111001110111011111011101,-16,25,25,29,8,6,32768,5,3.576129536292714
3,Gen5_Ind583,0110110011111001111100011111101101,4,25,25,16,8,6,131072,5,3.576129536292714
4,Gen8_Ind904,0100010011111001111100011111101101,-16,25,25,14,8,6,131072,5,3.576129536292714
5,Gen9_Ind1173,0100110011110010010111011111101101,-12,25,10,29,8,6,131072,5,3.576129536292714
6,Gen12_Ind1495,0110110011111001111100011111101101,4,25,25,11,8,6,131072,5,3.576129536292714
7,Gen12_Ind1499,0100110100110010010111011111101101,-12,29,10,29,8,6,131072,5,3.576129536292714
8,Gen12_Ind1550,0100010011111001111100011011101101,-16,25,25,16,7,6,131072,5,3.576129536292714
9,Gen13_Ind1581,0101010011101000110111011111101101,-8,24,23,29,8,6,131072,5,3.576129536292714
10,Gen13_Ind1654,0110110011110100010111011011001101,4,25,14,29,7,6,8192,5,3.576129536292714
11,Gen20_Ind2525,0101000011100110110111010111101101,-10,24,19,29,6,6,131072,5,3.576129536292714
12,Gen20_Ind2527,0100010100101101110111010111011101,-16,28,23,29,6,6,32768,5,3.576129536292714
13,Gen20_Ind2534,0100110011110100010111011011011101,-12,25,14,29,7,6,32768,5,3.576129536292714
14,Gen20_Ind2553,0000110011110010110111011111101101,-44,25,11,29,8,6,131072,5,3.576129536292714
15,Gen20_Ind2564,0111111011111001010111011111011101,13,25,24,29,8,6,32768,5,3.576129536292714
16,Gen19_Ind2475,0111010011111010110111010111100111,8,25,27,29,6,6,65536,4,3.576129536292714
17,Gen20_Ind2622,0101111011110000010111110011001111,-3,25,6,29,6,6,8192,0,3.576129536292714
18,Gen20_Ind2646,0110110011110100010111011011001101,4,25,14,29,7,6,8192,5,3.576129536292714
19,Gen20_Ind2649,0100110011110010010110011111000101,-12,25,10,28,8,6,4096,5,3.57605601505543
20,Gen20_Ind2578,1000011011110010010101011111101101,17,25,10,27,8,6,131072,5,3.576002289909139
21,Gen20_Ind2582,0001111011100100110101110111001101,-35,24,15,27,4,6,8192,5,3.576002289909139
22,Gen20_Ind2591,0100000100001101110101011111001101,-18,26,18,27,8,6,8192,5,3.576002289909139
23,Gen20_Ind2623,0111010011101010010101010111100101,8,24,26,27,6,6,65536,5,3.576002289909139
24,Gen20_Ind2552,1110011111101011010100011111000101,-2,24,28,26,8,6,4096,5,3.5757421699264134
25,Gen20_Ind2537,0100010011101010111111101111111111,-16,24,27,15,3,6,16384,1,3.575371846988937
26,Gen20_Ind2595,0100111011111100111010101111110101,-11,25,25,12,3,6,131072,5,3.574193543288293
27,Gen20_Ind2641,1110110011100001110110010011100101,-30,24,9,28,5,6,65536,5,3.545506002475781
28,Gen20_Ind2611,1100110011110011111000011011001100,-6,25,13,30,7,6,8192,4,3.535469653167894
29,Gen20_Ind2634,0100010011111000111000111011001100,-16,25,23,30,3,6,8192,4,3.535469653167894
30,Gen20_Ind2517,0100010011111001111100110011101111,-16,25,25,28,3,6,131072,2,3.535411613048478
31,Gen20_Ind2568,1001110110001000110111011111000100,-47,25,23,29,8,6,4096,4,3.535411613048478
32,Gen20_Ind2601,0100110100111011110111011111011100,-12,29,29,29,8,6,32768,4,3.535411613048478
33,Gen20_Ind2631,1110110101101000111011011111101100,-19,14,23,12,8,6,131072,4,3.534704229535232
34,Gen20_Ind2643,0100010100101011110111011110011101,-16,28,29,29,8,5,32768,5,3.53039972209537
35,Gen20_Ind2549,0100010011101000111000011110001110,-16,24,23,30,8,5,8192,2,3.5303859424521087
36,Gen20_Ind2645,1110011011011011011100011110000101,7,23,28,16,8,5,4096,5,3.5303859424521087
37,Gen20_Ind2586,0111010011100100010100011010011101,8,24,14,26,7,5,32768,5,3.5299670926308098
38,Gen20_Ind2612,0100010011111001101110110011101101,-16,25,25,20,10,6,131072,5,3.5059840178117363
39,Gen20_Ind2528,0100010011111001110111001111011101,-16,25,25,29,4,6,32768,5,3.5005321433961973
40,Gen19_Ind2503,0011110101100001010101001111101101,-20,14,8,27,4,6,131072,5,3.5005077580161523
41,Gen20_Ind2581,1000010011110000110100001111001101,16,25,7,26,4,6,8192,5,3.5001501448046026
42,Gen20_Ind2583,0100010111111001111100010111101100,-16,25,25,29,6,6,131072,4,3.488529686282677
43,Gen20_Ind2639,0100101010100001110110011011101101,-13,20,9,28,7,6,131072,5,3.4855291613295045
44,Gen20_Ind2516,0100110010100001110010011011100101,-12,20,9,24,7,6,65536,5,3.4847637254380714
45,Gen20_Ind2608,1110110011110100011100111110111101,7,25,14,18,6,5,8192,5,3.481335479485693
46,Gen20_Ind2532,0100010011101000111000001111101100,-16,24,23,30,4,6,131072,4,3.4533670843546456
47,Gen20_Ind2644,1101110011110000010100011111101111,-22,25,6,26,8,6,131072,0,3.4517487353114475
48,Gen20_Ind2561,0101010011001001110111001011101101,-8,22,25,29,3,6,131072,5,3.4478330278754465
49,Gen20_Ind2602,0100110100101011010111011100101101,-12,28,28,29,8,3,131072,5,3.424290722414459
50,Gen20_Ind2571,0010110011111001110100011101101101,-28,25,25,26,8,4,131072,5,3.4237541041564308
51,Gen20_Ind2630,0011110101010001010101001110001101,-20,11,8,27,4,5,8192,5,3.4127195537538824
52,Gen20_Ind2524,0100110100011000010100001110111101,-12,27,22,26,4,5,32768,5,3.4126783498993363
53,Gen20_Ind2597,0100000011110011111000111011001100,-18,25,13,30,4,6,8192,4,3.399477581087684
54,Gen20_Ind2615,0110100101000010111000001011011100,2,30,11,30,3,6,32768,4,3.399477581087684
55,Gen20_Ind2579,1100110011100000110100001111001011,-11,24,7,26,4,6,8192,3,3.3501948263600805
56,Gen20_Ind2593,0101111011111101010110111111001100,-3,25,10,28,4,6,8192,4,3.323636168550614
57,Gen20_Ind2619,1100110011110000101100011011001101,2,25,7,18,7,6,8192,5,3.3224763477624593
58,Gen20_Ind2580,0100110011111001111010111111000101,-12,25,25,20,1,6,4096,5,3.3130520843864053
59,Gen20_Ind2536,0100110111100010110111011111101101,-12,18,11,29,8,6,131072,5,3.3056370951001233
60,Gen20_Ind2573,1100110101111001010111010111101101,16,20,24,29,6,6,131072,5,3.3056370951001233
61,Gen20_Ind2650,0000000100111011010111000011001101,-50,29,28,29,1,6,8192,5,3.2888815681346477
62,Gen20_Ind2520,1001110011101000111110001010000100,-20,24,23,28,3,5,4096,4,3.2788643697794586
63,Gen20_Ind2529,1000011100000010010101011111001111,17,26,10,27,8,6,8192,1,3.2447137474135532
64,Gen20_Ind2535,1111001011111111101011011011111101,-10,25,29,17,7,6,131072,5,3.197506048578107
65,Gen20_Ind2546,0100110011111001011110101111100101,-12,25,24,28,3,6,65536,5,3.1968257199669465
66,Gen20_Ind2554,0100100001110010010100111111101101,-14,17,10,26,7,6,131072,5,3.1731885791747385
67,Gen20_Ind2542,0011010110110001101100011011101101,-24,19,9,18,7,6,131072,5,3.1691749134213394
68,Gen20_Ind2541,1100110001110001101110111111101101,-44,17,9,20,5,6,131072,5,3.154862225322637
69,Gen20_Ind2558,1100011011111111110001111101111101,0,25,10,23,4,4,16384,5,3.146698589428612
70,Gen20_Ind2609,0100000001111000111111111011001100,-18,17,23,18,10,6,8192,4,3.114359260761509
