Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen50_Ind6853,1101001100011010110001010111001111,20,27,27,23,6,6,8192,0,3.8825365074731937
2,Gen63_Ind8610,1011111100011011110000110111001000,0,27,29,22,6,6,8192,0,3.8825298412131537
3,Gen66_Ind8954,1101010010101011010101011010010000,-30,20,28,27,7,5,16384,0,3.746162715761816
4,Gen57_Ind7703,0111111100101010110101011110100000,13,28,27,27,8,5,65536,0,3.6592844381727914
5,Gen58_Ind7926,0111111100101010101111011110101000,13,28,27,21,8,5,131072,0,3.6592844381727914
6,Gen58_Ind7938,0111111100011010010101111010111000,13,27,26,27,2,5,8192,0,3.6592844381727914
7,Gen60_Ind8206,0111111011101110110101011110110000,13,24,29,27,8,5,8192,0,3.6592844381727914
8,Gen63_Ind8645,0111111100101010101111011110101000,13,28,27,21,8,5,131072,0,3.6592844381727914
9,Gen64_Ind8692,0111111100101010101111011110111000,13,28,27,21,8,5,16384,0,3.6592844381727914
10,Gen58_Ind7926,0111111100101010101111011110101000,13,28,27,21,8,5,131072,0,3.6592844381727914
11,Gen65_Ind8812,0111111100011010101111011110101000,13,27,27,21,8,5,131072,0,3.6592844381727914
12,Gen66_Ind9005,0111111100101001010110011110101000,13,28,24,28,8,5,131072,0,3.6592844381727914
13,Gen66_Ind9046,0111111100101010101111011110011000,13,28,27,21,8,5,32768,0,3.6592844381727914
14,Gen66_Ind8980,0111111100101001100100011110101000,13,28,25,10,8,5,131072,0,3.6592518692749536
15,Gen66_Ind8968,0111111100101001010101011111101000,13,28,24,27,8,6,131072,0,3.6588226061686724
16,Gen66_Ind9052,0111111100001010110101011101011000,13,26,27,27,8,4,32768,0,3.651584737045237
17,Gen66_Ind8964,0111111101101000001111011110101000,13,16,22,21,8,5,131072,0,3.6405001155140617
18,Gen66_Ind9047,0001111011110100010111100011010101,-35,25,14,29,9,6,16384,5,3.576129536292714
19,Gen66_Ind8983,0000101011100100011111100011010101,-45,24,14,22,9,6,16384,5,3.5662961184303392
20,Gen66_Ind9016,0111111100011001010101110011101000,13,27,24,27,2,6,131072,0,3.54011073181156
21,Gen66_Ind8982,0111111100011001010001110011111000,13,27,24,23,4,6,4096,0,3.5397809990450995
22,Gen66_Ind9089,0001011101101100110110110010101101,-39,10,20,28,2,5,131072,5,3.530325313299642
23,Gen66_Ind9034,0111111110100000110101011110111101,13,20,7,27,8,5,16384,5,3.530129660693475
24,Gen65_Ind8922,0111111101011001010101111010111101,13,11,24,27,4,5,65536,5,3.530129660693475
25,Gen66_Ind9051,0111110100011010110000110110001000,12,27,27,22,5,5,8192,0,3.519582832666123
26,Gen66_Ind8996,0111110011111011111101011110010101,12,25,29,7,8,5,16384,5,3.506799593063469
27,Gen66_Ind8955,0111111100100010111000011110100110,13,28,11,30,8,5,65536,3,3.4789199143673204
28,Gen66_Ind8974,1111101100001011110110111010111110,-11,26,29,28,2,5,131072,2,3.4788476597656306
29,Gen66_Ind9041,0111111100011011110101111010101100,13,27,29,27,6,5,131072,4,3.4786389411080583
30,Gen66_Ind9068,0000111011101010110001011010001100,-43,24,27,23,7,5,8192,4,3.473439772907063
31,Gen66_Ind9078,0111010010101000110100111011101100,8,20,23,26,3,6,131072,4,3.4517355627995228
32,Gen66_Ind8979,0001101011110100010111001011011101,-37,25,14,29,3,6,32768,5,3.448698034030242
