Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen24_Ind3187,1000111100101100001101011011101000,21,28,30,19,7,6,131072,0,4.099576235257592
2,Gen28_Ind3680,1001000100101100001101011011100000,22,28,30,19,7,6,65536,0,4.099576235257592
3,Gen29_Ind3825,1000110100101100001101011011100000,20,28,30,19,7,6,65536,0,4.099576235257592
4,Gen29_Ind3917,1001000100101100001101011011110000,22,28,30,19,7,6,4096,0,4.099576235257592
5,Gen31_Ind4109,1001000100101100001101011011110000,22,28,30,19,7,6,131072,0,4.099576235257592
6,Gen31_Ind4123,1000110100101100001101011011000000,20,28,30,19,7,6,4096,0,4.099576235257592
7,Gen31_Ind4139,1001000100101100001101011011110000,22,28,30,19,7,6,131072,0,4.099576235257592
8,Gen31_Ind4184,1000111100101100001101011011110000,21,28,30,19,7,6,131072,0,4.099576235257592
9,Gen31_Ind4210,1001000100101100001101011011110000,22,28,30,19,7,6,8192,0,4.099576235257592
10,Gen32_Ind4220,1001000100101100001101011011110000,22,28,30,19,7,6,131072,0,4.099576235257592
11,Gen31_Ind4123,1000110100101100001101011011000000,20,28,30,19,7,6,4096,0,4.099576235257592
12,Gen50_Ind6725,1000111100101100001101011011100000,21,28,30,19,7,6,65536,0,4.099576235257592
13,Gen50_Ind6737,1001000100101100001101011011100000,22,28,30,19,7,6,65536,0,4.099576235257592
14,Gen50_Ind6805,1001000100101100001101011011110000,22,28,30,19,7,6,65536,0,4.099576235257592
15,Gen50_Ind6776,1001000100111100001101011011110000,22,29,30,19,7,6,4096,0,4.099576132413923
16,Gen50_Ind6713,1001000100101100001101011111110000,22,28,30,19,8,6,4096,0,4.099540240288619
17,Gen50_Ind6765,1001000100101100001111011010110000,22,28,30,21,7,5,16384,0,4.099392770358496
18,Gen50_Ind6787,1011000100101010010100011011001000,-37,28,26,26,7,6,8192,0,4.0369601385634954
19,Gen50_Ind6736,1001000100001100001001011010011000,22,26,30,15,7,5,32768,0,4.028407045023485
20,Gen49_Ind6657,1001000110101011001100011001111000,22,13,28,18,7,4,16384,0,3.9637812061506965
21,Gen49_Ind6591,1000100100101001011001011110110000,18,28,24,8,8,5,16384,0,3.898690855964955
22,Gen50_Ind6782,1000110110101001001101011011100000,20,24,24,19,7,6,65536,0,3.8060264310080725
23,Gen50_Ind6830,1000000100101100011101011011101000,14,28,30,14,7,6,131072,0,3.786093589376078
24,Gen50_Ind6773,1000000100101101001010011010111000,14,28,27,16,7,5,16384,0,3.780244216863894
25,Gen50_Ind6760,1001000100101000001101011010100000,22,28,22,19,7,5,65536,0,3.747434777522873
26,Gen50_Ind6806,1000111100101000001100011011110000,21,28,22,18,7,6,131072,0,3.745913580337471
27,Gen50_Ind6797,1000100101101100001101011010110000,18,11,30,19,7,5,16384,0,3.727547944985505
28,Gen50_Ind6796,1001000100101100001101001011110000,22,28,30,19,3,6,4096,0,3.7269778552282613
29,Gen50_Ind6820,1000000100001100001101011010110000,14,26,30,19,7,5,4096,0,3.7255463439471326
30,Gen50_Ind6750,1000010100001100001101001011100000,16,26,30,19,3,6,65536,0,3.615102319243863
31,Gen50_Ind6815,1000000100101110011111011011110000,14,28,7,9,7,6,65536,0,3.5653206671042024
32,Gen50_Ind6749,1000100010111101001101001011110000,18,21,7,19,3,6,32768,0,3.53019072574722
33,Gen50_Ind6734,1000100100001101001101011010110000,18,26,6,19,7,5,131072,0,3.4011713213581434
34,Gen50_Ind6755,1001000010110110001101001011110000,22,21,18,19,3,6,131072,0,3.3924139405646265
35,Gen50_Ind6813,1100011100001100011100010011111100,2,26,30,14,5,6,16384,4,3.388025623561649
36,Gen50_Ind6756,1010000100101100011110011011111000,0,28,30,14,7,6,32768,0,3.3555528150131186
37,Gen50_Ind6833,1000110100100100001110001011100000,20,28,14,20,3,6,65536,0,3.2969073727757228
38,Gen50_Ind6832,1101001100101101001110011011111100,-2,28,9,20,7,6,8192,4,3.2790312122427894
39,Gen50_Ind6735,1100110100001100001101011011111100,-22,26,30,19,7,6,131072,4,3.2285115680468066
40,Gen50_Ind6746,1000001010101100001101011011001100,15,20,30,19,7,6,8192,4,3.2282996313490395
41,Gen50_Ind6788,1000000010001100101101011011111000,14,18,12,19,7,6,8192,0,3.2080566307817193
42,Gen50_Ind6715,1000111100101001101101011010100100,21,28,25,19,7,5,65536,4,3.202773304933604
43,Gen50_Ind6721,1000100100001011001101010010111100,18,26,28,19,5,5,32768,4,3.1821749674418314
44,Gen50_Ind6730,1000110100101100101100011011111000,20,28,19,18,7,6,32768,0,3.1742881154100275
45,Gen49_Ind6658,1000000101101111001111010011011000,14,16,29,21,5,6,32768,0,3.170972017771069
46,Gen50_Ind6727,1100111100001100001100011011101100,11,26,30,18,7,6,131072,4,3.165716021101935
47,Gen50_Ind6732,1000000101001001001100000011110000,14,30,24,18,1,6,65536,0,3.1553080937277906
48,Gen50_Ind6751,1000000101001000001100000011110000,14,30,22,18,1,6,131072,0,3.1520872038066807
49,Gen50_Ind6791,1001000101111100001101011000000100,22,18,30,19,7,3,4096,4,3.1430215382848314
50,Gen50_Ind6717,1000100110100111100100001010101000,18,28,21,10,3,5,131072,0,3.1296865649629115
51,Gen50_Ind6814,0101000100100000001111000011110100,-10,28,6,21,1,6,16384,4,3.128120632794739
52,Gen50_Ind6817,1000110100100000011101000011110100,20,28,6,29,1,6,131072,4,3.128120632794739
53,Gen50_Ind6799,0100111100001000001101010001111100,-11,26,22,19,5,4,65536,4,3.102116053236717
54,Gen50_Ind6718,1001001001111100001111011010000100,18,17,30,21,7,5,4096,4,3.0740541163336106
55,Gen50_Ind6763,0000100100101100010101011111110010,-46,28,30,27,8,6,4096,2,3.0634146656942565
56,Gen50_Ind6802,1000000100101100010001011100000010,14,28,30,23,8,3,4096,2,3.0419563277269277
57,Gen50_Ind6821,1011000101001010001111011111100010,-45,30,26,21,8,6,65536,2,3.0232161429037046
58,Gen50_Ind6764,1000111110101100101101010110110000,21,30,10,19,6,5,16384,0,2.98133209564042
59,Gen50_Ind6795,1000100100111100001101011011111010,18,29,30,19,7,6,8192,2,2.9813017462391707
60,Gen50_Ind6822,1001000100101100001101010011110010,22,28,30,19,5,6,131072,2,2.9813017462391707
61,Gen50_Ind6816,1001000100100100011011011001110000,22,28,14,16,7,4,8192,0,2.958212046251877
62,Gen50_Ind6835,1000000100101101011110011010111000,14,28,20,27,7,5,131072,0,2.952984446730996
