Rank,Individual,Gene1,dict_size_Gene1,lc_Gene1,lp_Gene1,pb_Gene1,mode_Gene1,mf_Gene1,nice_len_Gene1,depth_Gene1,Fitness
85,Gen37_Ind4584,011001000000111110001111,16777216,4,0,3,1,hc3,32,0,2.8362241141097155
86,Gen37_Ind4530,011011010001011101001001,33554432,0,0,2,1,bt3,32,10,2.8223858767912544
87,Gen37_Ind4541,101011000000011010001101,1073741824,4,0,1,1,bt4,32,500,2.645801096096817
88,Gen37_Ind4547,111001100000011010001101,16777216,1,0,1,1,bt4,32,500,2.498164543389305
89,Gen37_Ind4525,000000010001011010101111,4096,1,0,3,1,bt4,273,500,2.49735467948528
90,Gen37_Ind4522,011111010100011001001100,134217728,0,2,1,1,bt3,32,200,0
91,Gen37_Ind4529,011001000110011000001111,16777216,4,3,1,1,bt2,32,10,0
92,Gen36_Ind4506,011111000010001100111111,134217728,4,1,0,1,hc4,128,200,0
93,Gen37_Ind4540,010111000100011010001101,8388608,4,2,1,1,bt4,32,500,0
94,Gen37_Ind4585,011011000100011000001100,33554432,4,2,1,1,bt2,32,200,0
95,Gen37_Ind4594,001011000010111010001101,131072,4,1,3,1,bt4,32,500,0
96,Gen37_Ind4600,011001000101011001001001,16777216,4,2,0,1,bt3,32,10,0
97,Gen37_Ind4601,011011000100001010000111,33554432,4,2,0,1,bt4,16,200,0
98,Gen37_Ind4620,011011001000011010101100,33554432,4,4,1,1,bt4,16,200,0
99,Gen37_Ind4624,010101011000001010011100,4194304,1,4,0,1,bt4,128,200,0
100,Gen37_Ind4629,001001000010111010101101,65536,4,1,3,1,bt4,32,500,0
