Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen5_Ind603,1000101100011111110001010101001111,19,27,24,23,6,4,8192,3,4.0736892912498766
2,Gen5_Ind553,1000011111011011100001010111000110,17,17,29,7,6,6,4096,5,3.867379590045919
3,Gen10_Ind1223,1111101011001011110010100011000111,-16,22,29,24,9,6,4096,4,3.739291052419966
4,Gen5_Ind553,1000011111011011100001010111000110,17,30,29,7,6,6,4096,1,3.6895246259869867
5,Gen7_Ind865,1000110010111001101111001111010111,20,21,25,21,4,6,16384,1,3.6575753930892367
6,Gen7_Ind865,1000110010111001101111001111010111,20,21,25,21,4,6,16384,0,3.6575753930892367
7,Gen15_Ind1969,1000111010111001101111001111010111,21,21,25,21,4,6,16384,2,3.6575753930892367
8,Gen12_Ind1564,1110111111111000110000111111100000,7,14,23,22,4,6,65536,0,3.6307176705822624
9,Gen11_Ind1322,1000111010010111111111100011110111,21,19,21,21,9,6,16384,1,3.5148305740670396
10,Gen9_Ind1177,1000011011010110110100100111000111,17,23,19,26,10,6,4096,5,3.501782543279164
11,Gen8_Ind992,0111010100110101110111100011001101,8,29,17,29,9,6,8192,5,3.498362189741998
12,Gen15_Ind1882,0001000100010111110111100011000101,-42,27,21,29,9,6,4096,5,3.4906035544319267
13,Gen15_Ind1917,0111010100110000110010100011010111,8,29,7,24,9,6,16384,2,3.476646533577115
14,Gen15_Ind1902,1111100011110101110110100111001101,16,25,17,28,10,6,8192,5,3.461529631319572
15,Gen15_Ind1930,1000111011110101011111100011010101,21,25,16,16,9,6,16384,5,3.461529631319572
16,Gen15_Ind1954,1011100100100101110110100111001100,-25,28,17,28,10,6,8192,4,3.445403402025632
17,Gen15_Ind1938,0011010100110101110101100011110100,-24,29,17,27,9,6,8192,4,3.444238629142035
18,Gen15_Ind1970,0001111100010111110111101011001100,-35,27,21,29,3,6,8192,4,3.4392070777985038
19,Gen15_Ind1987,0001111100010111110110011111001100,-35,27,21,28,8,6,8192,4,3.438591011127628
20,Gen14_Ind1749,0110101011011111010110101111010111,3,23,12,28,10,6,16384,1,3.4291300265756233
21,Gen15_Ind1926,1101111011111001010111110111010100,1,25,24,29,9,6,16384,4,3.4143421140372983
22,Gen15_Ind1927,1001001100110100010101111010100110,-6,29,14,27,8,5,65536,1,3.410978720489004
23,Gen15_Ind1885,0000001011111110010000100111110101,-49,25,10,22,10,6,4096,5,3.410508473246306
24,Gen15_Ind1899,0000000100111110110100100110010101,-50,29,13,26,10,5,16384,5,3.410290471677201
25,Gen15_Ind1889,1111110011011111010000110111010101,-8,23,11,22,2,6,16384,5,3.4057396713915558
26,Gen15_Ind1884,0000001100110101110010101010000111,-49,29,17,24,10,5,4096,4,3.4052415203615567
