Rank,Individual,Gene1,level_Gene1,window_log_Gene1,chain_log_Gene1,hash_log_Gene1,search_log_Gene1,min_match_Gene1,target_length_Gene1,strategy_Gene1,Fitness
1,Gen10_Ind756,1000011100111001011001111001001000,17,29,24,28,6,4,8192,0,3.739778718729444
2,Gen12_Ind931,1000011110111001000101100000011000,17,25,24,11,9,3,32768,0,3.737860854209789
3,Gen10_Ind792,1000011110111001000101100000011000,17,29,24,11,9,3,32768,0,3.7378361744602717
4,Gen11_Ind860,1101010100101000100101100000011000,11,28,23,11,9,3,32768,0,3.6955843599753426
5,Gen13_Ind1042,1000011100101000100101100000011000,17,28,23,11,9,3,32768,0,3.6955843599753426
6,Gen7_Ind543,1000011010111001000111100000010000,17,21,24,13,9,3,16384,0,3.6237501859871375
7,Gen1_Ind33,1000011010111001000101100000011000,17,21,24,11,9,3,32768,0,3.6233144467166793
8,Gen13_Ind1062,1000011010011001000111100000110000,17,19,24,13,9,3,65536,0,3.4831084287404783
9,Gen13_Ind1056,0111110100001000111000100011001101,12,26,23,30,9,6,8192,5,3.4501068268502726
10,Gen13_Ind1058,0101111011111111011000100111001101,-3,25,6,30,10,6,8192,5,3.4455486320070636
11,Gen13_Ind1050,0001010101001000111000010111101100,-40,30,23,30,6,6,131072,4,3.40262605046302
12,Gen13_Ind1070,1001010011000000010110100011000101,-39,22,6,28,9,6,4096,5,3.3941513121070477
13,Gen13_Ind1035,1000011110110011110111100110011101,17,21,13,29,10,5,32768,5,3.371900310139453
14,Gen13_Ind1057,1101011011111011010000100110000101,21,25,28,22,10,5,4096,5,3.3495977965999413
15,Gen13_Ind1021,1111110010110011110110100110011101,20,21,13,28,10,5,32768,5,3.329120821267424
16,Gen12_Ind905,1000011010110011110110100110011101,17,21,13,28,10,5,32768,5,3.329120821267424
17,Gen13_Ind1039,0101010100000111010110111010010100,-8,26,20,28,5,5,16384,4,3.3199749922182384
18,Gen13_Ind1008,0101111100000111110000100110101100,-3,26,21,22,10,5,131072,4,3.299394374895782
19,Gen13_Ind1061,1000011110111001010001100000011000,17,13,24,23,9,3,32768,0,3.287942301635724
20,Gen13_Ind1004,1111000100100010110110111010001100,-24,28,11,28,3,5,8192,4,3.2748154679567816
21,Gen13_Ind1028,0001010101001000111000010100001101,-40,30,23,30,6,3,8192,5,3.264513229514103
22,Gen13_Ind989,0001011011110111111000100100111101,-39,25,21,30,10,3,16384,5,3.2643969618010438
23,Gen13_Ind1025,1101010100101100110100111000110101,-8,28,20,26,4,3,131072,5,3.2641010062813764
24,Gen13_Ind1060,1001010011000010010110111000111101,1,22,10,28,9,3,131072,5,3.259394149073498
25,Gen13_Ind1067,0011001111010101110110111011111011,-25,21,17,28,5,6,131072,3,3.219780919444506
26,Gen13_Ind1020,1000011100001111011000100000000100,17,26,30,30,9,3,4096,4,3.210913439883996
27,Gen13_Ind1071,0100111100001111110100110001001100,-11,26,26,26,1,4,8192,4,3.2105262577135454
28,Gen13_Ind999,1000011010110011110110100000011100,17,21,13,28,9,3,32768,4,3.204062871125952
29,Gen13_Ind1063,1000111010110011110110100000011100,21,21,13,28,9,3,32768,4,3.204062871125952
30,Gen13_Ind1066,1000011010110011110110100000111100,17,21,13,28,9,3,8192,4,3.204062871125952
